Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
North Dakota St. (MVFC),15,14-1,866,3561,4.11,18,19,237.4
Jacksonville St. (OVC),12,10-2,749,2875,3.84,22,23,239.6
James Madison (CAA),15,14-1,983,3780,3.85,17,20,252.0
N.C. A&T (MEAC),12,12-0,719,3101,4.31,17,18,258.4
McNeese (Southland),11,9-2,670,2888,4.31,19,24,262.5
UT Martin (OVC),11,6-5,659,3012,4.57,19,20,273.8
Tennessee St. (OVC),11,6-5,672,3063,4.56,23,26,278.5
South Carolina St. (MEAC),10,3-7,662,2799,4.23,19,21,279.9
UAlbany (CAA),11,4-7,709,3103,4.38,23,23,282.1
Saint Francis (PA) (NEC),11,5-6,732,3159,4.32,16,18,287.2
Bucknell (Patriot),11,5-6,689,3241,4.7,30,34,294.6
Kennesaw St. (Big South),14,12-2,847,4220,4.98,27,28,301.4
Yale (Ivy League),10,9-1,655,3028,4.62,19,20,302.8
Alabama St. (SWAC),11,5-6,698,3339,4.78,22,24,303.5
Delaware (CAA),11,7-4,696,3360,4.83,20,23,305.5
Illinois St. (MVFC),11,6-5,709,3374,4.76,26,28,306.7
Austin Peay (OVC),12,8-4,783,3721,4.75,36,40,310.1
Charleston So. (Big South),11,6-5,742,3427,4.62,25,26,311.5
Alabama A&M (SWAC),11,4-7,654,3447,5.27,34,39,313.4
Colgate (Patriot),11,7-4,742,3486,4.7,24,25,316.9
Youngstown St. (MVFC),11,6-5,687,3486,5.07,25,26,316.9
N.C. Central (MEAC),11,7-4,709,3502,4.94,27,28,318.4
Central Ark. (Southland),12,10-2,825,3826,4.64,23,25,318.8
Stony Brook (CAA),13,10-3,930,4242,4.56,32,33,326.3
Chattanooga (SoCon),11,3-8,698,3590,5.14,32,37,326.4
Wofford (SoCon),13,10-3,840,4247,5.06,36,37,326.7
Hampton (MEAC),11,6-5,744,3602,4.84,29,30,327.5
Columbia (Ivy League),10,8-2,639,3290,5.15,22,23,329.0
William & Mary (CAA),11,2-9,700,3652,5.22,31,33,332.0
Sacred Heart (NEC),11,4-7,704,3659,5.2,32,37,332.6
Dartmouth (Ivy League),10,8-2,716,3333,4.66,26,26,333.3
Drake (Pioneer),11,7-4,774,3678,4.75,34,36,334.4
Villanova (CAA),11,5-6,744,3679,4.94,17,19,334.5
Harvard (Ivy League),10,5-5,689,3349,4.86,25,26,334.9
Maine (CAA),10,4-6,666,3351,5.03,26,30,335.1
Prairie View (SWAC),11,6-5,706,3699,5.24,31,34,336.3
Grambling (SWAC),13,11-2,899,4373,4.86,33,34,336.4
Western Ill. (MVFC),12,8-4,785,4071,5.19,35,36,339.3
Jackson St. (SWAC),11,3-8,731,3758,5.14,32,36,341.6
Weber St. (Big Sky),14,11-3,933,4806,5.15,26,28,343.3
Eastern Ky. (OVC),11,4-7,721,3783,5.25,30,35,343.9
Southeast Mo. St. (OVC),11,3-8,741,3803,5.13,27,27,345.7
ETSU (SoCon),11,4-7,740,3804,5.14,36,41,345.8
Robert Morris (NEC),11,2-9,706,3837,5.43,35,42,348.8
Campbell (Pioneer),11,6-5,801,3866,4.83,30,31,351.5
