Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
The Citadel (SoCon),11,5-6,377:35,34:19
San Diego (Pioneer),13,10-3,440:54,33:54
Butler (Pioneer),11,6-5,373:00,33:54
McNeese (Southland),11,9-2,371:40,33:47
North Dakota St. (MVFC),15,14-1,505:47,33:43
Columbia (Ivy League),10,8-2,335:13,33:31
Weber St. (Big Sky),14,11-3,467:14,33:22
Kennesaw St. (Big South),14,12-2,467:08,33:22
Cal Poly (Big Sky),11,1-10,365:52,33:15
N.C. A&T (MEAC),12,12-0,397:51,33:09
Yale (Ivy League),10,9-1,329:06,32:54
UT Martin (OVC),11,6-5,359:59,32:43
Delaware (CAA),11,7-4,359:22,32:40
Colgate (Patriot),11,7-4,358:21,32:34
Southern Utah (Big Sky),12,9-3,388:45,32:23
UNI (MVFC),13,8-5,416:24,32:01
Illinois St. (MVFC),11,6-5,352:01,32:00
Northwestern St. (Southland),11,4-7,351:39,31:58
Youngstown St. (MVFC),11,6-5,351:07,31:55
Western Ill. (MVFC),12,8-4,380:47,31:43
New Hampshire (CAA),14,9-5,442:16,31:35
UAlbany (CAA),11,4-7,347:16,31:34
Tennessee St. (OVC),11,6-5,346:43,31:31
Southern U. (SWAC),11,7-4,346:34,31:30
Austin Peay (OVC),12,8-4,374:55,31:14
Duquesne (NEC),11,7-4,342:09,31:06
Jacksonville (Pioneer),11,7-4,342:06,31:06
Alabama A&M (SWAC),11,4-7,342:03,31:05
Wagner (NEC),11,4-7,341:05,31:00
Bethune-Cookman (MEAC),11,7-4,340:55,30:59
Central Ark. (Southland),12,10-2,371:47,30:58
Bucknell (Patriot),11,5-6,340:31,30:57
Lehigh (Patriot),12,5-7,371:21,30:56
Valparaiso (Pioneer),11,6-5,339:54,30:54
Fordham (Patriot),11,4-7,339:19,30:50
Alcorn (SWAC),12,7-5,369:40,30:48
Dayton (Pioneer),11,5-6,338:46,30:47
Alabama St. (SWAC),11,5-6,338:06,30:44
Wofford (SoCon),13,10-3,398:49,30:40
UIW (Southland),11,1-10,336:58,30:38
ETSU (SoCon),11,4-7,335:46,30:31
Central Conn. St. (NEC),12,8-4,366:06,30:30
South Dakota St. (MVFC),14,11-3,426:49,30:29
Jacksonville St. (OVC),12,10-2,365:46,30:28
Rhode Island (CAA),11,3-8,334:49,30:26
Hampton (MEAC),11,6-5,333:48,30:20
Charleston So. (Big South),11,6-5,333:31,30:19
Southeastern La. (Southland),11,6-5,333:25,30:18
Dartmouth (Ivy League),10,8-2,302:42,30:16
Abilene Christian (Southland),11,2-9,332:53,30:15
Maine (CAA),10,4-6,302:25,30:14
Chattanooga (SoCon),11,3-8,332:33,30:13
Richmond (CAA),11,6-5,332:10,30:11
Furman (SoCon),13,8-5,392:05,30:09
Stony Brook (CAA),13,10-3,391:59,30:09
Portland St. (Big Sky),11,0-11,331:13,30:06
Sacramento St. (Big Sky),11,7-4,331:01,30:05
N.C. Central (MEAC),11,7-4,330:58,30:05
Mercer (SoCon),11,5-6,330:40,30:03
Drake (Pioneer),11,7-4,330:39,30:03
Nicholls (Southland),12,8-4,360:23,30:01
Morgan St. (MEAC),11,1-10,329:59,29:59
Stetson (Pioneer),11,2-9,329:40,29:58
James Madison (CAA),15,14-1,449:10,29:56
Cornell (Ivy League),10,3-7,298:16,29:49
Eastern Ky. (OVC),11,4-7,327:58,29:48
Davidson (Pioneer),11,2-9,327:54,29:48
Gardner-Webb (Big South),11,1-10,327:33,29:46
Tennessee Tech (OVC),11,1-10,327:31,29:46
Missouri St. (MVFC),11,3-8,327:24,29:45
William & Mary (CAA),11,2-9,326:56,29:43
Savannah St. (MEAC),11,3-8,326:55,29:43
South Carolina St. (MEAC),10,3-7,297:10,29:43
Texas Southern (SWAC),11,2-9,326:33,29:41
Elon (CAA),12,8-4,355:29,29:37
Monmouth (Big South),12,9-3,355:27,29:37
Montana St. (Big Sky),11,5-6,325:32,29:35
Harvard (Ivy League),10,5-5,295:16,29:31
Bryant (NEC),11,6-5,324:25,29:29
Presbyterian (Big South),11,4-7,324:21,29:29
Villanova (CAA),11,5-6,324:16,29:28
Jackson St. (SWAC),11,3-8,323:45,29:25
SFA (Southland),11,4-7,323:39,29:25
Sacred Heart (NEC),11,4-7,323:26,29:24
Southeast Mo. St. (OVC),11,3-8,323:08,29:22
Holy Cross (Patriot),11,4-7,322:37,29:19
South Dakota (MVFC),13,8-5,380:49,29:17
Ark.-Pine Bluff (SWAC),11,2-9,319:13,29:01
Southern Ill. (MVFC),11,4-7,318:59,28:59
Saint Francis (PA) (NEC),11,5-6,318:49,28:59
Towson (CAA),11,5-6,318:31,28:57
Northern Ariz. (Big Sky),12,7-5,346:14,28:51
Penn (Ivy League),10,6-4,288:09,28:48
North Dakota (Big Sky),11,3-8,316:55,28:48
Delaware St. (MEAC),11,2-9,316:42,28:47
Prairie View (SWAC),11,6-5,316:11,28:44
Grambling (SWAC),13,11-2,371:43,28:35
Morehead St. (Pioneer),11,4-7,314:18,28:34
Robert Morris (NEC),11,2-9,314:18,28:34
Mississippi Val. (SWAC),11,2-9,313:45,28:31
Florida A&M (MEAC),11,3-8,313:07,28:27
Howard (MEAC),11,7-4,312:29,28:24
Lafayette (Patriot),11,3-8,311:31,28:19
Houston Christian (Southland),11,1-10,310:27,28:13
Idaho St. (Big Sky),11,4-7,309:35,28:08
Samford (SoCon),12,8-4,336:35,28:02
UC Davis (Big Sky),11,5-6,308:22,28:02
Norfolk St. (MEAC),11,4-7,308:02,28:00
Eastern Ill. (OVC),11,6-5,307:42,27:58
Western Caro. (SoCon),12,7-5,334:57,27:54
Princeton (Ivy League),10,5-5,278:39,27:51
Sam Houston (Southland),14,12-2,387:35,27:41
Montana (Big Sky),11,7-4,304:17,27:39
Murray St. (OVC),11,3-8,303:20,27:34
Campbell (Pioneer),11,6-5,300:08,27:17
Marist (Pioneer),11,4-7,296:36,26:57
Brown (Ivy League),10,2-8,268:33,26:51
Lamar University (Southland),11,2-9,295:18,26:50
VMI (SoCon),11,0-11,295:18,26:50
Eastern Wash. (Big Sky),11,7-4,295:08,26:49
Northern Colo. (Big Sky),10,3-7,267:34,26:45
Indiana St. (MVFC),11,0-11,294:03,26:43
Georgetown (Patriot),11,1-10,271:15,24:39
