Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
McNeese (Southland),11,9-2,308,599,1.94,3,54.5
Yale (Ivy League),10,9-1,299,731,2.44,5,73.1
Jacksonville St. (OVC),12,10-2,394,907,2.3,7,75.6
Villanova (CAA),11,5-6,342,838,2.45,7,76.2
N.C. A&T (MEAC),12,12-0,357,985,2.76,6,82.1
North Dakota St. (MVFC),15,14-1,466,1342,2.88,11,89.5
James Madison (CAA),15,14-1,524,1357,2.59,7,90.5
South Carolina St. (MEAC),10,3-7,363,928,2.56,7,92.8
Dartmouth (Ivy League),10,8-2,321,938,2.92,7,93.8
San Diego (Pioneer),13,10-3,374,1220,3.26,6,93.8
Stony Brook (CAA),13,10-3,447,1261,2.82,14,97.0
Kennesaw St. (Big South),14,12-2,425,1429,3.36,10,102.1
Grambling (SWAC),13,11-2,445,1377,3.09,14,105.9
Illinois St. (MVFC),11,6-5,367,1170,3.19,11,106.4
UAlbany (CAA),11,4-7,395,1177,2.98,12,107.0
Central Ark. (Southland),12,10-2,442,1305,2.95,8,108.8
Butler (Pioneer),11,6-5,319,1214,3.81,13,110.4
N.C. Central (MEAC),11,7-4,373,1225,3.28,12,111.4
Prairie View (SWAC),11,6-5,371,1225,3.3,12,111.4
UT Martin (OVC),11,6-5,376,1253,3.33,11,113.9
Colgate (Patriot),11,7-4,405,1269,3.13,15,115.4
Western Ill. (MVFC),12,8-4,438,1429,3.26,11,119.1
Weber St. (Big Sky),14,11-3,449,1686,3.76,12,120.4
Holy Cross (Patriot),11,4-7,361,1325,3.67,18,120.5
Wofford (SoCon),13,10-3,443,1582,3.57,16,121.7
Harvard (Ivy League),10,5-5,361,1217,3.37,12,121.7
Austin Peay (OVC),12,8-4,410,1479,3.61,13,123.3
UNI (MVFC),13,8-5,467,1635,3.5,12,125.8
Charleston So. (Big South),11,6-5,426,1388,3.26,13,126.2
Delaware (CAA),11,7-4,366,1388,3.79,6,126.2
Columbia (Ivy League),10,8-2,319,1270,3.98,9,127.0
William & Mary (CAA),11,2-9,421,1408,3.34,18,128.0
New Hampshire (CAA),14,9-5,471,1793,3.81,14,128.1
Alcorn (SWAC),12,7-5,392,1575,4.02,13,131.3
Marist (Pioneer),11,4-7,459,1445,3.15,20,131.4
Tennessee St. (OVC),11,6-5,381,1451,3.81,13,131.9
Maine (CAA),10,4-6,378,1328,3.51,7,132.8
Drake (Pioneer),11,7-4,440,1481,3.37,17,134.6
Saint Francis (PA) (NEC),11,5-6,419,1514,3.61,10,137.6
Cal Poly (Big Sky),11,1-10,358,1527,4.27,11,138.8
Hampton (MEAC),11,6-5,434,1527,3.52,17,138.8
Southeast Mo. St. (OVC),11,3-8,432,1529,3.54,7,139.0
Monmouth (Big South),12,9-3,434,1687,3.89,16,140.6
Duquesne (NEC),11,7-4,392,1556,3.97,16,141.5
The Citadel (SoCon),11,5-6,347,1574,4.54,22,143.1
Rhode Island (CAA),11,3-8,410,1580,3.85,14,143.6
Campbell (Pioneer),11,6-5,449,1590,3.54,20,144.5
Southeastern La. (Southland),11,6-5,427,1599,3.74,19,145.4
Southern Utah (Big Sky),12,9-3,418,1747,4.18,23,145.6
Nicholls (Southland),12,8-4,446,1750,3.92,15,145.8
Princeton (Ivy League),10,5-5,366,1461,3.99,20,146.1
Bucknell (Patriot),11,5-6,398,1610,4.05,20,146.4
Georgetown (Patriot),11,1-10,455,1622,3.56,13,147.5
Alabama St. (SWAC),11,5-6,405,1627,4.02,14,147.9
Sacred Heart (NEC),11,4-7,415,1628,3.92,12,148.0
Eastern Ky. (OVC),11,4-7,428,1633,3.82,17,148.5
Jacksonville (Pioneer),11,7-4,392,1640,4.18,26,149.1
Mercer (SoCon),11,5-6,437,1640,3.75,18,149.1
Furman (SoCon),13,8-5,496,1941,3.91,21,149.3
South Dakota (MVFC),13,8-5,494,1955,3.96,22,150.4
Dayton (Pioneer),11,5-6,378,1658,4.39,12,150.7
Wagner (NEC),11,4-7,435,1679,3.86,18,152.6
Morgan St. (MEAC),11,1-10,405,1681,4.15,21,152.8
Elon (CAA),12,8-4,460,1844,4.01,19,153.7
Sacramento St. (Big Sky),11,7-4,437,1701,3.89,20,154.6
Eastern Ill. (OVC),11,6-5,453,1723,3.8,20,156.6
Alabama A&M (SWAC),11,4-7,394,1731,4.39,20,157.4
Penn (Ivy League),10,6-4,390,1581,4.05,16,158.1
Valparaiso (Pioneer),11,6-5,412,1745,4.24,17,158.6
Southern Ill. (MVFC),11,4-7,440,1765,4.01,14,160.5
Brown (Ivy League),10,2-8,400,1608,4.02,21,160.8
Ark.-Pine Bluff (SWAC),11,2-9,419,1775,4.24,20,161.4
Chattanooga (SoCon),11,3-8,452,1795,3.97,16,163.2
Delaware St. (MEAC),11,2-9,398,1797,4.52,24,163.4
Cornell (Ivy League),10,3-7,386,1661,4.3,16,166.1
Bryant (NEC),11,6-5,404,1832,4.53,17,166.5
UIW (Southland),11,1-10,414,1838,4.44,28,167.1
Montana St. (Big Sky),11,5-6,433,1842,4.25,20,167.5
Southern U. (SWAC),11,7-4,385,1848,4.8,17,168.0
Texas Southern (SWAC),11,2-9,397,1848,4.65,22,168.0
Richmond (CAA),11,6-5,461,1863,4.04,14,169.4
Central Conn. St. (NEC),12,8-4,457,2034,4.45,18,169.5
Montana (Big Sky),11,7-4,457,1865,4.08,18,169.5
Towson (CAA),11,5-6,424,1866,4.4,16,169.6
Jackson St. (SWAC),11,3-8,425,1874,4.41,16,170.4
South Dakota St. (MVFC),14,11-3,515,2391,4.64,21,170.8
Gardner-Webb (Big South),11,1-10,406,1892,4.66,21,172.0
Youngstown St. (MVFC),11,6-5,428,1905,4.45,17,173.2
Lafayette (Patriot),11,3-8,459,1906,4.15,20,173.3
ETSU (SoCon),11,4-7,459,1906,4.15,19,173.3
Florida A&M (MEAC),11,3-8,409,1916,4.68,19,174.2
Northwestern St. (Southland),11,4-7,434,1921,4.43,20,174.6
Robert Morris (NEC),11,2-9,456,1944,4.26,18,176.7
Savannah St. (MEAC),11,3-8,427,2024,4.74,18,184.0
North Dakota (Big Sky),11,3-8,468,2064,4.41,27,187.6
Indiana St. (MVFC),11,0-11,465,2072,4.46,27,188.4
Houston Christian (Southland),11,1-10,460,2080,4.52,19,189.1
Eastern Wash. (Big Sky),11,7-4,492,2119,4.31,28,192.6
Stetson (Pioneer),11,2-9,449,2144,4.78,24,194.9
Abilene Christian (Southland),11,2-9,444,2152,4.85,18,195.6
Samford (SoCon),12,8-4,563,2350,4.17,20,195.8
Sam Houston (Southland),14,12-2,571,2814,4.93,21,201.0
SFA (Southland),11,4-7,470,2251,4.79,14,204.6
Idaho St. (Big Sky),11,4-7,471,2269,4.82,21,206.3
Davidson (Pioneer),11,2-9,454,2274,5.01,29,206.7
Northern Ariz. (Big Sky),12,7-5,521,2495,4.79,26,207.9
Murray St. (OVC),11,3-8,487,2297,4.72,21,208.8
Fordham (Patriot),11,4-7,397,2305,5.81,30,209.5
UC Davis (Big Sky),11,5-6,483,2308,4.78,21,209.8
Tennessee Tech (OVC),11,1-10,437,2350,5.38,19,213.6
Bethune-Cookman (MEAC),11,7-4,421,2371,5.63,17,215.5
Missouri St. (MVFC),11,3-8,416,2386,5.74,29,216.9
VMI (SoCon),11,0-11,546,2396,4.39,34,217.8
Howard (MEAC),11,7-4,452,2427,5.37,21,220.6
Western Caro. (SoCon),12,7-5,545,2662,4.88,22,221.8
Norfolk St. (MEAC),11,4-7,492,2555,5.19,27,232.3
Lehigh (Patriot),12,5-7,443,2908,6.56,43,242.3
Northern Colo. (Big Sky),10,3-7,506,2480,4.9,21,248.0
Lamar University (Southland),11,2-9,533,2789,5.23,31,253.5
Presbyterian (Big South),11,4-7,520,2800,5.38,26,254.5
Portland St. (Big Sky),11,0-11,519,2846,5.48,36,258.7
Morehead St. (Pioneer),11,4-7,480,2873,5.99,39,261.2
Mississippi Val. (SWAC),11,2-9,501,3038,6.06,36,276.2
