Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Kennesaw St. (Big South),14,12-2,816,4623,5.67,41,330.2
The Citadel (SoCon),11,5-6,651,3241,4.98,22,294.6
Southeastern La. (Southland),11,6-5,541,3114,5.76,27,283.1
North Dakota St. (MVFC),15,14-1,689,4083,5.93,48,272.2
Jacksonville (Pioneer),11,7-4,601,2962,4.93,31,269.3
Austin Peay (OVC),12,8-4,580,3105,5.35,32,258.8
Montana St. (Big Sky),11,5-6,482,2744,5.69,20,249.5
Wofford (SoCon),13,10-3,658,3182,4.84,38,244.8
Alcorn (SWAC),12,7-5,444,2849,6.42,30,237.4
Cal Poly (Big Sky),11,1-10,668,2549,3.82,16,231.7
Western Caro. (SoCon),12,7-5,524,2772,5.29,24,231.0
Campbell (Pioneer),11,6-5,466,2516,5.4,24,228.7
Furman (SoCon),13,8-5,631,2936,4.65,36,225.8
Sacramento St. (Big Sky),11,7-4,496,2484,5.01,26,225.8
Youngstown St. (MVFC),11,6-5,489,2447,5.0,28,222.5
Jacksonville St. (OVC),12,10-2,504,2607,5.17,27,217.3
Yale (Ivy League),10,9-1,385,2168,5.63,25,216.8
Howard (MEAC),11,7-4,500,2371,4.74,28,215.5
Nicholls (Southland),12,8-4,524,2403,4.59,21,200.3
Penn (Ivy League),10,6-4,373,1995,5.35,17,199.5
Duquesne (NEC),11,7-4,459,2184,4.76,18,198.5
Monmouth (Big South),12,9-3,431,2380,5.52,34,198.3
Central Ark. (Southland),12,10-2,537,2359,4.39,20,196.6
Gardner-Webb (Big South),11,1-10,457,2154,4.71,11,195.8
James Madison (CAA),15,14-1,633,2914,4.6,30,194.3
Charleston So. (Big South),11,6-5,480,2123,4.42,20,193.0
Delaware (CAA),11,7-4,494,2118,4.29,14,192.5
South Dakota (MVFC),13,8-5,555,2476,4.46,29,190.5
Colgate (Patriot),11,7-4,480,2038,4.25,20,185.3
Central Conn. St. (NEC),12,8-4,480,2218,4.62,27,184.8
Illinois St. (MVFC),11,6-5,433,2008,4.64,19,182.5
Dartmouth (Ivy League),10,8-2,409,1800,4.4,14,180.0
Weber St. (Big Sky),14,11-3,579,2510,4.34,27,179.3
Idaho St. (Big Sky),11,4-7,476,1962,4.12,19,178.4
Sacred Heart (NEC),11,4-7,487,1956,4.02,18,177.8
South Dakota St. (MVFC),14,11-3,491,2473,5.04,33,176.6
Sam Houston (Southland),14,12-2,486,2455,5.05,28,175.4
Maine (CAA),10,4-6,389,1742,4.48,11,174.2
McNeese (Southland),11,9-2,419,1906,4.55,15,173.3
Southern Utah (Big Sky),12,9-3,521,2076,3.98,29,173.0
North Dakota (Big Sky),11,3-8,386,1895,4.91,17,172.3
N.C. A&T (MEAC),12,12-0,449,2052,4.57,23,171.0
Presbyterian (Big South),11,4-7,409,1878,4.59,14,170.7
Portland St. (Big Sky),11,0-11,415,1866,4.5,18,169.6
Missouri St. (MVFC),11,3-8,400,1863,4.66,21,169.4
Dayton (Pioneer),11,5-6,431,1862,4.32,15,169.3
San Diego (Pioneer),13,10-3,480,2179,4.54,27,167.6
Elon (CAA),12,8-4,507,1974,3.89,16,164.5
Southern Ill. (MVFC),11,4-7,421,1803,4.28,15,163.9
Prairie View (SWAC),11,6-5,353,1794,5.08,14,163.1
Southern U. (SWAC),11,7-4,417,1778,4.26,17,161.6
Stony Brook (CAA),13,10-3,516,2095,4.06,25,161.2
Davidson (Pioneer),11,2-9,434,1756,4.05,17,159.6
Lamar University (Southland),11,2-9,474,1753,3.7,18,159.4
Wagner (NEC),11,4-7,369,1727,4.68,18,157.0
Morgan St. (MEAC),11,1-10,403,1723,4.28,12,156.6
Western Ill. (MVFC),12,8-4,418,1879,4.5,22,156.6
Eastern Wash. (Big Sky),11,7-4,388,1719,4.43,20,156.3
Harvard (Ivy League),10,5-5,389,1535,3.95,14,153.5
Montana (Big Sky),11,7-4,444,1648,3.71,21,149.8
Lehigh (Patriot),12,5-7,451,1786,3.96,29,148.8
Hampton (MEAC),11,6-5,425,1634,3.84,15,148.5
