Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Princeton (Ivy League),10,5-5,128,66,0.516
Kennesaw St. (Big South),14,12-2,214,107,0.5
Youngstown St. (MVFC),11,6-5,140,70,0.5
Furman (SoCon),13,8-5,181,88,0.486
San Diego (Pioneer),13,10-3,173,83,0.48
South Dakota (MVFC),13,8-5,203,97,0.478
South Dakota St. (MVFC),14,11-3,172,82,0.477
Wofford (SoCon),13,10-3,176,83,0.472
Duquesne (NEC),11,7-4,154,72,0.468
North Dakota St. (MVFC),15,14-1,187,87,0.465
Eastern Wash. (Big Sky),11,7-4,165,76,0.461
Jacksonville (Pioneer),11,7-4,148,68,0.459
UC Davis (Big Sky),11,5-6,167,75,0.449
N.C. A&T (MEAC),12,12-0,151,66,0.437
Prairie View (SWAC),11,6-5,161,70,0.435
Montana St. (Big Sky),11,5-6,152,66,0.434
Columbia (Ivy League),10,8-2,159,69,0.434
Jacksonville St. (OVC),12,10-2,164,71,0.433
Monmouth (Big South),12,9-3,148,64,0.432
Penn (Ivy League),10,6-4,123,53,0.431
Butler (Pioneer),11,6-5,161,69,0.429
Weber St. (Big Sky),14,11-3,197,84,0.426
Western Ill. (MVFC),12,8-4,161,68,0.422
The Citadel (SoCon),11,5-6,173,73,0.422
Central Ark. (Southland),12,10-2,174,73,0.42
Delaware (CAA),11,7-4,165,69,0.418
Richmond (CAA),11,6-5,144,60,0.417
Lehigh (Patriot),12,5-7,154,64,0.416
Colgate (Patriot),11,7-4,162,67,0.414
Montana (Big Sky),11,7-4,179,74,0.413
Drake (Pioneer),11,7-4,161,66,0.41
Towson (CAA),11,5-6,171,70,0.409
Western Caro. (SoCon),12,7-5,159,65,0.409
Alcorn (SWAC),12,7-5,155,63,0.406
Sacred Heart (NEC),11,4-7,170,69,0.406
James Madison (CAA),15,14-1,217,88,0.406
UNI (MVFC),13,8-5,198,80,0.404
Southern Utah (Big Sky),12,9-3,203,81,0.399
Campbell (Pioneer),11,6-5,148,59,0.399
Grambling (SWAC),13,11-2,186,74,0.398
Samford (SoCon),12,8-4,166,66,0.398
Southeastern La. (Southland),11,6-5,154,61,0.396
Austin Peay (OVC),12,8-4,157,62,0.395
Idaho St. (Big Sky),11,4-7,163,64,0.393
Southern Ill. (MVFC),11,4-7,166,65,0.392
Cornell (Ivy League),10,3-7,155,60,0.387
Stony Brook (CAA),13,10-3,188,72,0.383
Tennessee St. (OVC),11,6-5,149,57,0.383
Northern Ariz. (Big Sky),12,7-5,192,73,0.38
Morgan St. (MEAC),11,1-10,169,64,0.379
New Hampshire (CAA),14,9-5,226,85,0.376
Florida A&M (MEAC),11,3-8,141,53,0.376
Sacramento St. (Big Sky),11,7-4,163,61,0.374
Yale (Ivy League),10,9-1,131,49,0.374
Mercer (SoCon),11,5-6,150,56,0.373
UT Martin (OVC),11,6-5,156,58,0.372
Morehead St. (Pioneer),11,4-7,156,58,0.372
Holy Cross (Patriot),11,4-7,176,65,0.369
Presbyterian (Big South),11,4-7,141,52,0.369
Cal Poly (Big Sky),11,1-10,182,67,0.368
Southern U. (SWAC),11,7-4,158,58,0.367
Elon (CAA),12,8-4,180,66,0.367
Harvard (Ivy League),10,5-5,134,49,0.366
Eastern Ky. (OVC),11,4-7,162,59,0.364
Portland St. (Big Sky),11,0-11,176,64,0.364
Valparaiso (Pioneer),11,6-5,157,57,0.363
UAlbany (CAA),11,4-7,160,58,0.363
Sam Houston (Southland),14,12-2,203,73,0.36
Villanova (CAA),11,5-6,148,53,0.358
Nicholls (Southland),12,8-4,171,61,0.357
Rhode Island (CAA),11,3-8,166,59,0.355
Gardner-Webb (Big South),11,1-10,159,56,0.352
Saint Francis (PA) (NEC),11,5-6,154,54,0.351
Dartmouth (Ivy League),10,8-2,140,49,0.35
McNeese (Southland),11,9-2,169,59,0.349
Central Conn. St. (NEC),12,8-4,169,58,0.343
North Dakota (Big Sky),11,3-8,149,51,0.342
Savannah St. (MEAC),11,3-8,152,52,0.342
Howard (MEAC),11,7-4,155,53,0.342
Maine (CAA),10,4-6,162,55,0.34
N.C. Central (MEAC),11,7-4,157,53,0.338
Dayton (Pioneer),11,5-6,149,50,0.336
Bethune-Cookman (MEAC),11,7-4,153,51,0.333
Houston Christian (Southland),11,1-10,174,58,0.333
Mississippi Val. (SWAC),11,2-9,160,53,0.331
William & Mary (CAA),11,2-9,151,50,0.331
Charleston So. (Big South),11,6-5,139,46,0.331
Fordham (Patriot),11,4-7,173,57,0.329
Stetson (Pioneer),11,2-9,171,56,0.327
Alabama St. (SWAC),11,5-6,162,53,0.327
Wagner (NEC),11,4-7,148,48,0.324
Norfolk St. (MEAC),11,4-7,142,46,0.324
Missouri St. (MVFC),11,3-8,140,45,0.321
ETSU (SoCon),11,4-7,159,51,0.321
Texas Southern (SWAC),11,2-9,147,47,0.32
Alabama A&M (SWAC),11,4-7,169,54,0.32
Southeast Mo. St. (OVC),11,3-8,162,51,0.315
Marist (Pioneer),11,4-7,159,50,0.314
Bryant (NEC),11,6-5,156,49,0.314
Brown (Ivy League),10,2-8,169,53,0.314
Chattanooga (SoCon),11,3-8,150,47,0.313
Northwestern St. (Southland),11,4-7,164,51,0.311
Ark.-Pine Bluff (SWAC),11,2-9,148,46,0.311
Illinois St. (MVFC),11,6-5,155,48,0.31
Lafayette (Patriot),11,3-8,153,47,0.307
Northern Colo. (Big Sky),10,3-7,134,41,0.306
Bucknell (Patriot),11,5-6,177,54,0.305
Lamar University (Southland),11,2-9,183,55,0.301
Hampton (MEAC),11,6-5,150,44,0.293
South Carolina St. (MEAC),10,3-7,134,39,0.291
Davidson (Pioneer),11,2-9,190,55,0.289
Tennessee Tech (OVC),11,1-10,146,42,0.288
Delaware St. (MEAC),11,2-9,154,44,0.286
SFA (Southland),11,4-7,174,49,0.282
Murray St. (OVC),11,3-8,179,50,0.279
Abilene Christian (Southland),11,2-9,173,48,0.277
Eastern Ill. (OVC),11,6-5,173,48,0.277
VMI (SoCon),11,0-11,159,44,0.277
Jackson St. (SWAC),11,3-8,144,39,0.271
UIW (Southland),11,1-10,164,44,0.268
Robert Morris (NEC),11,2-9,153,35,0.229
Indiana St. (MVFC),11,0-11,146,31,0.212
Georgetown (Patriot),11,1-10,148,27,0.182
