Team,Games,Win-Loss,First Down Runs,First Down Passes,First Down Penalties,First Downs
McNeese (Southland),11,9-2,41,89,20,150
South Carolina St. (MEAC),10,3-7,52,79,20,151
Tennessee St. (OVC),11,6-5,71,75,20,166
Yale (Ivy League),10,9-1,45,95,28,168
UT Martin (OVC),11,6-5,63,75,30,168
Columbia (Ivy League),10,8-2,62,93,14,169
Alabama A&M (SWAC),11,4-7,87,71,13,171
Bucknell (Patriot),11,5-6,84,76,12,172
Illinois St. (MVFC),11,6-5,67,97,12,176
UAlbany (CAA),11,4-7,67,86,23,176
Delaware (CAA),11,7-4,69,87,21,177
Cornell (Ivy League),10,3-7,81,83,13,177
N.C. A&T (MEAC),12,12-0,62,97,18,177
Sacred Heart (NEC),11,4-7,85,76,16,177
Saint Francis (PA) (NEC),11,5-6,82,76,21,179
Harvard (Ivy League),10,5-5,64,97,18,179
Jacksonville St. (OVC),12,10-2,61,86,32,179
William & Mary (CAA),11,2-9,73,98,9,180
Maine (CAA),10,4-6,73,80,30,183
Hampton (MEAC),11,6-5,79,79,25,183
The Citadel (SoCon),11,5-6,82,92,13,187
N.C. Central (MEAC),11,7-4,72,91,25,188
North Dakota St. (MVFC),15,14-1,77,90,23,190
Dartmouth (Ivy League),10,8-2,57,118,15,190
Eastern Ky. (OVC),11,4-7,84,91,16,191
Alabama St. (SWAC),11,5-6,92,77,22,191
Youngstown St. (MVFC),11,6-5,103,74,15,192
Charleston So. (Big South),11,6-5,88,90,14,192
Colgate (Patriot),11,7-4,72,109,11,192
Southeast Mo. St. (OVC),11,3-8,81,91,21,193
Gardner-Webb (Big South),11,1-10,76,102,15,193
Chattanooga (SoCon),11,3-8,97,77,21,195
Southern U. (SWAC),11,7-4,84,99,12,195
Prairie View (SWAC),11,6-5,66,103,27,196
Villanova (CAA),11,5-6,50,129,17,196
Towson (CAA),11,5-6,102,84,11,197
Drake (Pioneer),11,7-4,82,98,18,198
Jackson St. (SWAC),11,3-8,102,81,15,198
Tennessee Tech (OVC),11,1-10,99,87,13,199
Robert Morris (NEC),11,2-9,93,80,28,201
Holy Cross (Patriot),11,4-7,68,113,20,201
Wagner (NEC),11,4-7,93,85,23,201
ETSU (SoCon),11,4-7,107,86,11,204
Richmond (CAA),11,6-5,93,97,16,206
Austin Peay (OVC),12,8-4,84,101,21,206
Morgan St. (MEAC),11,1-10,87,96,25,208
Eastern Ill. (OVC),11,6-5,93,89,26,208
Western Ill. (MVFC),12,8-4,81,110,17,208
Cal Poly (Big Sky),11,1-10,68,127,14,209
Brown (Ivy League),10,2-8,77,113,19,209
Alcorn (SWAC),12,7-5,79,114,17,210
Campbell (Pioneer),11,6-5,96,98,17,211
Rhode Island (CAA),11,3-8,76,113,22,211
Central Ark. (Southland),12,10-2,79,106,27,212
Abilene Christian (Southland),11,2-9,99,95,20,214
Butler (Pioneer),11,6-5,76,122,16,214
Southeastern La. (Southland),11,6-5,87,108,19,214
Bethune-Cookman (MEAC),11,7-4,108,85,23,216
Penn (Ivy League),10,6-4,90,118,9,217
Murray St. (OVC),11,3-8,107,95,15,217
Mississippi Val. (SWAC),11,2-9,141,56,21,218
Texas Southern (SWAC),11,2-9,90,113,16,219
Princeton (Ivy League),10,5-5,88,119,12,219
Marist (Pioneer),11,4-7,85,116,19,220
Davidson (Pioneer),11,2-9,94,114,13,221
James Madison (CAA),15,14-1,81,111,30,222
Duquesne (NEC),11,7-4,81,107,34,222
Northwestern St. (Southland),11,4-7,96,105,22,223
San Diego (Pioneer),13,10-3,66,142,15,223
Houston Christian (Southland),11,1-10,101,104,19,224
Dayton (Pioneer),11,5-6,84,127,13,224
Mercer (SoCon),11,5-6,91,115,20,226
Lafayette (Patriot),11,3-8,106,109,12,227
Wofford (SoCon),13,10-3,84,127,17,228
Savannah St. (MEAC),11,3-8,109,103,16,228
Jacksonville (Pioneer),11,7-4,91,113,25,229
Fordham (Patriot),11,4-7,105,109,15,229
Florida A&M (MEAC),11,3-8,112,99,18,229
UNI (MVFC),13,8-5,86,128,17,231
Elon (CAA),12,8-4,104,115,12,231
Northern Ariz. (Big Sky),12,7-5,118,87,27,232
Southern Ill. (MVFC),11,4-7,95,111,26,232
Samford (SoCon),12,8-4,121,93,19,233
Valparaiso (Pioneer),11,6-5,101,120,13,234
Delaware St. (MEAC),11,2-9,102,117,15,234
Lamar University (Southland),11,2-9,130,86,20,236
VMI (SoCon),11,0-11,127,98,13,238
Howard (MEAC),11,7-4,115,112,11,238
Nicholls (Southland),12,8-4,92,115,31,238
Lehigh (Patriot),12,5-7,121,106,11,238
Western Caro. (SoCon),12,7-5,136,88,15,239
UC Davis (Big Sky),11,5-6,106,112,21,239
Presbyterian (Big South),11,4-7,146,82,11,239
SFA (Southland),11,4-7,108,111,21,240
Stetson (Pioneer),11,2-9,110,110,20,240
Monmouth (Big South),12,9-3,91,133,16,240
Ark.-Pine Bluff (SWAC),11,2-9,99,125,17,241
Georgetown (Patriot),11,1-10,93,126,23,242
