Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Youngstown St. (MVFC),11,6-5,121,259,1581,8,6.1,13.07,143.7
Tennessee St. (OVC),11,6-5,163,291,1612,10,5.54,9.89,146.5
North Dakota St. (MVFC),15,14-1,207,400,2219,7,5.55,10.72,147.9
Bucknell (Patriot),11,5-6,157,291,1631,10,5.6,10.39,148.3
Mississippi Val. (SWAC),11,2-9,109,209,1642,17,7.86,15.06,149.3
Saint Francis (PA) (NEC),11,5-6,171,313,1645,6,5.26,9.62,149.5
Alabama St. (SWAC),11,5-6,158,293,1712,8,5.84,10.84,155.6
Alabama A&M (SWAC),11,4-7,147,260,1716,14,6.6,11.67,156.0
UT Martin (OVC),11,6-5,143,283,1759,8,6.22,12.3,159.9
James Madison (CAA),15,14-1,207,459,2423,10,5.28,11.71,161.5
Bethune-Cookman (MEAC),11,7-4,152,305,1777,14,5.83,11.69,161.5
Chattanooga (SoCon),11,3-8,141,246,1795,16,7.3,12.73,163.2
Jacksonville St. (OVC),12,10-2,169,355,1968,15,5.54,11.64,164.0
Presbyterian (Big South),11,4-7,129,247,1805,17,7.31,13.99,164.1
Western Caro. (SoCon),12,7-5,161,319,1982,18,6.21,12.31,165.2
Jackson St. (SWAC),11,3-8,162,306,1884,16,6.16,11.63,171.3
Robert Morris (NEC),11,2-9,147,250,1893,17,7.57,12.88,172.1
ETSU (SoCon),11,4-7,165,281,1898,17,6.75,11.5,172.5
Northern Ariz. (Big Sky),12,7-5,182,325,2091,14,6.43,11.49,174.3
UAlbany (CAA),11,4-7,190,314,1926,11,6.13,10.14,175.1
N.C. A&T (MEAC),12,12-0,181,362,2116,11,5.85,11.69,176.3
Delaware (CAA),11,7-4,184,330,1972,14,5.98,10.72,179.3
Murray St. (OVC),11,3-8,180,310,1991,20,6.42,11.06,181.0
Sacred Heart (NEC),11,4-7,167,289,2031,20,7.03,12.16,184.6
Southern U. (SWAC),11,7-4,170,326,2032,18,6.23,11.95,184.7
Charleston So. (Big South),11,6-5,186,316,2039,12,6.45,10.96,185.4
Austin Peay (OVC),12,8-4,206,373,2242,23,6.01,10.88,186.8
Towson (CAA),11,5-6,189,320,2057,16,6.43,10.88,187.0
South Carolina St. (MEAC),10,3-7,139,299,1871,12,6.26,13.46,187.1
Hampton (MEAC),11,6-5,172,310,2075,12,6.69,12.06,188.6
Cornell (Ivy League),10,3-7,158,266,1890,13,7.11,11.96,189.0
Samford (SoCon),12,8-4,166,307,2282,13,7.43,13.75,190.2
Florida A&M (MEAC),11,3-8,177,309,2099,19,6.79,11.86,190.8
