Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
UNI (MVFC),13,8-5,51,11,20,16,47,0.922
Sacramento St. (Big Sky),11,7-4,38,17,7,11,35,0.921
Wofford (SoCon),13,10-3,48,32,1,11,44,0.917
Murray St. (OVC),11,3-8,24,3,8,11,22,0.917
Mercer (SoCon),11,5-6,35,20,5,7,32,0.914
Princeton (Ivy League),10,5-5,52,18,22,7,47,0.904
Stony Brook (CAA),13,10-3,48,20,12,11,43,0.896
Duquesne (NEC),11,7-4,38,12,15,7,34,0.895
Monmouth (Big South),12,9-3,47,24,14,4,42,0.894
Grambling (SWAC),13,11-2,46,14,14,13,41,0.891
South Dakota St. (MVFC),14,11-3,64,25,26,6,57,0.891
Cal Poly (Big Sky),11,1-10,26,14,3,6,23,0.885
Texas Southern (SWAC),11,2-9,25,12,4,6,22,0.88
Yale (Ivy League),10,9-1,33,14,10,5,29,0.879
Southeastern La. (Southland),11,6-5,41,18,9,9,36,0.878
Butler (Pioneer),11,6-5,41,19,6,11,36,0.878
Western Ill. (MVFC),12,8-4,41,14,13,9,36,0.878
Idaho St. (Big Sky),11,4-7,40,18,8,9,35,0.875
UIW (Southland),11,1-10,24,8,11,2,21,0.875
San Diego (Pioneer),13,10-3,70,24,27,10,61,0.871
North Dakota St. (MVFC),15,14-1,62,29,17,8,54,0.871
Colgate (Patriot),11,7-4,50,19,16,8,43,0.86
Montana (Big Sky),11,7-4,50,21,10,12,43,0.86
Bethune-Cookman (MEAC),11,7-4,35,12,6,12,30,0.857
Southern Utah (Big Sky),12,9-3,56,25,12,11,48,0.857
Penn (Ivy League),10,6-4,35,14,9,7,30,0.857
Western Caro. (SoCon),12,7-5,41,17,11,7,35,0.854
Drake (Pioneer),11,7-4,41,13,10,12,35,0.854
Central Conn. St. (NEC),12,8-4,40,22,5,7,34,0.85
Furman (SoCon),13,8-5,52,29,8,7,44,0.846
N.C. A&T (MEAC),12,12-0,52,20,15,9,44,0.846
Eastern Wash. (Big Sky),11,7-4,45,14,16,8,38,0.844
Campbell (Pioneer),11,6-5,50,21,13,8,42,0.84
Jacksonville St. (OVC),12,10-2,43,21,6,9,36,0.837
James Madison (CAA),15,14-1,72,23,21,16,60,0.833
ETSU (SoCon),11,4-7,24,8,5,7,20,0.833
Georgetown (Patriot),11,1-10,18,7,4,4,15,0.833
Florida A&M (MEAC),11,3-8,36,13,10,7,30,0.833
Kennesaw St. (Big South),14,12-2,60,30,5,15,50,0.833
Nicholls (Southland),12,8-4,42,18,4,13,35,0.833
Weber St. (Big Sky),14,11-3,62,21,15,15,51,0.823
North Dakota (Big Sky),11,3-8,39,12,8,12,32,0.821
Abilene Christian (Southland),11,2-9,33,7,10,10,27,0.818
Sam Houston (Southland),14,12-2,77,24,23,16,63,0.818
South Dakota (MVFC),13,8-5,60,24,19,6,49,0.817
Richmond (CAA),11,6-5,53,14,17,12,43,0.811
Jacksonville (Pioneer),11,7-4,47,24,8,6,38,0.809
Charleston So. (Big South),11,6-5,26,16,3,2,21,0.808
Central Ark. (Southland),12,10-2,52,17,11,14,42,0.808
Davidson (Pioneer),11,2-9,36,15,4,10,29,0.806
Youngstown St. (MVFC),11,6-5,41,21,4,8,33,0.805
Elon (CAA),12,8-4,46,13,10,14,37,0.804
Austin Peay (OVC),12,8-4,46,27,6,4,37,0.804
Stetson (Pioneer),11,2-9,30,7,9,8,24,0.8
UC Davis (Big Sky),11,5-6,49,16,15,8,39,0.796
Holy Cross (Patriot),11,4-7,39,11,10,10,31,0.795
Robert Morris (NEC),11,2-9,19,1,7,7,15,0.789
Lehigh (Patriot),12,5-7,56,21,18,5,44,0.786
Southern U. (SWAC),11,7-4,37,11,14,4,29,0.784
Chattanooga (SoCon),11,3-8,32,6,11,8,25,0.781
Tennessee St. (OVC),11,6-5,36,7,10,11,28,0.778
Harvard (Ivy League),10,5-5,36,13,6,9,28,0.778
Ark.-Pine Bluff (SWAC),11,2-9,40,10,10,11,31,0.775
Eastern Ky. (OVC),11,4-7,40,14,8,9,31,0.775
Valparaiso (Pioneer),11,6-5,44,17,8,9,34,0.773
Alcorn (SWAC),12,7-5,47,15,9,12,36,0.766
Dartmouth (Ivy League),10,8-2,38,13,8,8,29,0.763
Saint Francis (PA) (NEC),11,5-6,38,7,12,10,29,0.763
Fordham (Patriot),11,4-7,38,8,14,7,29,0.763
Tennessee Tech (OVC),11,1-10,21,5,6,5,16,0.762
Brown (Ivy League),10,2-8,21,5,9,2,16,0.762
Villanova (CAA),11,5-6,33,10,8,7,25,0.758
Northern Colo. (Big Sky),10,3-7,33,13,5,7,25,0.758
