Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Jacksonville St. (OVC),12,10-2,5,6,0.833
Montana St. (Big Sky),11,5-6,18,23,0.783
Penn (Ivy League),10,6-4,7,9,0.778
Duquesne (NEC),11,7-4,6,8,0.75
Dartmouth (Ivy League),10,8-2,16,23,0.696
Yale (Ivy League),10,9-1,9,13,0.692
Nicholls (Southland),12,8-4,9,13,0.692
Kennesaw St. (Big South),14,12-2,22,32,0.688
South Dakota St. (MVFC),14,11-3,12,18,0.667
North Dakota St. (MVFC),15,14-1,10,15,0.667
Youngstown St. (MVFC),11,6-5,8,12,0.667
Tennessee St. (OVC),11,6-5,6,9,0.667
Grambling (SWAC),13,11-2,6,9,0.667
Furman (SoCon),13,8-5,17,26,0.654
Drake (Pioneer),11,7-4,9,14,0.643
Southern Utah (Big Sky),12,9-3,16,25,0.64
UNI (MVFC),13,8-5,7,11,0.636
Gardner-Webb (Big South),11,1-10,12,19,0.632
San Diego (Pioneer),13,10-3,12,19,0.632
Weber St. (Big Sky),14,11-3,13,21,0.619
Butler (Pioneer),11,6-5,15,25,0.6
Western Ill. (MVFC),12,8-4,7,12,0.583
Northern Ariz. (Big Sky),12,7-5,18,31,0.581
Bryant (NEC),11,6-5,22,38,0.579
Central Conn. St. (NEC),12,8-4,11,19,0.579
Davidson (Pioneer),11,2-9,15,26,0.577
Sam Houston (Southland),14,12-2,19,33,0.576
Wofford (SoCon),13,10-3,12,21,0.571
N.C. A&T (MEAC),12,12-0,8,14,0.571
Bethune-Cookman (MEAC),11,7-4,8,14,0.571
Holy Cross (Patriot),11,4-7,17,30,0.567
Colgate (Patriot),11,7-4,13,23,0.565
Delaware St. (MEAC),11,2-9,10,18,0.556
Illinois St. (MVFC),11,6-5,10,18,0.556
Columbia (Ivy League),10,8-2,11,20,0.55
Cal Poly (Big Sky),11,1-10,17,31,0.548
Charleston So. (Big South),11,6-5,7,13,0.538
McNeese (Southland),11,9-2,8,15,0.533
Harvard (Ivy League),10,5-5,8,15,0.533
Norfolk St. (MEAC),11,4-7,9,17,0.529
Princeton (Ivy League),10,5-5,11,21,0.524
Howard (MEAC),11,7-4,16,31,0.516
Fordham (Patriot),11,4-7,16,32,0.5
Valparaiso (Pioneer),11,6-5,15,30,0.5
Austin Peay (OVC),12,8-4,14,28,0.5
Southern Ill. (MVFC),11,4-7,12,24,0.5
Florida A&M (MEAC),11,3-8,11,22,0.5
Chattanooga (SoCon),11,3-8,11,22,0.5
Monmouth (Big South),12,9-3,10,20,0.5
Southeast Mo. St. (OVC),11,3-8,9,18,0.5
Murray St. (OVC),11,3-8,8,16,0.5
N.C. Central (MEAC),11,7-4,8,16,0.5
