Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
McNeese (Southland),11,9-2,36,151,0.238
N.C. Central (MEAC),11,7-4,36,147,0.245
North Dakota St. (MVFC),15,14-1,52,204,0.255
Sacramento St. (Big Sky),11,7-4,41,157,0.261
Maine (CAA),10,4-6,37,135,0.274
UT Martin (OVC),11,6-5,41,143,0.287
Southeastern La. (Southland),11,6-5,49,166,0.295
Yale (Ivy League),10,9-1,44,147,0.299
Jacksonville St. (OVC),12,10-2,52,173,0.301
James Madison (CAA),15,14-1,69,229,0.301
Bucknell (Patriot),11,5-6,46,152,0.303
Illinois St. (MVFC),11,6-5,50,160,0.313
Central Ark. (Southland),12,10-2,59,186,0.317
Columbia (Ivy League),10,8-2,43,135,0.319
Alabama A&M (SWAC),11,4-7,45,139,0.324
Lamar University (Southland),11,2-9,50,154,0.325
Towson (CAA),11,5-6,49,150,0.327
Hampton (MEAC),11,6-5,54,165,0.327
Eastern Ill. (OVC),11,6-5,55,168,0.327
Sam Houston (Southland),14,12-2,75,228,0.329
Dayton (Pioneer),11,5-6,50,152,0.329
South Carolina St. (MEAC),10,3-7,51,155,0.329
Weber St. (Big Sky),14,11-3,69,209,0.33
Sacred Heart (NEC),11,4-7,49,148,0.331
Western Ill. (MVFC),12,8-4,54,163,0.331
Alabama St. (SWAC),11,5-6,50,150,0.333
Bethune-Cookman (MEAC),11,7-4,48,143,0.336
Abilene Christian (Southland),11,2-9,53,157,0.338
Southern U. (SWAC),11,7-4,50,148,0.338
Prairie View (SWAC),11,6-5,49,145,0.338
Saint Francis (PA) (NEC),11,5-6,57,166,0.343
Villanova (CAA),11,5-6,55,160,0.344
Kennesaw St. (Big South),14,12-2,59,171,0.345
Southeast Mo. St. (OVC),11,3-8,58,168,0.345
Holy Cross (Patriot),11,4-7,55,159,0.346
Murray St. (OVC),11,3-8,55,159,0.346
Brown (Ivy League),10,2-8,53,151,0.351
South Dakota (MVFC),13,8-5,66,187,0.353
UNI (MVFC),13,8-5,66,187,0.353
Tennessee St. (OVC),11,6-5,53,150,0.353
Campbell (Pioneer),11,6-5,62,175,0.354
The Citadel (SoCon),11,5-6,43,120,0.358
Robert Morris (NEC),11,2-9,53,147,0.361
New Hampshire (CAA),14,9-5,75,207,0.362
Harvard (Ivy League),10,5-5,53,146,0.363
Nicholls (Southland),12,8-4,69,190,0.363
Southern Utah (Big Sky),12,9-3,63,173,0.364
Morgan St. (MEAC),11,1-10,51,140,0.364
William & Mary (CAA),11,2-9,58,159,0.365
Colgate (Patriot),11,7-4,57,156,0.365
UAlbany (CAA),11,4-7,58,158,0.367
Fordham (Patriot),11,4-7,54,145,0.372
N.C. A&T (MEAC),12,12-0,63,169,0.373
Alcorn (SWAC),12,7-5,69,185,0.373
San Diego (Pioneer),13,10-3,70,187,0.374
Lehigh (Patriot),12,5-7,57,152,0.375
Davidson (Pioneer),11,2-9,61,162,0.377
Rhode Island (CAA),11,3-8,61,162,0.377
Cal Poly (Big Sky),11,1-10,57,151,0.377
Montana (Big Sky),11,7-4,65,172,0.378
Northwestern St. (Southland),11,4-7,64,169,0.379
Dartmouth (Ivy League),10,8-2,61,161,0.379
Eastern Ky. (OVC),11,4-7,61,161,0.379
Elon (CAA),12,8-4,66,174,0.379
Houston Christian (Southland),11,1-10,64,168,0.381
Youngstown St. (MVFC),11,6-5,55,144,0.382
Austin Peay (OVC),12,8-4,65,170,0.382
Charleston So. (Big South),11,6-5,64,167,0.383
Northern Ariz. (Big Sky),12,7-5,71,185,0.384
Georgetown (Patriot),11,1-10,69,179,0.385
Valparaiso (Pioneer),11,6-5,58,150,0.387
Western Caro. (SoCon),12,7-5,70,181,0.387
South Dakota St. (MVFC),14,11-3,72,186,0.387
Jackson St. (SWAC),11,3-8,60,155,0.387
Delaware (CAA),11,7-4,60,155,0.387
Eastern Wash. (Big Sky),11,7-4,67,173,0.387
Grambling (SWAC),13,11-2,73,188,0.388
UC Davis (Big Sky),11,5-6,63,162,0.389
Delaware St. (MEAC),11,2-9,53,136,0.39
Samford (SoCon),12,8-4,73,187,0.39
Savannah St. (MEAC),11,3-8,50,128,0.391
UIW (Southland),11,1-10,61,156,0.391
Ark.-Pine Bluff (SWAC),11,2-9,63,161,0.391
Jacksonville (Pioneer),11,7-4,57,145,0.393
Furman (SoCon),13,8-5,72,183,0.393
Monmouth (Big South),12,9-3,69,175,0.394
Southern Ill. (MVFC),11,4-7,66,167,0.395
Marist (Pioneer),11,4-7,74,187,0.396
Wagner (NEC),11,4-7,61,153,0.399
SFA (Southland),11,4-7,70,175,0.4
Penn (Ivy League),10,6-4,55,137,0.401
ETSU (SoCon),11,4-7,64,159,0.403
Chattanooga (SoCon),11,3-8,60,149,0.403
Mississippi Val. (SWAC),11,2-9,54,134,0.403
Butler (Pioneer),11,6-5,55,136,0.404
Duquesne (NEC),11,7-4,64,158,0.405
Richmond (CAA),11,6-5,67,165,0.406
Northern Colo. (Big Sky),10,3-7,65,160,0.406
Cornell (Ivy League),10,3-7,60,147,0.408
Central Conn. St. (NEC),12,8-4,72,176,0.409
Bryant (NEC),11,6-5,75,182,0.412
Howard (MEAC),11,7-4,61,146,0.418
Stony Brook (CAA),13,10-3,89,212,0.42
Morehead St. (Pioneer),11,4-7,58,137,0.423
Mercer (SoCon),11,5-6,64,151,0.424
Tennessee Tech (OVC),11,1-10,68,160,0.425
Lafayette (Patriot),11,3-8,65,152,0.428
Stetson (Pioneer),11,2-9,62,142,0.437
Drake (Pioneer),11,7-4,76,174,0.437
Idaho St. (Big Sky),11,4-7,69,155,0.445
North Dakota (Big Sky),11,3-8,71,159,0.447
Wofford (SoCon),13,10-3,80,179,0.447
Missouri St. (MVFC),11,3-8,69,154,0.448
Texas Southern (SWAC),11,2-9,66,145,0.455
Norfolk St. (MEAC),11,4-7,67,147,0.456
Gardner-Webb (Big South),11,1-10,66,142,0.465
VMI (SoCon),11,0-11,74,157,0.471
Presbyterian (Big South),11,4-7,72,150,0.48
Indiana St. (MVFC),11,0-11,75,156,0.481
Princeton (Ivy League),10,5-5,73,151,0.483
Montana St. (Big Sky),11,5-6,86,174,0.494
Portland St. (Big Sky),11,0-11,77,154,0.5
Florida A&M (MEAC),11,3-8,79,148,0.534
