Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Montana (Big Sky),11,7-4,71,64,429,103,9.4
Grambling (SWAC),13,11-2,81,64,516,113,8.7
Yale (Ivy League),10,9-1,73,24,343,85,8.5
Sacramento St. (Big Sky),11,7-4,80,26,425,93,8.5
Central Ark. (Southland),12,10-2,79,42,406,100,8.3
N.C. A&T (MEAC),12,12-0,80,38,380,99,8.3
McNeese (Southland),11,9-2,61,58,313,90,8.2
Stony Brook (CAA),13,10-3,87,34,386,104,8.0
Jacksonville St. (OVC),12,10-2,64,64,438,96,8.0
Prairie View (SWAC),11,6-5,72,32,335,88,8.0
Morgan St. (MEAC),11,1-10,73,30,367,88,8.0
South Dakota (MVFC),13,8-5,82,40,397,102,7.8
Western Ill. (MVFC),12,8-4,64,59,368,94,7.8
Northern Ariz. (Big Sky),12,7-5,68,48,290,92,7.7
Nicholls (Southland),12,8-4,81,22,352,92,7.7
Alcorn (SWAC),12,7-5,61,60,317,91,7.6
Charleston So. (Big South),11,6-5,60,46,333,83,7.5
Brown (Ivy League),10,2-8,61,28,303,75,7.5
Illinois St. (MVFC),11,6-5,70,24,355,82,7.5
Samford (SoCon),12,8-4,63,52,319,89,7.4
Southeast Mo. St. (OVC),11,3-8,67,28,358,81,7.4
Weber St. (Big Sky),14,11-3,76,54,416,103,7.4
Wagner (NEC),11,4-7,67,27,345,81,7.3
Ark.-Pine Bluff (SWAC),11,2-9,45,70,334,80,7.3
Hampton (MEAC),11,6-5,61,38,248,80,7.3
Alabama A&M (SWAC),11,4-7,54,52,395,80,7.3
Alabama St. (SWAC),11,5-6,63,34,341,80,7.3
Southern U. (SWAC),11,7-4,47,64,299,79,7.2
Rhode Island (CAA),11,3-8,59,40,351,79,7.2
South Carolina St. (MEAC),10,3-7,60,23,268,72,7.2
Towson (CAA),11,5-6,55,46,338,78,7.1
Holy Cross (Patriot),11,4-7,69,18,300,78,7.1
Campbell (Pioneer),11,6-5,57,42,274,78,7.1
Jackson St. (SWAC),11,3-8,50,54,240,77,7.0
Eastern Ill. (OVC),11,6-5,55,44,266,77,7.0
Robert Morris (NEC),11,2-9,58,38,278,77,7.0
North Dakota St. (MVFC),15,14-1,72,60,440,102,6.8
N.C. Central (MEAC),11,7-4,57,34,282,74,6.7
Northwestern St. (Southland),11,4-7,58,32,277,74,6.7
Maine (CAA),10,4-6,52,30,261,67,6.7
Richmond (CAA),11,6-5,44,58,257,73,6.6
SFA (Southland),11,4-7,44,57,226,73,6.6
Bucknell (Patriot),11,5-6,59,26,301,72,6.5
San Diego (Pioneer),13,10-3,59,52,362,85,6.5
Sam Houston (Southland),14,12-2,71,40,366,91,6.5
Tennessee St. (OVC),11,6-5,48,47,225,72,6.5
James Madison (CAA),15,14-1,72,50,448,97,6.5
Davidson (Pioneer),11,2-9,55,32,264,71,6.5
The Citadel (SoCon),11,5-6,54,34,233,71,6.5
Bethune-Cookman (MEAC),11,7-4,50,42,251,71,6.5
UT Martin (OVC),11,6-5,49,44,288,71,6.5
William & Mary (CAA),11,2-9,51,40,291,71,6.5
New Hampshire (CAA),14,9-5,73,34,338,90,6.4
Southern Utah (Big Sky),12,9-3,58,38,285,77,6.4
Duquesne (NEC),11,7-4,55,31,214,71,6.4
VMI (SoCon),11,0-11,47,44,283,69,6.3
Drake (Pioneer),11,7-4,53,32,281,69,6.3
Eastern Ky. (OVC),11,4-7,57,24,278,69,6.3
Savannah St. (MEAC),11,3-8,57,22,287,68,6.2
Marist (Pioneer),11,4-7,49,38,201,68,6.2
