Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Furman (SoCon),13,8-5,7,45,0.54
San Diego (Pioneer),13,10-3,8,52,0.62
Butler (Pioneer),11,6-5,7,57,0.64
Kennesaw St. (Big South),14,12-2,10,48,0.71
Jacksonville (Pioneer),11,7-4,8,26,0.73
Eastern Ky. (OVC),11,4-7,8,66,0.73
Wofford (SoCon),13,10-3,10,68,0.77
Princeton (Ivy League),10,5-5,8,56,0.8
Austin Peay (OVC),12,8-4,10,53,0.83
Valparaiso (Pioneer),11,6-5,10,77,0.91
Southern Ill. (MVFC),11,4-7,10,54,0.91
Davidson (Pioneer),11,2-9,10,54,0.91
Central Ark. (Southland),12,10-2,11,70,0.92
N.C. A&T (MEAC),12,12-0,11,46,0.92
Dartmouth (Ivy League),10,8-2,10,48,1.0
Central Conn. St. (NEC),12,8-4,12,76,1.0
The Citadel (SoCon),11,5-6,11,66,1.0
Presbyterian (Big South),11,4-7,12,73,1.09
Sam Houston (Southland),14,12-2,16,111,1.14
Montana St. (Big Sky),11,5-6,13,58,1.18
Mercer (SoCon),11,5-6,13,94,1.18
Yale (Ivy League),10,9-1,12,55,1.2
Southeastern La. (Southland),11,6-5,14,95,1.27
Dayton (Pioneer),11,5-6,14,82,1.27
Morgan St. (MEAC),11,1-10,14,99,1.27
Florida A&M (MEAC),11,3-8,14,95,1.27
Penn (Ivy League),10,6-4,13,57,1.3
Duquesne (NEC),11,7-4,15,74,1.36
Cal Poly (Big Sky),11,1-10,15,93,1.36
Wagner (NEC),11,4-7,15,125,1.36
Southeast Mo. St. (OVC),11,3-8,16,131,1.45
Sacramento St. (Big Sky),11,7-4,16,92,1.45
North Dakota St. (MVFC),15,14-1,23,156,1.53
Alabama A&M (SWAC),11,4-7,17,111,1.55
Weber St. (Big Sky),14,11-3,22,133,1.57
Samford (SoCon),12,8-4,19,110,1.58
Monmouth (Big South),12,9-3,19,142,1.58
South Carolina St. (MEAC),10,3-7,16,100,1.6
Stony Brook (CAA),13,10-3,21,125,1.62
Sacred Heart (NEC),11,4-7,18,100,1.64
UC Davis (Big Sky),11,5-6,18,126,1.64
Marist (Pioneer),11,4-7,18,120,1.64
South Dakota St. (MVFC),14,11-3,23,145,1.64
Nicholls (Southland),12,8-4,20,98,1.67
Montana (Big Sky),11,7-4,19,109,1.73
Jacksonville St. (OVC),12,10-2,21,112,1.75
Delaware (CAA),11,7-4,20,115,1.82
Charleston So. (Big South),11,6-5,20,114,1.82
Campbell (Pioneer),11,6-5,20,106,1.82
Western Ill. (MVFC),12,8-4,22,128,1.83
Maine (CAA),10,4-6,19,136,1.9
UT Martin (OVC),11,6-5,21,165,1.91
N.C. Central (MEAC),11,7-4,21,140,1.91
Alabama St. (SWAC),11,5-6,21,142,1.91
Alcorn (SWAC),12,7-5,23,139,1.92
Elon (CAA),12,8-4,24,146,2.0
Eastern Wash. (Big Sky),11,7-4,22,181,2.0
Western Caro. (SoCon),12,7-5,24,148,2.0
Norfolk St. (MEAC),11,4-7,22,128,2.0
Portland St. (Big Sky),11,0-11,22,137,2.0
Drake (Pioneer),11,7-4,22,141,2.0
South Dakota (MVFC),13,8-5,27,149,2.08
Bethune-Cookman (MEAC),11,7-4,23,137,2.09
Richmond (CAA),11,6-5,23,169,2.09
UIW (Southland),11,1-10,24,174,2.18
Morehead St. (Pioneer),11,4-7,24,185,2.18
Gardner-Webb (Big South),11,1-10,24,135,2.18
Illinois St. (MVFC),11,6-5,24,133,2.18
Prairie View (SWAC),11,6-5,24,149,2.18
Indiana St. (MVFC),11,0-11,24,173,2.18
Southern Utah (Big Sky),12,9-3,27,173,2.25
Missouri St. (MVFC),11,3-8,25,165,2.27
Towson (CAA),11,5-6,25,152,2.27
Northwestern St. (Southland),11,4-7,25,132,2.27
Colgate (Patriot),11,7-4,25,135,2.27
McNeese (Southland),11,9-2,26,124,2.36
James Madison (CAA),15,14-1,36,223,2.4
Northern Colo. (Big Sky),10,3-7,24,148,2.4
Holy Cross (Patriot),11,4-7,27,180,2.45
Abilene Christian (Southland),11,2-9,27,200,2.45
Tennessee Tech (OVC),11,1-10,27,191,2.45
Hampton (MEAC),11,6-5,27,157,2.45
Bucknell (Patriot),11,5-6,27,142,2.45
Grambling (SWAC),13,11-2,32,217,2.46
UNI (MVFC),13,8-5,32,252,2.46
Harvard (Ivy League),10,5-5,25,167,2.5
VMI (SoCon),11,0-11,28,191,2.55
Lafayette (Patriot),11,3-8,28,203,2.55
Lamar University (Southland),11,2-9,28,189,2.55
Southern U. (SWAC),11,7-4,28,148,2.55
Lehigh (Patriot),12,5-7,31,206,2.58
Georgetown (Patriot),11,1-10,29,190,2.64
William & Mary (CAA),11,2-9,29,199,2.64
Texas Southern (SWAC),11,2-9,29,191,2.64
Northern Ariz. (Big Sky),12,7-5,32,227,2.67
Brown (Ivy League),10,2-8,27,154,2.7
Bryant (NEC),11,6-5,30,210,2.73
Tennessee St. (OVC),11,6-5,30,184,2.73
Stetson (Pioneer),11,2-9,30,197,2.73
North Dakota (Big Sky),11,3-8,30,150,2.73
Murray St. (OVC),11,3-8,30,224,2.73
Eastern Ill. (OVC),11,6-5,30,162,2.73
ETSU (SoCon),11,4-7,30,188,2.73
Howard (MEAC),11,7-4,30,141,2.73
Cornell (Ivy League),10,3-7,28,164,2.8
Villanova (CAA),11,5-6,31,201,2.82
Rhode Island (CAA),11,3-8,31,196,2.82
Saint Francis (PA) (NEC),11,5-6,33,196,3.0
Idaho St. (Big Sky),11,4-7,34,177,3.09
Chattanooga (SoCon),11,3-8,34,257,3.09
Ark.-Pine Bluff (SWAC),11,2-9,34,241,3.09
SFA (Southland),11,4-7,36,219,3.27
Youngstown St. (MVFC),11,6-5,36,192,3.27
Jackson St. (SWAC),11,3-8,38,270,3.45
UAlbany (CAA),11,4-7,39,212,3.55
New Hampshire (CAA),14,9-5,52,336,3.71
Robert Morris (NEC),11,2-9,41,242,3.73
Houston Christian (Southland),11,1-10,41,296,3.73
Columbia (Ivy League),10,8-2,38,190,3.8
Fordham (Patriot),11,4-7,44,287,4.0
Savannah St. (MEAC),11,3-8,46,298,4.18
Delaware St. (MEAC),11,2-9,48,308,4.36
Mississippi Val. (SWAC),11,2-9,56,400,5.09
