Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Sam Houston (Southland),14,12-2,1080,7533,6.98,74,538.1
South Dakota (MVFC),13,8-5,1065,6807,6.39,65,523.6
UC Davis (Big Sky),11,5-6,855,5332,6.24,47,484.7
Princeton (Ivy League),10,5-5,729,4830,6.63,50,483.0
Eastern Wash. (Big Sky),11,7-4,839,5244,6.25,49,476.7
Lehigh (Patriot),12,5-7,911,5697,6.25,60,474.8
Central Ark. (Southland),12,10-2,855,5584,6.53,50,465.3
Alcorn (SWAC),12,7-5,786,5536,7.04,45,461.3
Montana (Big Sky),11,7-4,860,5009,5.82,45,455.4
Richmond (CAA),11,6-5,763,4980,6.53,44,452.7
Yale (Ivy League),10,9-1,674,4507,6.69,45,450.7
North Dakota St. (MVFC),15,14-1,984,6733,6.84,77,448.9
Howard (MEAC),11,7-4,775,4906,6.33,42,446.0
Sacramento St. (Big Sky),11,7-4,745,4860,6.52,48,441.8
Western Caro. (SoCon),12,7-5,868,5287,6.09,47,440.6
South Dakota St. (MVFC),14,11-3,946,6141,6.49,68,438.6
Campbell (Pioneer),11,6-5,780,4802,6.16,45,436.5
Southern Utah (Big Sky),12,9-3,960,5229,5.45,50,435.8
Kennesaw St. (Big South),14,12-2,992,6092,6.14,51,435.1
Idaho St. (Big Sky),11,4-7,823,4784,5.81,41,434.9
Northern Ariz. (Big Sky),12,7-5,935,5170,5.53,42,430.8
Portland St. (Big Sky),11,0-11,857,4719,5.51,35,429.0
Southeastern La. (Southland),11,6-5,768,4709,6.13,45,428.1
N.C. A&T (MEAC),12,12-0,792,5122,6.47,51,426.8
Prairie View (SWAC),11,6-5,764,4671,6.11,41,424.6
Furman (SoCon),13,8-5,880,5507,6.26,55,423.6
Bryant (NEC),11,6-5,810,4657,5.75,40,423.4
San Diego (Pioneer),13,10-3,883,5484,6.21,63,421.8
Duquesne (NEC),11,7-4,761,4633,6.09,45,421.2
James Madison (CAA),15,14-1,1074,6285,5.85,57,419.0
Penn (Ivy League),10,6-4,642,4139,6.45,37,413.9
Sacred Heart (NEC),11,4-7,844,4552,5.39,33,413.8
Samford (SoCon),12,8-4,867,4955,5.72,39,412.9
Youngstown St. (MVFC),11,6-5,725,4522,6.24,41,411.1
Jacksonville (Pioneer),11,7-4,772,4507,5.84,43,409.7
McNeese (Southland),11,9-2,786,4491,5.71,36,408.3
Nicholls (Southland),12,8-4,847,4830,5.7,35,402.5
Southern Ill. (MVFC),11,4-7,801,4399,5.49,41,399.9
Valparaiso (Pioneer),11,6-5,751,4398,5.86,40,399.8
Western Ill. (MVFC),12,8-4,770,4775,6.2,49,397.9
Dartmouth (Ivy League),10,8-2,715,3976,5.56,31,397.6
Holy Cross (Patriot),11,4-7,827,4373,5.29,31,397.5
Weber St. (Big Sky),14,11-3,959,5565,5.8,54,397.5
Montana St. (Big Sky),11,5-6,720,4366,6.06,36,396.9
Monmouth (Big South),12,9-3,763,4748,6.22,50,395.7
The Citadel (SoCon),11,5-6,790,4283,5.42,31,389.4
Maine (CAA),10,4-6,723,3884,5.37,27,388.4
Morehead St. (Pioneer),11,4-7,771,4269,5.54,38,388.1
Austin Peay (OVC),12,8-4,796,4646,5.84,43,387.2
Northern Colo. (Big Sky),10,3-7,664,3866,5.82,32,386.6
Illinois St. (MVFC),11,6-5,752,4251,5.65,31,386.5
North Dakota (Big Sky),11,3-8,713,4247,5.96,29,386.1
Drake (Pioneer),11,7-4,770,4159,5.4,35,378.1
