Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Kennesaw St. (Big South),14,12-2,11,24,35,8,4,12,23,1.64
Grambling (SWAC),13,11-2,15,18,33,9,4,13,20,1.54
James Madison (CAA),15,14-1,13,31,44,7,15,22,22,1.47
N.C. A&T (MEAC),12,12-0,12,17,29,5,7,12,17,1.42
Norfolk St. (MEAC),11,4-7,9,17,26,3,8,11,15,1.36
Sacramento St. (Big Sky),11,7-4,9,14,23,4,5,9,14,1.27
North Dakota St. (MVFC),15,14-1,14,22,36,9,8,17,19,1.27
McNeese (Southland),11,9-2,10,16,26,5,8,13,13,1.18
Western Ill. (MVFC),12,8-4,8,18,26,6,7,13,13,1.08
Dayton (Pioneer),11,5-6,6,15,21,6,4,10,11,1.0
Delaware (CAA),11,7-4,10,16,26,6,9,15,11,1.0
Southern Utah (Big Sky),12,9-3,14,15,29,3,15,18,11,0.92
Alabama St. (SWAC),11,5-6,13,11,24,6,8,14,10,0.91
San Diego (Pioneer),13,10-3,13,9,22,6,5,11,11,0.85
Central Conn. St. (NEC),12,8-4,11,15,26,6,10,16,10,0.83
Murray St. (OVC),11,3-8,11,17,28,12,7,19,9,0.82
Mercer (SoCon),11,5-6,16,9,25,6,10,16,9,0.82
Duquesne (NEC),11,7-4,10,11,21,5,8,13,8,0.73
South Dakota (MVFC),13,8-5,7,15,22,5,8,13,9,0.69
Weber St. (Big Sky),14,11-3,10,18,28,10,9,19,9,0.64
Butler (Pioneer),11,6-5,10,8,18,4,7,11,7,0.64
Howard (MEAC),11,7-4,15,6,21,2,12,14,7,0.64
Saint Francis (PA) (NEC),11,5-6,11,14,25,8,10,18,7,0.64
UNI (MVFC),13,8-5,9,21,30,10,12,22,8,0.62
Villanova (CAA),11,5-6,7,15,22,9,7,16,6,0.55
Southern U. (SWAC),11,7-4,13,10,23,5,12,17,6,0.55
Colgate (Patriot),11,7-4,4,16,20,7,7,14,6,0.55
Lafayette (Patriot),11,3-8,8,15,23,2,15,17,6,0.55
Dartmouth (Ivy League),10,8-2,5,11,16,5,6,11,5,0.5
New Hampshire (CAA),14,9-5,9,18,27,9,11,20,7,0.5
Central Ark. (Southland),12,10-2,10,10,20,5,9,14,6,0.5
Wofford (SoCon),13,10-3,9,11,20,11,3,14,6,0.46
Valparaiso (Pioneer),11,6-5,10,14,24,5,14,19,5,0.45
Campbell (Pioneer),11,6-5,8,19,27,13,9,22,5,0.45
Elon (CAA),12,8-4,11,10,21,7,9,16,5,0.42
Samford (SoCon),12,8-4,11,14,25,9,11,20,5,0.42
Yale (Ivy League),10,9-1,7,10,17,6,7,13,4,0.4
Stony Brook (CAA),13,10-3,12,10,22,9,8,17,5,0.38
Youngstown St. (MVFC),11,6-5,8,5,13,5,4,9,4,0.36
Western Caro. (SoCon),12,7-5,10,13,23,10,9,19,4,0.33
N.C. Central (MEAC),11,7-4,5,10,15,6,6,12,3,0.27
Texas Southern (SWAC),11,2-9,9,7,16,5,8,13,3,0.27
Tennessee St. (OVC),11,6-5,6,15,21,10,8,18,3,0.27
Lamar University (Southland),11,2-9,14,13,27,10,14,24,3,0.27
Southeast Mo. St. (OVC),11,3-8,8,10,18,7,8,15,3,0.27
Furman (SoCon),13,8-5,8,10,18,10,5,15,3,0.23
Columbia (Ivy League),10,8-2,5,13,18,5,11,16,2,0.2
Bethune-Cookman (MEAC),11,7-4,3,11,14,6,6,12,2,0.18
Richmond (CAA),11,6-5,8,13,21,7,12,19,2,0.18
Wagner (NEC),11,4-7,8,12,20,8,10,18,2,0.18
Idaho St. (Big Sky),11,4-7,10,8,18,5,11,16,2,0.18
The Citadel (SoCon),11,5-6,6,11,17,7,8,15,2,0.18
Fordham (Patriot),11,4-7,7,10,17,9,6,15,2,0.18
Brown (Ivy League),10,2-8,12,4,16,6,9,15,1,0.1
Maine (CAA),10,4-6,9,11,20,6,13,19,1,0.1
Abilene Christian (Southland),11,2-9,9,7,16,4,11,15,1,0.09
UT Martin (OVC),11,6-5,9,11,20,12,7,19,1,0.09
Savannah St. (MEAC),11,3-8,13,12,25,13,11,24,1,0.09
Northern Ariz. (Big Sky),12,7-5,4,16,20,11,8,19,1,0.08
UAlbany (CAA),11,4-7,16,3,19,8,11,19,0,0.0
Alcorn (SWAC),12,7-5,11,9,20,12,8,20,0,0.0
Austin Peay (OVC),12,8-4,10,9,19,12,7,19,0,0.0
Bucknell (Patriot),11,5-6,9,11,20,9,11,20,0,0.0
Hampton (MEAC),11,6-5,11,8,19,9,10,19,0,0.0
Presbyterian (Big South),11,4-7,9,7,16,9,7,16,0,0.0
Jacksonville (Pioneer),11,7-4,7,14,21,15,6,21,0,0.0
Drake (Pioneer),11,7-4,7,12,19,7,12,19,0,0.0
Montana St. (Big Sky),11,5-6,7,5,12,3,9,12,0,0.0
Northern Colo. (Big Sky),10,3-7,9,11,20,8,12,20,0,0.0
Holy Cross (Patriot),11,4-7,9,5,14,7,7,14,0,0.0
Jacksonville St. (OVC),12,10-2,8,10,18,7,12,19,-1,-0.08
Charleston So. (Big South),11,6-5,12,7,19,12,8,20,-1,-0.09
Southeastern La. (Southland),11,6-5,6,12,18,8,11,19,-1,-0.09
SFA (Southland),11,4-7,9,8,17,9,9,18,-1,-0.09
Prairie View (SWAC),11,6-5,9,9,18,10,9,19,-1,-0.09
Harvard (Ivy League),10,5-5,7,12,19,8,12,20,-1,-0.1
South Dakota St. (MVFC),14,11-3,8,16,24,11,15,26,-2,-0.14
Sam Houston (Southland),14,12-2,7,17,24,8,18,26,-2,-0.14
Southern Ill. (MVFC),11,4-7,13,11,24,9,17,26,-2,-0.18
UC Davis (Big Sky),11,5-6,6,9,15,7,10,17,-2,-0.18
ETSU (SoCon),11,4-7,6,5,11,8,6,14,-3,-0.27
Montana (Big Sky),11,7-4,7,16,23,10,16,26,-3,-0.27
Florida A&M (MEAC),11,3-8,7,7,14,10,8,18,-4,-0.36
Eastern Ill. (OVC),11,6-5,11,9,20,9,15,24,-4,-0.36
Houston Christian (Southland),11,1-10,12,11,23,13,14,27,-4,-0.36
South Carolina St. (MEAC),10,3-7,6,12,18,12,10,22,-4,-0.4
Princeton (Ivy League),10,5-5,6,7,13,8,9,17,-4,-0.4
Monmouth (Big South),12,9-3,4,13,17,9,13,22,-5,-0.42
Eastern Ky. (OVC),11,4-7,13,5,18,7,16,23,-5,-0.45
Georgetown (Patriot),11,1-10,6,6,12,6,11,17,-5,-0.45
Illinois St. (MVFC),11,6-5,7,9,16,10,11,21,-5,-0.45
Missouri St. (MVFC),11,3-8,7,5,12,8,11,19,-7,-0.64
North Dakota (Big Sky),11,3-8,6,10,16,10,13,23,-7,-0.64
Rhode Island (CAA),11,3-8,11,8,19,9,17,26,-7,-0.64
Northwestern St. (Southland),11,4-7,11,6,17,13,11,24,-7,-0.64
Cornell (Ivy League),10,3-7,2,10,12,4,15,19,-7,-0.7
Penn (Ivy League),10,6-4,11,5,16,10,13,23,-7,-0.7
Gardner-Webb (Big South),11,1-10,4,5,9,5,12,17,-8,-0.73
Stetson (Pioneer),11,2-9,11,4,15,8,15,23,-8,-0.73
Cal Poly (Big Sky),11,1-10,8,7,15,17,7,24,-9,-0.82
William & Mary (CAA),11,2-9,4,6,10,5,14,19,-9,-0.82
Portland St. (Big Sky),11,0-11,6,6,12,7,14,21,-9,-0.82
Sacred Heart (NEC),11,4-7,4,10,14,10,13,23,-9,-0.82
Alabama A&M (SWAC),11,4-7,6,9,15,7,17,24,-9,-0.82
Eastern Wash. (Big Sky),11,7-4,7,6,13,9,14,23,-10,-0.91
Davidson (Pioneer),11,2-9,8,3,11,10,11,21,-10,-0.91
Tennessee Tech (OVC),11,1-10,8,7,15,10,15,25,-10,-0.91
Robert Morris (NEC),11,2-9,7,5,12,10,12,22,-10,-0.91
Lehigh (Patriot),12,5-7,9,4,13,12,12,24,-11,-0.92
Towson (CAA),11,5-6,6,11,17,11,17,28,-11,-1.0
Marist (Pioneer),11,4-7,9,9,18,9,20,29,-11,-1.0
Nicholls (Southland),12,8-4,4,10,14,13,14,27,-13,-1.08
Chattanooga (SoCon),11,3-8,5,8,13,8,17,25,-12,-1.09
Mississippi Val. (SWAC),11,2-9,10,8,18,13,18,31,-13,-1.18
Delaware St. (MEAC),11,2-9,7,8,15,10,18,28,-13,-1.18
Jackson St. (SWAC),11,3-8,5,8,13,12,14,26,-13,-1.18
Indiana St. (MVFC),11,0-11,9,7,16,13,16,29,-13,-1.18
Morehead St. (Pioneer),11,4-7,7,9,16,14,16,30,-14,-1.27
Morgan St. (MEAC),11,1-10,11,7,18,14,19,33,-15,-1.36
UIW (Southland),11,1-10,4,8,12,9,19,28,-16,-1.45
Bryant (NEC),11,6-5,6,8,14,13,18,31,-17,-1.55
Ark.-Pine Bluff (SWAC),11,2-9,4,7,11,14,14,28,-17,-1.55
VMI (SoCon),11,0-11,2,4,6,9,19,28,-22,-2.0
