Team,Games,Win-Loss,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return
Fordham (Patriot),11,4-7,8,22,0,2.75
Central Conn. St. (NEC),12,8-4,23,73,0,3.17
Jacksonville St. (OVC),12,10-2,14,46,0,3.29
Columbia (Ivy League),10,8-2,24,80,0,3.33
James Madison (CAA),15,14-1,21,70,0,3.33
Southern Ill. (MVFC),11,4-7,23,79,0,3.43
Eastern Wash. (Big Sky),11,7-4,12,42,0,3.5
Ark.-Pine Bluff (SWAC),11,2-9,16,57,0,3.56
UT Martin (OVC),11,6-5,17,61,0,3.59
Nicholls (Southland),12,8-4,17,66,0,3.88
Butler (Pioneer),11,6-5,12,47,0,3.92
Bryant (NEC),11,6-5,12,48,0,4.0
Wagner (NEC),11,4-7,14,57,0,4.07
Cornell (Ivy League),10,3-7,13,53,0,4.08
Valparaiso (Pioneer),11,6-5,16,66,0,4.13
Florida A&M (MEAC),11,3-8,6,25,0,4.17
Jacksonville (Pioneer),11,7-4,10,45,0,4.5
Delaware (CAA),11,7-4,16,72,1,4.5
SFA (Southland),11,4-7,14,66,0,4.71
New Hampshire (CAA),14,9-5,15,71,0,4.73
Grambling (SWAC),13,11-2,21,100,0,4.76
The Citadel (SoCon),11,5-6,12,58,0,4.83
Harvard (Ivy League),10,5-5,14,68,0,4.86
Dartmouth (Ivy League),10,8-2,14,69,0,4.93
N.C. Central (MEAC),11,7-4,21,106,0,5.05
Penn (Ivy League),10,6-4,14,71,0,5.07
Lehigh (Patriot),12,5-7,17,87,0,5.12
Houston Christian (Southland),11,1-10,30,161,1,5.37
Northern Colo. (Big Sky),10,3-7,13,70,0,5.38
Colgate (Patriot),11,7-4,23,124,0,5.39
Campbell (Pioneer),11,6-5,10,54,0,5.4
Weber St. (Big Sky),14,11-3,19,108,0,5.68
Idaho St. (Big Sky),11,4-7,26,149,0,5.73
Eastern Ky. (OVC),11,4-7,12,69,0,5.75
Dayton (Pioneer),11,5-6,13,76,0,5.85
Alcorn (SWAC),12,7-5,22,130,0,5.91
Maine (CAA),10,4-6,17,101,0,5.94
Missouri St. (MVFC),11,3-8,17,101,0,5.94
Marist (Pioneer),11,4-7,21,125,0,5.95
Charleston So. (Big South),11,6-5,18,109,0,6.06
Cal Poly (Big Sky),11,1-10,17,105,1,6.18
Morehead St. (Pioneer),11,4-7,12,75,1,6.25
Towson (CAA),11,5-6,24,151,0,6.29
Alabama A&M (SWAC),11,4-7,33,209,0,6.33
Bethune-Cookman (MEAC),11,7-4,19,123,0,6.47
Duquesne (NEC),11,7-4,24,157,1,6.54
Austin Peay (OVC),12,8-4,27,181,0,6.7
Elon (CAA),12,8-4,28,190,2,6.79
North Dakota (Big Sky),11,3-8,13,90,0,6.92
South Carolina St. (MEAC),10,3-7,12,84,0,7.0
Richmond (CAA),11,6-5,6,42,1,7.0
Norfolk St. (MEAC),11,4-7,37,259,0,7.0
Sacramento St. (Big Sky),11,7-4,19,134,1,7.05
Morgan St. (MEAC),11,1-10,14,99,0,7.07
South Dakota (MVFC),13,8-5,20,142,0,7.1
