Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
UT Martin (OVC),11,6-5,33,11,4,5,20,0.606
San Diego (Pioneer),13,10-3,35,3,15,4,22,0.629
McNeese (Southland),11,9-2,27,3,8,6,17,0.63
Saint Francis (PA) (NEC),11,5-6,33,9,3,9,21,0.636
Alcorn (SWAC),12,7-5,31,9,7,4,20,0.645
New Hampshire (CAA),14,9-5,49,10,11,11,32,0.653
Central Ark. (Southland),12,10-2,32,8,6,7,21,0.656
Yale (Ivy League),10,9-1,24,4,6,6,16,0.667
Weber St. (Big Sky),14,11-3,37,9,5,11,25,0.676
Hampton (MEAC),11,6-5,44,14,8,8,30,0.682
Columbia (Ivy League),10,8-2,29,7,9,4,20,0.69
Jacksonville St. (OVC),12,10-2,23,5,4,7,16,0.696
Grambling (SWAC),13,11-2,47,10,14,9,33,0.702
James Madison (CAA),15,14-1,24,5,5,7,17,0.708
Villanova (CAA),11,5-6,32,7,4,12,23,0.719
Norfolk St. (MEAC),11,4-7,47,25,8,1,34,0.723
Alabama St. (SWAC),11,5-6,29,11,4,6,21,0.724
N.C. Central (MEAC),11,7-4,29,10,7,4,21,0.724
Cal Poly (Big Sky),11,1-10,33,4,11,9,24,0.727
South Carolina St. (MEAC),10,3-7,33,6,6,12,24,0.727
Houston Christian (Southland),11,1-10,48,16,7,12,35,0.729
Colgate (Patriot),11,7-4,37,14,6,7,27,0.73
Stetson (Pioneer),11,2-9,52,20,11,7,38,0.731
Western Ill. (MVFC),12,8-4,31,8,12,3,23,0.742
Tennessee Tech (OVC),11,1-10,47,12,14,9,35,0.745
Howard (MEAC),11,7-4,51,19,7,12,38,0.745
Northwestern St. (Southland),11,4-7,51,18,11,9,38,0.745
UAlbany (CAA),11,4-7,36,11,5,11,27,0.75
Central Conn. St. (NEC),12,8-4,48,14,11,11,36,0.75
Mercer (SoCon),11,5-6,40,16,10,4,30,0.75
Southeast Mo. St. (OVC),11,3-8,40,5,11,14,30,0.75
Montana (Big Sky),11,7-4,40,14,9,7,30,0.75
North Dakota St. (MVFC),15,14-1,36,11,5,11,27,0.75
Eastern Wash. (Big Sky),11,7-4,49,21,13,3,37,0.755
Valparaiso (Pioneer),11,6-5,46,16,10,9,35,0.761
UNI (MVFC),13,8-5,42,10,12,10,32,0.762
Prairie View (SWAC),11,6-5,38,8,12,9,29,0.763
Georgetown (Patriot),11,1-10,55,13,16,13,42,0.764
Jackson St. (SWAC),11,3-8,34,13,7,6,26,0.765
Northern Colo. (Big Sky),10,3-7,52,17,13,10,40,0.769
Kennesaw St. (Big South),14,12-2,26,8,7,5,20,0.769
Samford (SoCon),12,8-4,39,18,7,5,30,0.769
Delaware (CAA),11,7-4,26,6,9,5,20,0.769
Brown (Ivy League),10,2-8,45,15,10,10,35,0.778
Richmond (CAA),11,6-5,45,12,11,12,35,0.778
Holy Cross (Patriot),11,4-7,36,12,11,5,28,0.778
Monmouth (Big South),12,9-3,47,14,15,8,37,0.787
Western Caro. (SoCon),12,7-5,47,16,13,8,37,0.787
N.C. A&T (MEAC),12,12-0,19,6,4,5,15,0.789
Duquesne (NEC),11,7-4,38,15,11,4,30,0.789
Campbell (Pioneer),11,6-5,38,17,4,9,30,0.789
Stony Brook (CAA),13,10-3,43,13,12,9,34,0.791
Indiana St. (MVFC),11,0-11,53,18,17,7,42,0.792
Davidson (Pioneer),11,2-9,39,18,12,1,31,0.795
Towson (CAA),11,5-6,39,7,14,10,31,0.795
Southern Ill. (MVFC),11,4-7,44,12,14,9,35,0.795
SFA (Southland),11,4-7,44,9,16,10,35,0.795
Murray St. (OVC),11,3-8,49,20,12,7,39,0.796
Sam Houston (Southland),14,12-2,54,15,16,12,43,0.796
Charleston So. (Big South),11,6-5,35,9,10,9,28,0.8
Illinois St. (MVFC),11,6-5,25,9,6,5,20,0.8
South Dakota St. (MVFC),14,11-3,45,16,12,8,36,0.8
Morehead St. (Pioneer),11,4-7,65,34,10,8,52,0.8
Southern Utah (Big Sky),12,9-3,51,19,14,8,41,0.804
Fordham (Patriot),11,4-7,46,19,11,7,37,0.804
Butler (Pioneer),11,6-5,41,12,13,8,33,0.805
Wofford (SoCon),13,10-3,47,15,14,9,38,0.809
William & Mary (CAA),11,2-9,42,17,8,9,34,0.81
Furman (SoCon),13,8-5,42,18,9,7,34,0.81
Tennessee St. (OVC),11,6-5,32,10,7,8,26,0.813
Bethune-Cookman (MEAC),11,7-4,43,15,10,10,35,0.814
Northern Ariz. (Big Sky),12,7-5,43,17,5,13,35,0.814
Presbyterian (Big South),11,4-7,43,21,9,5,35,0.814
Southeastern La. (Southland),11,6-5,38,17,7,7,31,0.816
VMI (SoCon),11,0-11,55,28,7,10,45,0.818
Chattanooga (SoCon),11,3-8,33,15,6,6,27,0.818
Rhode Island (CAA),11,3-8,44,12,15,9,36,0.818
Dartmouth (Ivy League),10,8-2,33,6,14,7,27,0.818
Robert Morris (NEC),11,2-9,44,13,12,11,36,0.818
Cornell (Ivy League),10,3-7,39,14,8,10,32,0.821
Princeton (Ivy League),10,5-5,39,19,4,9,32,0.821
Montana St. (Big Sky),11,5-6,40,15,5,13,33,0.825
Dayton (Pioneer),11,5-6,29,10,5,9,24,0.828
Eastern Ill. (OVC),11,6-5,41,15,6,13,34,0.829
Bryant (NEC),11,6-5,48,11,19,10,40,0.833
Elon (CAA),12,8-4,42,16,7,12,35,0.833
Lafayette (Patriot),11,3-8,43,18,9,9,36,0.837
Morgan St. (MEAC),11,1-10,25,10,6,5,21,0.84
Nicholls (Southland),12,8-4,38,11,12,9,32,0.842
Florida A&M (MEAC),11,3-8,38,17,9,6,32,0.842
Alabama A&M (SWAC),11,4-7,32,16,7,4,27,0.844
Harvard (Ivy League),10,5-5,32,10,11,6,27,0.844
Maine (CAA),10,4-6,26,6,12,4,22,0.846
Delaware St. (MEAC),11,2-9,47,21,15,4,40,0.851
North Dakota (Big Sky),11,3-8,54,24,12,10,46,0.852
Wagner (NEC),11,4-7,34,11,11,7,29,0.853
Sacred Heart (NEC),11,4-7,34,8,12,9,29,0.853
Ark.-Pine Bluff (SWAC),11,2-9,48,15,18,8,41,0.854
Gardner-Webb (Big South),11,1-10,35,17,7,6,30,0.857
Penn (Ivy League),10,6-4,35,16,9,5,30,0.857
Abilene Christian (Southland),11,2-9,43,14,11,12,37,0.86
Portland St. (Big Sky),11,0-11,58,30,9,11,50,0.862
Lehigh (Patriot),12,5-7,51,29,7,8,44,0.863
South Dakota (MVFC),13,8-5,44,17,12,9,38,0.864
Marist (Pioneer),11,4-7,52,19,8,18,45,0.865
ETSU (SoCon),11,4-7,38,14,11,8,33,0.868
UIW (Southland),11,1-10,46,23,11,6,40,0.87
Idaho St. (Big Sky),11,4-7,46,17,13,10,40,0.87
The Citadel (SoCon),11,5-6,31,16,7,4,27,0.871
Southern U. (SWAC),11,7-4,39,10,13,11,34,0.872
Austin Peay (OVC),12,8-4,39,12,16,6,34,0.872
Eastern Ky. (OVC),11,4-7,32,15,5,8,28,0.875
