Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Stetson (Pioneer),11,2-9,20,17,1,0,9,0,166,15.1
William & Mary (CAA),11,2-9,20,16,1,0,9,0,165,15.0
Mississippi Val. (SWAC),11,2-9,22,18,0,0,4,1,164,14.9
Delaware St. (MEAC),11,2-9,19,14,1,0,8,2,158,14.4
Indiana St. (MVFC),11,0-11,19,15,1,0,9,0,158,14.4
Alabama St. (SWAC),11,5-6,17,16,0,0,12,0,154,14.0
Houston Christian (Southland),11,1-10,18,14,0,0,8,2,150,13.6
Brown (Ivy League),10,2-8,18,14,0,0,2,1,130,13.0
Jackson St. (SWAC),11,3-8,16,14,0,0,10,0,140,12.7
Georgetown (Patriot),11,1-10,18,13,0,0,5,1,138,12.5
Lafayette (Patriot),11,3-8,17,15,0,0,5,0,132,12.0
Robert Morris (NEC),11,2-9,13,11,1,0,7,0,112,10.2
VMI (SoCon),11,0-11,10,10,0,0,6,0,88,8.0
