Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Sam Houston (Southland),14,12-2,78,66,0,0,22,3,606,43.3
North Dakota St. (MVFC),15,14-1,79,75,0,0,10,1,581,38.7
Princeton (Ivy League),10,5-5,51,41,3,0,9,1,382,38.2
South Dakota (MVFC),13,8-5,68,67,0,0,7,0,496,38.2
Sacramento St. (Big Sky),11,7-4,53,52,0,0,14,1,414,37.6
South Dakota St. (MVFC),14,11-3,70,58,2,0,13,0,521,37.2
San Diego (Pioneer),13,10-3,63,63,0,0,10,1,473,36.4
Lehigh (Patriot),12,5-7,60,51,2,0,5,0,430,35.8
Central Ark. (Southland),12,10-2,55,52,0,0,15,1,429,35.8
N.C. A&T (MEAC),12,12-0,57,48,1,0,9,1,421,35.1
Montana (Big Sky),11,7-4,49,44,0,1,15,0,385,35.0
Southeastern La. (Southland),11,6-5,51,50,0,0,9,0,383,34.8
Yale (Ivy League),10,9-1,47,39,2,0,6,1,345,34.5
Eastern Wash. (Big Sky),11,7-4,50,47,1,0,10,0,379,34.5
James Madison (CAA),15,14-1,64,59,1,0,23,1,516,34.4
Western Ill. (MVFC),12,8-4,54,46,1,0,12,1,410,34.2
Campbell (Pioneer),11,6-5,50,48,0,0,8,0,372,33.8
Weber St. (Big Sky),14,11-3,59,53,4,0,19,0,472,33.7
UC Davis (Big Sky),11,5-6,50,46,0,0,8,0,370,33.6
Southern Utah (Big Sky),12,9-3,52,41,3,0,14,1,403,33.6
Monmouth (Big South),12,9-3,55,48,1,0,4,1,394,32.8
Furman (SoCon),13,8-5,57,55,0,0,9,0,424,32.6
Western Caro. (SoCon),12,7-5,51,48,0,1,11,0,389,32.4
Duquesne (NEC),11,7-4,47,42,0,0,10,0,354,32.2
Grambling (SWAC),13,11-2,49,48,0,1,18,4,406,31.2
Alcorn (SWAC),12,7-5,46,43,1,0,17,0,372,31.0
Richmond (CAA),11,6-5,44,38,0,0,12,1,340,30.9
Bryant (NEC),11,6-5,44,36,4,1,7,1,333,30.3
Northern Ariz. (Big Sky),12,7-5,47,42,0,0,13,0,363,30.3
Kennesaw St. (Big South),14,12-2,53,52,0,0,17,0,421,30.1
Valparaiso (Pioneer),11,6-5,43,37,1,0,11,0,330,30.0
Prairie View (SWAC),11,6-5,43,42,0,0,10,0,330,30.0
Howard (MEAC),11,7-4,45,40,2,0,5,0,329,29.9
McNeese (Southland),11,9-2,41,37,0,0,15,0,328,29.8
Penn (Ivy League),10,6-4,38,36,1,1,10,0,298,29.8
Youngstown St. (MVFC),11,6-5,43,43,0,0,8,1,327,29.7
Jacksonville (Pioneer),11,7-4,43,39,2,1,7,0,324,29.5
UNI (MVFC),13,8-5,46,40,3,0,20,0,382,29.4
Central Conn. St. (NEC),12,8-4,47,42,2,0,8,0,352,29.3
Stony Brook (CAA),13,10-3,50,44,0,0,12,0,380,29.2
Jacksonville St. (OVC),12,10-2,44,41,0,0,13,1,346,28.8
Nicholls (Southland),12,8-4,40,35,1,0,20,1,339,28.3
Idaho St. (Big Sky),11,4-7,41,36,0,0,9,0,309,28.1
Samford (SoCon),12,8-4,43,41,0,0,11,2,336,28.0
Northern Colo. (Big Sky),10,3-7,35,33,1,0,11,0,278,27.8
Colgate (Patriot),11,7-4,40,38,0,0,9,0,305,27.7
Dartmouth (Ivy League),10,8-2,35,30,2,0,10,0,274,27.4
Southern Ill. (MVFC),11,4-7,41,40,0,0,5,0,301,27.4
Southern U. (SWAC),11,7-4,41,37,0,0,6,0,301,27.4
Austin Peay (OVC),12,8-4,45,42,0,0,5,0,327,27.3
Drake (Pioneer),11,7-4,36,35,1,0,14,0,295,26.8
Butler (Pioneer),11,6-5,35,30,1,0,16,2,294,26.7
Illinois St. (MVFC),11,6-5,35,35,0,0,14,0,287,26.1
Wofford (SoCon),13,10-3,43,41,1,0,11,0,334,25.7
Montana St. (Big Sky),11,5-6,38,33,0,1,5,0,278,25.3
North Dakota (Big Sky),11,3-8,33,32,1,0,15,0,277,25.2
Sacred Heart (NEC),11,4-7,36,27,2,0,10,0,277,25.2
Maine (CAA),10,4-6,31,23,1,0,11,1,246,24.6
Mercer (SoCon),11,5-6,36,33,0,0,7,0,270,24.5
Tennessee St. (OVC),11,6-5,31,30,0,0,15,3,267,24.3
Missouri St. (MVFC),11,3-8,33,28,1,0,12,1,266,24.2
Morehead St. (Pioneer),11,4-7,38,26,3,0,2,0,266,24.2
Columbia (Ivy League),10,8-2,31,27,0,0,8,1,239,23.9
Portland St. (Big Sky),11,0-11,36,25,2,0,3,1,256,23.3
Holy Cross (Patriot),11,4-7,32,27,1,0,11,0,254,23.1
Northwestern St. (Southland),11,4-7,30,28,0,0,14,0,250,22.7
Charleston So. (Big South),11,6-5,33,31,0,0,7,0,250,22.7
Lamar University (Southland),11,2-9,34,32,0,1,3,0,247,22.5
New Hampshire (CAA),14,9-5,42,33,3,0,6,0,309,22.1
Harvard (Ivy League),10,5-5,28,23,1,0,9,0,220,22.0
Florida A&M (MEAC),11,3-8,32,27,0,0,7,1,242,22.0
Saint Francis (PA) (NEC),11,5-6,30,29,0,0,10,1,241,21.9
Fordham (Patriot),11,4-7,32,24,0,1,7,0,239,21.7
Dayton (Pioneer),11,5-6,28,25,0,0,15,0,238,21.6
The Citadel (SoCon),11,5-6,31,29,0,0,6,2,237,21.5
N.C. Central (MEAC),11,7-4,30,29,0,0,9,0,236,21.5
Hampton (MEAC),11,6-5,31,28,1,0,6,1,236,21.5
Elon (CAA),12,8-4,31,23,0,0,15,1,256,21.3
Marist (Pioneer),11,4-7,31,27,0,0,7,0,234,21.3
Wagner (NEC),11,4-7,29,25,1,0,11,0,234,21.3
Delaware (CAA),11,7-4,28,28,0,0,11,2,233,21.2
Murray St. (OVC),11,3-8,27,24,2,0,14,0,232,21.1
UIW (Southland),11,1-10,30,26,0,0,8,1,232,21.1
Ark.-Pine Bluff (SWAC),11,2-9,27,22,3,0,13,1,231,21.0
Villanova (CAA),11,5-6,29,26,2,0,9,0,231,21.0
Bethune-Cookman (MEAC),11,7-4,28,24,0,0,12,0,228,20.7
Eastern Ky. (OVC),11,4-7,28,23,2,0,11,0,228,20.7
South Carolina St. (MEAC),10,3-7,24,22,0,0,11,3,205,20.5
Southeast Mo. St. (OVC),11,3-8,29,26,0,0,7,2,225,20.5
Rhode Island (CAA),11,3-8,28,23,2,0,9,0,222,20.2
Davidson (Pioneer),11,2-9,26,24,0,0,12,2,220,20.0
SFA (Southland),11,4-7,25,24,0,0,14,0,216,19.6
UT Martin (OVC),11,6-5,27,24,0,0,10,0,216,19.6
Savannah St. (MEAC),11,3-8,27,26,0,0,8,1,214,19.5
Morgan St. (MEAC),11,1-10,29,23,1,1,3,2,214,19.5
ETSU (SoCon),11,4-7,24,21,2,0,14,0,211,19.2
Abilene Christian (Southland),11,2-9,25,24,1,0,11,0,209,19.0
Norfolk St. (MEAC),11,4-7,27,23,2,1,6,0,209,19.0
Cal Poly (Big Sky),11,1-10,26,26,0,0,7,0,203,18.5
Chattanooga (SoCon),11,3-8,24,22,1,0,9,0,195,17.7
Eastern Ill. (OVC),11,6-5,24,17,0,0,11,0,194,17.6
Alabama A&M (SWAC),11,4-7,25,24,0,0,5,2,193,17.5
Towson (CAA),11,5-6,22,17,1,0,13,1,192,17.5
UAlbany (CAA),11,4-7,23,18,0,0,11,1,191,17.4
Cornell (Ivy League),10,3-7,21,14,3,0,9,0,173,17.3
Bucknell (Patriot),11,5-6,21,15,1,0,14,0,185,16.8
Texas Southern (SWAC),11,2-9,23,21,0,0,7,1,182,16.5
Presbyterian (Big South),11,4-7,24,24,0,0,4,1,182,16.5
Gardner-Webb (Big South),11,1-10,21,21,0,0,10,0,177,16.1
Tennessee Tech (OVC),11,1-10,21,21,0,0,9,0,174,15.8
