Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Sam Houston (Southland),14,12-2,594,340,18,5078,8.55,14.94,46,362.7
Princeton (Ivy League),10,5-5,399,289,9,3514,8.81,12.16,30,351.4
UC Davis (Big Sky),11,5-6,472,318,10,3831,8.12,12.05,29,348.3
Richmond (CAA),11,6-5,436,283,12,3751,8.6,13.25,28,341.0
Samford (SoCon),12,8-4,531,349,11,4001,7.53,11.46,31,333.4
South Dakota (MVFC),13,8-5,510,333,8,4331,8.49,13.01,36,333.2
Lehigh (Patriot),12,5-7,460,295,12,3911,8.5,13.26,31,325.9
Eastern Wash. (Big Sky),11,7-4,451,278,14,3525,7.82,12.68,29,320.5
Bryant (NEC),11,6-5,448,264,18,3364,7.51,12.74,26,305.8
Montana (Big Sky),11,7-4,416,252,16,3361,8.08,13.34,24,305.5
Northern Ariz. (Big Sky),12,7-5,518,295,8,3612,6.97,12.24,24,301.0
Morehead St. (Pioneer),11,4-7,414,255,16,3097,7.48,12.15,24,281.5
Northern Colo. (Big Sky),10,3-7,357,195,12,2809,7.87,14.41,19,280.9
Mississippi Val. (SWAC),11,2-9,433,245,18,3079,7.11,12.57,18,279.9
Central Ark. (Southland),12,10-2,318,211,9,3225,10.14,15.28,30,268.8
Valparaiso (Pioneer),11,6-5,348,203,14,2899,8.33,14.28,20,263.5
Southern Utah (Big Sky),12,9-3,439,276,15,3153,7.18,11.42,21,262.8
South Dakota St. (MVFC),14,11-3,455,262,15,3668,8.06,14.0,35,262.0
Prairie View (SWAC),11,6-5,411,215,9,2877,7.0,13.38,27,261.5
Drake (Pioneer),11,7-4,350,201,12,2858,8.17,14.22,20,259.8
New Hampshire (CAA),14,9-5,505,308,11,3632,7.19,11.79,28,259.4
Portland St. (Big Sky),11,0-11,442,231,14,2853,6.45,12.35,17,259.4
Idaho St. (Big Sky),11,4-7,347,198,11,2822,8.13,14.25,22,256.5
N.C. A&T (MEAC),12,12-0,343,218,7,3070,8.95,14.08,28,255.8
San Diego (Pioneer),13,10-3,403,260,5,3305,8.2,12.71,36,254.2
Holy Cross (Patriot),11,4-7,440,240,7,2796,6.35,11.65,17,254.2
Abilene Christian (Southland),11,2-9,473,285,11,2691,5.69,9.44,17,244.6
Marist (Pioneer),11,4-7,431,220,20,2688,6.24,12.22,14,244.4
Western Ill. (MVFC),12,8-4,352,225,7,2896,8.23,12.87,27,241.3
Columbia (Ivy League),10,8-2,333,207,11,2408,7.23,11.63,17,240.8
Fordham (Patriot),11,4-7,384,221,6,2628,6.84,11.89,17,238.9
Sacred Heart (NEC),11,4-7,357,218,13,2596,7.27,11.91,15,236.0
