Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Stanford (Pac-12),14,12-2,487:12,34:48
Western Mich. (MAC),13,8-5,449:13,34:33
Arkansas (SEC),13,8-5,447:04,34:23
Ga. Southern (Sun Belt),13,9-4,441:55,33:59
Wisconsin (Big Ten),13,10-3,440:10,33:51
UTEP (CUSA),12,5-7,403:45,33:38
Rice (CUSA),12,5-7,403:42,33:38
Alabama (SEC),15,14-1,503:50,33:35
Michigan (Big Ten),13,10-3,435:01,33:27
San Jose St. (Mountain West),13,6-7,430:37,33:07
NC State (ACC),13,7-6,429:42,33:03
Navy (AAC),13,11-2,428:22,32:57
Central Mich. (MAC),13,7-6,428:19,32:56
Temple (AAC),14,10-4,461:00,32:55
Michigan St. (Big Ten),14,12-2,460:03,32:51
Akron (),13,8-5,426:40,32:49
San Diego St. (Mountain West),14,11-3,458:09,32:43
Utah (Pac-12),13,10-3,425:23,32:43
Virginia (ACC),12,4-8,392:18,32:41
Nebraska (Big Ten),13,6-7,421:06,32:23
Air Force (Mountain West),14,8-6,452:49,32:20
Ohio (MAC),13,8-5,419:34,32:16
Army West Point (FBS Independent),12,2-10,387:04,32:15
Kansas St. (Big 12),13,6-7,417:48,32:08
Vanderbilt (SEC),12,4-8,385:28,32:07
Clemson (ACC),15,14-1,479:03,31:56
Boise St. (Mountain West),13,9-4,413:43,31:49
Idaho (Sun Belt),12,4-8,380:38,31:43
Pittsburgh (ACC),13,8-5,412:14,31:42
Iowa (Big Ten),14,12-2,442:51,31:37
Iowa St. (Big 12),12,3-9,378:24,31:32
Arizona St. (Pac-12),13,6-7,409:26,31:29
Virginia Tech (ACC),13,7-6,408:50,31:26
SMU (AAC),12,2-10,376:50,31:24
App State (Sun Belt),13,11-2,408:05,31:23
TCU (Big 12),13,11-2,407:44,31:21
LSU (SEC),12,9-3,376:01,31:20
Houston (AAC),14,13-1,438:34,31:19
Rutgers (Big Ten),12,4-8,375:16,31:16
Wake Forest (ACC),12,3-9,373:47,31:08
Georgia Tech (ACC),12,3-9,373:37,31:08
New Mexico (Mountain West),13,7-6,404:12,31:05
UNLV (Mountain West),12,3-9,373:03,31:05
Buffalo (MAC),12,5-7,372:55,31:04
Colorado (Pac-12),13,4-9,403:37,31:02
Florida (SEC),14,10-4,433:38,30:58
Cincinnati (AAC),13,7-6,401:24,30:52
UConn (AAC),13,6-7,400:44,30:49
