Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Alabama (SEC),15,14-1,468,1136,2.43,7,75.7
Boston College (ACC),12,3-9,416,994,2.39,6,82.8
Akron (),13,8-5,410,1208,2.95,12,92.9
Wisconsin (Big Ten),13,10-3,396,1240,3.13,13,95.4
Boise St. (Mountain West),13,9-4,440,1407,3.20,14,108.2
Utah (Pac-12),13,10-3,430,1412,3.28,11,108.6
San Diego St. (Mountain West),14,11-3,482,1522,3.16,14,108.7
Houston (AAC),14,13-1,480,1524,3.18,16,108.9
Nebraska (Big Ten),13,6-7,379,1428,3.77,18,109.8
Toledo (MAC),12,10-2,413,1382,3.35,11,115.2
Michigan St. (Big Ten),14,12-2,449,1624,3.62,16,116.0
Arkansas (SEC),13,8-5,403,1514,3.76,25,116.5
Louisiana Tech (C-USA),13,9-4,440,1551,3.53,13,119.3
Louisville (ACC),13,8-5,477,1563,3.28,11,120.2
Iowa (Big Ten),14,12-2,469,1700,3.62,11,121.4
Michigan (Big Ten),13,10-3,437,1589,3.64,12,122.2
LSU (SEC),12,9-3,387,1475,3.81,14,122.9
Clemson (ACC),15,14-1,531,1879,3.54,18,125.3
Washington (Pac-12),13,7-6,495,1629,3.29,15,125.3
Northwestern (Big Ten),13,10-3,463,1640,3.54,21,126.2
Arizona St. (Pac-12),13,6-7,451,1641,3.64,16,126.2
Ohio St. (Big Ten),13,12-1,488,1649,3.38,10,126.8
Ole Miss (SEC),13,10-3,496,1652,3.33,9,127.1
Temple (AAC),14,10-4,470,1790,3.81,16,127.9
Florida (SEC),14,10-4,508,1793,3.53,12,128.1
Ga. Southern (Sun Belt),13,9-4,438,1702,3.89,13,130.9
App State (Sun Belt),13,11-2,497,1710,3.44,15,131.5
Missouri (SEC),12,5-7,484,1593,3.29,11,132.8
Central Mich. (MAC),13,7-6,453,1810,4.00,17,139.2
Stanford (Pac-12),14,12-2,453,1958,4.32,16,139.9
South Fla. (AAC),13,8-5,497,1838,3.70,19,141.4
Navy (AAC),13,11-2,452,1859,4.11,17,143.0
Vanderbilt (SEC),12,4-8,427,1718,4.02,12,143.2
BYU (FBS Independent),13,9-4,511,1870,3.66,22,143.8
Kent St. (MAC),12,3-9,494,1727,3.50,15,143.9
Air Force (Mountain West),14,8-6,483,2026,4.19,20,144.7
Florida St. (ACC),13,10-3,493,1889,3.83,10,145.3
Memphis (AAC),13,9-4,541,1905,3.52,24,146.5
NC State (ACC),13,7-6,444,1917,4.32,18,147.5
Pittsburgh (ACC),13,8-5,444,1930,4.35,18,148.5
Southern California (Pac-12),14,8-6,527,2090,3.97,17,149.3
Georgia (SEC),13,10-3,491,1943,3.96,11,149.5
Penn St. (Big Ten),13,7-6,510,1963,3.85,19,151.0
Arkansas St. (Sun Belt),13,9-4,454,1969,4.34,21,151.5
Tennessee (SEC),13,9-4,470,1971,4.19,13,151.6
Southern Miss. (C-USA),14,9-5,506,2126,4.20,17,151.9
Utah St. (Mountain West),13,6-7,552,1975,3.58,27,151.9
Middle Tenn. (C-USA),13,7-6,484,1978,4.09,18,152.2
Duke (ACC),13,8-5,553,1999,3.61,17,153.8
Virginia (ACC),12,4-8,418,1879,4.50,15,156.6
West Virginia (Big 12),13,8-5,522,2063,3.95,9,158.7
Wake Forest (ACC),12,3-9,462,1935,4.19,16,161.3
Oklahoma (Big 12),13,11-2,552,2102,3.81,15,161.7
Maryland (Big Ten),12,3-9,521,1953,3.75,23,162.8
UTEP (C-USA),12,5-7,394,1953,4.96,19,162.8
Baylor (Big 12),13,10-3,552,2120,3.84,17,163.1
Georgia Tech (ACC),12,3-9,422,1981,4.69,24,165.1
Army West Point (FBS Independent),12,2-10,436,1982,4.55,26,165.2
Western Ky. (C-USA),14,12-2,525,2318,4.42,17,165.6
UConn (AAC),13,6-7,486,2155,4.43,13,165.8
Minnesota (Big Ten),13,6-7,523,2163,4.14,23,166.4
Illinois (Big Ten),12,5-7,468,1997,4.27,16,166.4
Kansas St. (Big 12),13,6-7,491,2167,4.41,25,166.7
Marshall (C-USA),13,10-3,547,2185,3.99,12,168.1
Ohio (MAC),13,8-5,438,2187,4.99,21,168.2
Fla. Atlantic (C-USA),12,3-9,504,2021,4.01,17,168.4
UTSA (C-USA),12,3-9,483,2027,4.20,21,168.9
Miami (OH) (MAC),12,3-9,488,2027,4.15,27,168.9
East Carolina (AAC),12,5-7,518,2094,4.04,21,174.5
Mississippi St. (SEC),13,9-4,531,2270,4.27,16,174.6
NIU (MAC),14,8-6,612,2446,4.00,17,174.7
Notre Dame (FBS Independent),13,10-3,496,2283,4.60,21,175.6
Oregon (Pac-12),13,9-4,491,2324,4.73,24,178.8
Tulane (AAC),12,3-9,518,2146,4.14,29,178.8
Virginia Tech (ACC),13,7-6,514,2349,4.57,22,180.7
Western Mich. (MAC),13,8-5,448,2354,5.25,24,181.1
Georgia St. (Sun Belt),13,6-7,542,2354,4.34,18,181.1
Syracuse (ACC),12,4-8,459,2182,4.75,24,181.8
Bowling Green (MAC),14,10-4,592,2553,4.31,28,182.4
TCU (Big 12),13,11-2,562,2374,4.22,27,182.6
Auburn (SEC),13,7-6,523,2375,4.54,24,182.7
Louisiana (Sun Belt),12,4-8,487,2205,4.53,17,183.8
FIU (C-USA),12,5-7,482,2221,4.61,25,185.1
Buffalo (MAC),12,5-7,491,2233,4.55,23,186.1
Rutgers (Big Ten),12,4-8,442,2233,5.05,33,186.1
Iowa St. (Big 12),12,3-9,479,2239,4.67,21,186.6
Oklahoma St. (Big 12),13,10-3,571,2430,4.26,26,186.9
Rice (C-USA),12,5-7,444,2283,5.14,21,190.3
Nevada (Mountain West),13,7-6,512,2488,4.86,20,191.4
Cincinnati (AAC),13,7-6,507,2491,4.91,21,191.6
Troy (Sun Belt),12,4-8,562,2306,4.10,20,192.2
Washington St. (Pac-12),13,9-4,509,2502,4.92,24,192.5
New Mexico (Mountain West),13,7-6,552,2505,4.54,22,192.7
Massachusetts (MAC),12,3-9,530,2315,4.37,22,192.9
Indiana (Big Ten),13,6-7,487,2544,5.22,30,195.7
Kentucky (SEC),12,5-7,510,2353,4.61,24,196.1
UCLA (Pac-12),13,8-5,587,2580,4.40,17,198.5
Arizona (Pac-12),13,7-6,581,2581,4.44,30,198.5
Colorado (Pac-12),13,4-9,513,2583,5.04,19,198.7
UCF (AAC),12,0-12,495,2390,4.83,24,199.2
Miami (FL) (ACC),13,8-5,496,2608,5.26,25,200.6
San Jose St. (Mountain West),13,6-7,513,2610,5.09,29,200.8
Old Dominion (C-USA),12,5-7,522,2440,4.67,30,203.3
ULM (Sun Belt),13,2-11,638,2704,4.24,27,208.0
California (Pac-12),13,8-5,565,2727,4.83,24,209.8
Colorado St. (Mountain West),13,7-6,553,2773,5.01,27,213.3
Texas A&M (SEC),13,8-5,555,2778,5.01,19,213.7
Purdue (Big Ten),12,2-10,504,2579,5.12,28,214.9
South Carolina (SEC),12,3-9,509,2609,5.13,26,217.4
UNLV (Mountain West),12,3-9,462,2610,5.65,32,217.5
Texas (Big 12),12,5-7,583,2630,4.51,21,219.2
South Alabama (Sun Belt),12,5-7,493,2652,5.38,34,221.0
Wyoming (Mountain West),12,2-10,512,2702,5.28,28,225.2
Oregon St. (Pac-12),12,2-10,526,2706,5.14,28,225.5
Ball St. (MAC),12,3-9,512,2706,5.29,29,225.5
Fresno St. (Mountain West),12,3-9,563,2816,5.00,32,234.7
Tulsa (AAC),13,6-7,592,3116,5.26,37,239.7
Hawaii (Mountain West),13,3-10,686,3118,4.55,33,239.8
North Texas (C-USA),12,1-11,531,2879,5.42,38,239.9
New Mexico St. (Sun Belt),12,3-9,521,2907,5.58,35,242.3
North Carolina (ACC),14,11-3,675,3463,5.13,28,247.4
Texas St. (Sun Belt),12,3-9,542,3096,5.71,31,258.0
SMU (AAC),12,2-10,542,3134,5.78,40,261.2
Kansas (Big 12),12,0-12,565,3206,5.67,39,267.2
Idaho (Sun Belt),12,4-8,517,3279,6.34,39,273.3
Texas Tech (Big 12),13,7-6,590,3639,6.17,49,279.9
Eastern Mich. (MAC),12,1-11,588,3798,6.46,44,316.5
Charlotte (C-USA),12,2-10,500,2287,4.57,23,190.6
