Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Boston College (ACC),12,3-9,95,40,470,115,9.6
Missouri (SEC),12,5-7,78,56,373,106,8.8
Texas A&M (SEC),13,8-5,89,44,390,111,8.5
Arizona St. (Pac-12),13,6-7,94,34,445,111,8.5
Clemson (ACC),15,14-1,109,34,535,126,8.4
Penn St. (Big Ten),13,7-6,82,48,502,106,8.2
Ole Miss (SEC),13,10-3,83,44,398,105,8.1
Washington St. (Pac-12),13,9-4,84,36,377,102,7.8
Mississippi St. (SEC),13,9-4,63,70,403,98,7.5
BYU (FBS Independent),13,9-4,76,44,361,98,7.5
Baylor (Big 12),13,10-3,85,26,349,98,7.5
Tulane (AAC),12,3-9,82,16,388,90,7.5
South Fla. (AAC),13,8-5,77,40,425,97,7.5
Louisville (ACC),13,8-5,78,38,396,97,7.5
App State (Sun Belt),13,11-2,74,46,375,97,7.5
Illinois (Big Ten),12,5-7,72,34,307,89,7.4
Temple (AAC),14,10-4,85,36,362,103,7.4
Boise St. (Mountain West),13,9-4,75,40,357,95,7.3
Oklahoma St. (Big 12),13,10-3,82,26,344,95,7.3
Maryland (Big Ten),12,3-9,70,34,320,87,7.3
Utah (Pac-12),13,10-3,74,40,375,94,7.2
Colorado St. (Mountain West),13,7-6,73,42,346,94,7.2
Florida (SEC),14,10-4,71,60,454,101,7.2
Alabama (SEC),15,14-1,92,32,484,108,7.2
New Mexico (Mountain West),13,7-6,75,34,347,92,7.1
San Diego St. (Mountain West),14,11-3,76,46,378,99,7.1
Oregon (Pac-12),13,9-4,73,36,368,91,7.0
West Virginia (Big 12),13,8-5,83,16,320,91,7.0
Washington (Pac-12),13,7-6,71,40,396,91,7.0
Louisiana Tech (C-USA),13,9-4,74,34,378,91,7.0
Oklahoma (Big 12),13,11-2,74,32,372,90,6.9
Northwestern (Big Ten),13,10-3,74,32,326,90,6.9
Miami (OH) (MAC),12,3-9,65,36,333,83,6.9
Troy (Sun Belt),12,4-8,65,36,312,83,6.9
ULM (Sun Belt),13,2-11,71,36,317,89,6.8
NC State (ACC),13,7-6,65,48,312,89,6.8
Kent St. (MAC),12,3-9,56,52,319,82,6.8
