Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Penn St. (Big Ten),13,7-6,2,13,0.154
Boston College (ACC),12,3-9,1,5,0.200
Texas A&M (SEC),13,8-5,3,15,0.200
Vanderbilt (SEC),12,4-8,4,17,0.235
Memphis (AAC),13,9-4,5,19,0.263
Wisconsin (Big Ten),13,10-3,6,20,0.300
Ga. Southern (Sun Belt),13,9-4,6,20,0.300
Ole Miss (SEC),13,10-3,7,23,0.304
South Alabama (Sun Belt),12,5-7,4,13,0.308
Western Mich. (MAC),13,8-5,7,22,0.318
Arkansas St. (Sun Belt),13,9-4,5,15,0.333
New Mexico (Mountain West),13,7-6,8,23,0.348
Alabama (SEC),15,14-1,7,20,0.350
Marshall (CUSA),13,10-3,9,25,0.360
Nebraska (Big Ten),13,6-7,9,25,0.360
Rutgers (Big Ten),12,4-8,8,22,0.364
Michigan (Big Ten),13,10-3,9,24,0.375
Southern California (Pac-12),14,8-6,8,21,0.381
UNLV (Mountain West),12,3-9,8,21,0.381
Akron (),13,8-5,9,23,0.391
UConn (AAC),13,6-7,9,23,0.391
Ohio St. (Big Ten),13,12-1,9,23,0.391
Baylor (Big 12),13,10-3,9,23,0.391
Washington St. (Pac-12),13,9-4,11,27,0.407
Kansas St. (Big 12),13,6-7,9,22,0.409
Duke (ACC),13,8-5,9,22,0.409
Toledo (MAC),12,10-2,8,19,0.421
Oklahoma (Big 12),13,11-2,6,14,0.429
West Virginia (Big 12),13,8-5,12,28,0.429
Buffalo (MAC),12,5-7,12,28,0.429
Clemson (ACC),15,14-1,9,21,0.429
Iowa St. (Big 12),12,3-9,6,14,0.429
Miami (FL) (ACC),13,8-5,7,16,0.438
FIU (CUSA),12,5-7,7,16,0.438
Texas Tech (Big 12),13,7-6,7,16,0.438
Louisville (ACC),13,8-5,8,18,0.444
Wake Forest (ACC),12,3-9,4,9,0.444
Arkansas (SEC),13,8-5,9,20,0.450
Temple (AAC),14,10-4,9,20,0.450
Missouri (SEC),12,5-7,5,11,0.455
NC State (ACC),13,7-6,5,11,0.455
Northwestern (Big Ten),13,10-3,11,24,0.458
LSU (SEC),12,9-3,12,26,0.462
Auburn (SEC),13,7-6,13,28,0.464
Indiana (Big Ten),13,6-7,13,28,0.464
UTEP (CUSA),12,5-7,7,15,0.467
Miami (OH) (MAC),12,3-9,7,15,0.467
Massachusetts (MAC),12,3-9,7,15,0.467
Purdue (Big Ten),12,2-10,7,15,0.467
Houston (AAC),14,13-1,8,17,0.471
Colorado (Pac-12),13,4-9,9,19,0.474
Virginia (ACC),12,4-8,9,19,0.474
Florida St. (ACC),13,10-3,9,19,0.474
Oregon St. (Pac-12),12,2-10,9,19,0.474
Middle Tenn. (CUSA),13,7-6,10,21,0.476
Central Mich. (MAC),13,7-6,11,23,0.478
Southern Miss. (CUSA),14,9-5,11,23,0.478
Utah St. (Mountain West),13,6-7,12,25,0.480
ULM (Sun Belt),13,2-11,14,29,0.483
Navy (AAC),13,11-2,14,29,0.483
Bowling Green (MAC),14,10-4,15,31,0.484
Rice (CUSA),12,5-7,6,12,0.500
Texas St. (Sun Belt),12,3-9,10,20,0.500
Minnesota (Big Ten),13,6-7,8,16,0.500
BYU (FBS Independent),13,9-4,10,20,0.500
Pittsburgh (ACC),13,8-5,7,14,0.500
Maryland (Big Ten),12,3-9,9,18,0.500
TCU (Big 12),13,11-2,17,34,0.500
App State (Sun Belt),13,11-2,12,24,0.500
Virginia Tech (ACC),13,7-6,10,20,0.500
Michigan St. (Big Ten),14,12-2,16,31,0.516
NIU (MAC),14,8-6,15,29,0.517
Georgia (SEC),13,10-3,13,25,0.520
Mississippi St. (SEC),13,9-4,12,23,0.522
East Carolina (AAC),12,5-7,12,23,0.522
Washington (Pac-12),13,7-6,12,23,0.522
San Diego St. (Mountain West),14,11-3,11,21,0.524
Tulsa (AAC),13,6-7,11,21,0.524
Illinois (Big Ten),12,5-7,11,21,0.524
Hawaii (Mountain West),13,3-10,11,21,0.524
Ohio (MAC),13,8-5,11,21,0.524
North Texas (CUSA),12,1-11,9,17,0.529
Texas (Big 12),12,5-7,9,17,0.529
Ball St. (MAC),12,3-9,9,17,0.529
Old Dominion (CUSA),12,5-7,14,26,0.538
Colorado St. (Mountain West),13,7-6,14,26,0.538
Wyoming (Mountain West),12,2-10,7,13,0.538
Georgia Tech (ACC),12,3-9,6,11,0.545
Utah (Pac-12),13,10-3,12,22,0.545
Boise St. (Mountain West),13,9-4,11,20,0.550
Cincinnati (AAC),13,7-6,11,20,0.550
Air Force (Mountain West),14,8-6,11,20,0.550
Fla. Atlantic (CUSA),12,3-9,10,18,0.556
Iowa (Big Ten),14,12-2,15,27,0.556
Arizona (Pac-12),13,7-6,10,18,0.556
UTSA (CUSA),12,3-9,10,18,0.556
Louisiana Tech (CUSA),13,9-4,9,16,0.563
Georgia St. (Sun Belt),13,6-7,13,23,0.565
Kentucky (SEC),12,5-7,12,21,0.571
UCLA (Pac-12),13,8-5,15,26,0.577
Arizona St. (Pac-12),13,6-7,11,19,0.579
Fresno St. (Mountain West),12,3-9,14,24,0.583
South Carolina (SEC),12,3-9,10,17,0.588
California (Pac-12),13,8-5,10,17,0.588
SMU (AAC),12,2-10,13,22,0.591
Louisiana (Sun Belt),12,4-8,13,22,0.591
South Fla. (AAC),13,8-5,13,22,0.591
Tulane (AAC),12,3-9,13,22,0.591
Florida (SEC),14,10-4,12,20,0.600
Oklahoma St. (Big 12),13,10-3,14,23,0.609
Western Ky. (CUSA),14,12-2,22,36,0.611
Troy (Sun Belt),12,4-8,19,31,0.613
Stanford (Pac-12),14,12-2,15,24,0.625
Nevada (Mountain West),13,7-6,10,16,0.625
Notre Dame (FBS Independent),13,10-3,14,22,0.636
Idaho (Sun Belt),12,4-8,11,17,0.647
North Carolina (ACC),14,11-3,24,37,0.649
UCF (AAC),12,0-12,8,12,0.667
San Jose St. (Mountain West),13,6-7,13,19,0.684
Kansas (Big 12),12,0-12,9,13,0.692
New Mexico St. (Sun Belt),12,3-9,12,17,0.706
Oregon (Pac-12),13,9-4,17,24,0.708
Kent St. (MAC),12,3-9,15,21,0.714
