Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Georgia (SEC),13,10-3,178,344,2034,11,5.91,11.43,156.5
San Jose St. (Mountain West),13,6-7,175,319,2051,16,6.43,11.72,157.8
Michigan (Big Ten),13,10-3,181,381,2060,8,5.41,11.38,158.5
Texas A&M (SEC),13,8-5,207,357,2162,10,6.06,10.44,166.3
Missouri (SEC),12,5-7,219,354,2031,10,5.74,9.27,169.3
Boston College (ACC),12,3-9,173,334,2058,9,6.16,11.90,171.5
Wisconsin (Big Ten),13,10-3,194,395,2251,7,5.70,11.60,173.2
Penn St. (Big Ten),13,7-6,214,373,2255,14,6.05,10.54,173.5
Colorado St. (Mountain West),13,7-6,175,324,2309,12,7.13,13.19,177.6
San Diego St. (Mountain West),14,11-3,204,381,2500,14,6.56,12.25,178.6
Minnesota (Big Ten),13,6-7,227,394,2334,13,5.92,10.28,179.5
Utah St. (Mountain West),13,6-7,183,339,2347,16,6.92,12.83,180.5
Florida (SEC),14,10-4,231,425,2550,17,6.00,11.04,182.1
App State (Sun Belt),13,11-2,223,374,2378,10,6.36,10.66,182.9
Illinois (Big Ten),12,5-7,224,392,2213,17,5.65,9.88,184.4
Ohio St. (Big Ten),13,12-1,207,411,2398,14,5.83,11.58,184.5
Clemson (ACC),15,14-1,212,437,2816,19,6.44,13.28,187.7
North Carolina (ACC),14,11-3,237,435,2640,16,6.07,11.14,188.6
Virginia Tech (ACC),13,7-6,175,353,2459,18,6.97,14.05,189.2
UConn (AAC),13,6-7,235,401,2461,14,6.14,10.47,189.3
Florida St. (ACC),13,10-3,252,443,2491,14,5.62,9.88,191.6
Marshall (C-USA),13,10-3,224,450,2495,15,5.54,11.14,191.9
Northwestern (Big Ten),13,10-3,244,452,2506,5,5.54,10.27,192.8
Central Mich. (MAC),13,7-6,226,388,2509,17,6.47,11.10,193.0
South Alabama (Sun Belt),12,5-7,203,337,2340,19,6.94,11.53,195.0
Wyoming (Mountain West),12,2-10,186,279,2363,23,8.47,12.70,196.9
Notre Dame (FBS Independent),13,10-3,207,374,2562,18,6.85,12.38,197.1
Kentucky (SEC),12,5-7,196,343,2377,14,6.93,12.13,198.1
Troy (Sun Belt),12,4-8,194,333,2389,19,7.17,12.31,199.1
Alabama (SEC),15,14-1,250,495,3009,17,6.08,12.04,200.6
BYU (FBS Independent),13,9-4,226,407,2624,12,6.45,11.61,201.8
Wake Forest (ACC),12,3-9,199,322,2430,17,7.55,12.21,202.5
Eastern Mich. (MAC),12,1-11,184,300,2433,22,8.11,13.22,202.8
Oklahoma (Big 12),13,11-2,230,437,2636,19,6.03,11.46,202.8
Georgia Tech (ACC),12,3-9,202,337,2435,12,7.23,12.05,202.9
UCLA (Pac-12),13,8-5,261,457,2642,18,5.78,10.12,203.2
NC State (ACC),13,7-6,210,384,2642,24,6.88,12.58,203.2
Miami (FL) (ACC),13,8-5,249,415,2655,16,6.40,10.66,204.2
Kent St. (MAC),12,3-9,199,370,2474,22,6.69,12.43,206.2
Ga. Southern (Sun Belt),13,9-4,200,365,2693,22,7.38,13.47,207.2
Vanderbilt (SEC),12,4-8,213,387,2488,10,6.43,11.68,207.3
Hawaii (Mountain West),13,3-10,224,364,2716,23,7.46,12.13,208.9
Temple (AAC),14,10-4,269,467,2928,13,6.27,10.88,209.1
Ohio (MAC),13,8-5,251,423,2723,17,6.44,10.85,209.5
Boise St. (Mountain West),13,9-4,220,411,2731,14,6.64,12.41,210.1
Air Force (Mountain West),14,8-6,205,387,2942,23,7.60,14.35,210.1
Tennessee (SEC),13,9-4,220,434,2735,17,6.30,12.43,210.4
Army West Point (FBS Independent),12,2-10,186,306,2525,13,8.25,13.58,210.4
Fresno St. (Mountain West),12,3-9,206,331,2538,20,7.67,12.32,211.5
South Carolina (SEC),12,3-9,228,347,2549,15,7.35,11.18,212.4
Louisville (ACC),13,8-5,236,421,2763,23,6.56,11.71,212.5
Nevada (Mountain West),13,7-6,259,408,2782,18,6.82,10.74,214.0
Idaho (Sun Belt),12,4-8,198,322,2573,22,7.99,12.99,214.4
Pittsburgh (ACC),13,8-5,215,385,2791,18,7.25,12.98,214.7
ULM (Sun Belt),13,2-11,194,341,2792,29,8.19,14.39,214.8
TCU (Big 12),13,11-2,220,442,2805,17,6.35,12.75,215.8
Mississippi St. (SEC),13,9-4,257,424,2815,16,6.64,10.95,216.5
Cincinnati (AAC),13,7-6,237,410,2821,24,6.88,11.90,217.0
Colorado (Pac-12),13,4-9,249,435,2837,24,6.52,11.39,218.2
Iowa (Big Ten),14,12-2,265,493,3074,17,6.24,11.60,219.6
FIU (C-USA),12,5-7,231,372,2652,17,7.13,11.48,221.0
Navy (AAC),13,11-2,251,387,2885,16,7.45,11.49,221.9
Auburn (SEC),13,7-6,278,458,2892,13,6.31,10.40,222.5
Washington St. (Pac-12),13,9-4,272,429,2909,13,6.78,10.69,223.8
LSU (SEC),12,9-3,236,419,2691,22,6.42,11.40,224.3
Georgia St. (Sun Belt),13,6-7,267,453,2919,19,6.44,10.93,224.5
East Carolina (AAC),12,5-7,204,376,2717,17,7.23,13.32,226.4
Washington (Pac-12),13,7-6,254,438,2945,11,6.72,11.59,226.5
Buffalo (MAC),12,5-7,217,385,2728,18,7.09,12.57,227.3
Southern Miss. (C-USA),14,9-5,271,492,3187,22,6.48,11.76,227.6
Stanford (Pac-12),14,12-2,271,473,3198,19,6.76,11.80,228.4
Western Mich. (MAC),13,8-5,226,404,3024,24,7.49,13.38,232.6
Texas (Big 12),12,5-7,229,382,2801,24,7.33,12.23,233.4
Tulane (AAC),12,3-9,203,333,2801,20,8.41,13.80,233.4
Baylor (Big 12),13,10-3,255,442,3035,30,6.87,11.90,233.5
Michigan St. (Big Ten),14,12-2,270,446,3274,20,7.34,12.13,233.9
Old Dominion (C-USA),12,5-7,251,404,2807,22,6.95,11.18,233.9
Bowling Green (MAC),14,10-4,290,492,3296,19,6.70,11.37,235.4
Miami (OH) (MAC),12,3-9,231,375,2828,20,7.54,12.24,235.7
Fla. Atlantic (C-USA),12,3-9,217,373,2840,23,7.61,13.09,236.7
Louisiana (Sun Belt),12,4-8,189,361,2845,28,7.88,15.05,237.1
West Virginia (Big 12),13,8-5,231,447,3091,24,6.91,13.38,237.8
Akron (),13,8-5,282,478,3102,23,6.49,11.00,238.6
South Fla. (AAC),13,8-5,251,447,3108,16,6.95,12.38,239.1
Western Ky. (C-USA),14,12-2,254,472,3355,28,7.11,13.21,239.6
UNLV (Mountain West),12,3-9,238,419,2877,19,6.87,12.09,239.8
Duke (ACC),13,8-5,223,403,3132,23,7.77,14.04,240.9
SMU (AAC),12,2-10,184,311,2892,31,9.30,15.72,241.0
Purdue (Big Ten),12,2-10,245,393,2921,24,7.43,11.92,243.4
NIU (MAC),14,8-6,299,519,3411,25,6.57,11.41,243.6
California (Pac-12),13,8-5,239,402,3171,21,7.89,13.27,243.9
New Mexico (Mountain West),13,7-6,221,380,3184,23,8.38,14.41,244.9
Southern California (Pac-12),14,8-6,288,457,3521,25,7.70,12.23,251.5
Oklahoma St. (Big 12),13,10-3,251,433,3278,21,7.57,13.06,252.2
Middle Tenn. (C-USA),13,7-6,285,482,3295,23,6.84,11.56,253.5
Virginia (ACC),12,4-8,234,375,3059,26,8.16,13.07,254.9
Massachusetts (MAC),12,3-9,259,417,3059,22,7.34,11.81,254.9
Oregon St. (Pac-12),12,2-10,254,371,3072,26,8.28,12.09,256.0
Louisiana Tech (C-USA),13,9-4,289,484,3335,24,6.89,11.54,256.5
Syracuse (ACC),12,4-8,251,388,3080,18,7.94,12.27,256.7
Rice (C-USA),12,5-7,185,309,3086,36,9.99,16.68,257.2
Utah (Pac-12),13,10-3,265,491,3356,22,6.84,12.66,258.2
Maryland (Big Ten),12,3-9,222,385,3101,27,8.05,13.97,258.4
Ole Miss (SEC),13,10-3,319,533,3364,23,6.31,10.55,258.8
Toledo (MAC),12,10-2,278,475,3116,15,6.56,11.21,259.7
Memphis (AAC),13,9-4,242,419,3382,22,8.07,13.98,260.2
North Texas (C-USA),12,1-11,256,373,3152,24,8.45,12.31,262.7
Texas St. (Sun Belt),12,3-9,228,351,3166,28,9.02,13.89,263.8
UCF (AAC),12,0-12,233,356,3179,31,8.93,13.64,264.9
UTEP (C-USA),12,5-7,203,359,3180,26,8.86,15.67,265.0
Iowa St. (Big 12),12,3-9,247,404,3202,28,7.93,12.96,266.8
Arkansas St. (Sun Belt),13,9-4,266,493,3481,26,7.06,13.09,267.8
Texas Tech (Big 12),13,7-6,270,441,3481,25,7.89,12.89,267.8
Arizona (Pac-12),13,7-6,276,443,3488,28,7.87,12.64,268.3
Houston (AAC),14,13-1,278,500,3846,20,7.69,13.83,274.7
Arkansas (SEC),13,8-5,280,436,3577,18,8.20,12.78,275.2
UTSA (C-USA),12,3-9,245,410,3302,22,8.05,13.48,275.2
Rutgers (Big Ten),12,4-8,235,367,3311,22,9.02,14.09,275.9
New Mexico St. (Sun Belt),12,3-9,251,402,3360,30,8.36,13.39,280.0
Kansas St. (Big 12),13,6-7,290,451,3712,25,8.23,12.80,285.5
Nebraska (Big Ten),13,6-7,293,506,3777,25,7.46,12.89,290.5
Ball St. (MAC),12,3-9,289,408,3510,26,8.60,12.15,292.5
Kansas (Big 12),12,0-12,267,402,3524,27,8.77,13.20,293.7
Tulsa (AAC),13,6-7,289,467,3860,27,8.27,13.36,296.9
Oregon (Pac-12),13,9-4,348,555,3985,35,7.18,11.45,306.5
Indiana (Big Ten),13,6-7,328,551,4079,32,7.40,12.44,313.8
Arizona St. (Pac-12),13,6-7,294,516,4388,35,8.50,14.93,337.5
Charlotte (C-USA),12,2-10,240,407,2741,25,6.73,11.42,228.4
