Team,Games,Win-Loss,First Down Runs,First Down Passes,First Down Penalties,First Downs
Boston College (ACC),12,3-9,54,88,24,166
Wisconsin (Big Ten),13,10-3,60,107,16,183
Georgia (SEC),13,10-3,89,87,13,189
Vanderbilt (SEC),12,4-8,80,107,19,206
Boise St. (Mountain West),13,9-4,71,110,25,206
Georgia Tech (ACC),12,3-9,94,106,11,211
Missouri (SEC),12,5-7,99,98,16,213
Army West Point (FBS Independent),12,2-10,93,110,13,216
Ohio St. (Big Ten),13,12-1,93,103,20,216
Wake Forest (ACC),12,3-9,88,107,22,217
Michigan (Big Ten),13,10-3,91,95,31,217
Illinois (Big Ten),12,5-7,102,94,21,217
San Diego St. (Mountain West),14,11-3,83,104,33,220
Ga. Southern (Sun Belt),13,9-4,91,116,13,220
Central Mich. (MAC),13,7-6,92,120,11,223
App State (Sun Belt),13,11-2,99,112,12,223
Alabama (SEC),15,14-1,67,129,27,223
Clemson (ACC),15,14-1,93,111,21,225
Northwestern (Big Ten),13,10-3,99,111,16,226
UTEP (C-USA),12,5-7,84,125,17,226
Louisville (ACC),13,8-5,90,112,25,227
Utah St. (Mountain West),13,6-7,104,103,22,229
Air Force (Mountain West),14,8-6,90,123,17,230
LSU (SEC),12,9-3,89,127,17,233
Pittsburgh (ACC),13,8-5,107,111,16,234
Penn St. (Big Ten),13,7-6,108,115,11,234
Tennessee (SEC),13,9-4,97,120,18,235
Kent St. (MAC),12,3-9,93,113,29,235
NC State (ACC),13,7-6,92,114,30,236
Florida (SEC),14,10-4,106,111,20,237
Virginia Tech (ACC),13,7-6,101,108,29,238
Temple (AAC),14,10-4,83,131,25,239
San Jose St. (Mountain West),13,6-7,134,95,12,241
UConn (AAC),13,6-7,107,120,14,241
Notre Dame (FBS Independent),13,10-3,109,108,25,242
Rice (C-USA),12,5-7,101,119,23,243
Buffalo (MAC),12,5-7,108,116,21,245
BYU (FBS Independent),13,9-4,91,132,22,245
Nebraska (Big Ten),13,6-7,57,163,26,246
Virginia (ACC),12,4-8,99,126,21,246
Florida St. (ACC),13,10-3,107,122,17,246
Toledo (MAC),12,10-2,92,129,25,246
Texas A&M (SEC),13,8-5,134,88,25,247
South Alabama (Sun Belt),12,5-7,118,113,16,247
Washington (Pac-12),13,7-6,91,134,23,248
Ohio (MAC),13,8-5,97,130,21,248
Miami (OH) (MAC),12,3-9,99,132,17,248
Akron (),13,8-5,77,140,31,248
Michigan St. (Big Ten),14,12-2,90,136,23,249
Kentucky (SEC),12,5-7,119,112,19,250
Rutgers (Big Ten),12,4-8,93,145,13,251
Minnesota (Big Ten),13,6-7,112,122,17,251
South Fla. (AAC),13,8-5,102,130,20,252
Houston (AAC),14,13-1,84,151,18,253
Navy (AAC),13,11-2,107,135,11,253
Utah (Pac-12),13,10-3,82,148,23,253
Troy (Sun Belt),12,4-8,133,101,19,253
Arkansas St. (Sun Belt),13,9-4,92,132,31,255
Tulane (AAC),12,3-9,114,127,15,256
Colorado St. (Mountain West),13,7-6,128,102,26,256
West Virginia (Big 12),13,8-5,99,129,29,257
Fla. Atlantic (C-USA),12,3-9,119,115,23,257
Western Mich. (MAC),13,8-5,109,132,17,258
Louisiana (Sun Belt),12,4-8,115,115,28,258
Syracuse (ACC),12,4-8,117,130,11,258
East Carolina (AAC),12,5-7,117,117,26,260
Middle Tenn. (C-USA),13,7-6,112,130,18,260
Wyoming (Mountain West),12,2-10,137,103,21,261
Arkansas (SEC),13,8-5,90,158,13,261
Maryland (Big Ten),12,3-9,102,134,26,262
Duke (ACC),13,8-5,118,125,19,262
Louisiana Tech (C-USA),13,9-4,98,148,16,262
South Carolina (SEC),12,3-9,133,119,11,263
Cincinnati (AAC),13,7-6,110,125,29,264
Oklahoma (Big 12),13,11-2,118,119,28,265
Fresno St. (Mountain West),12,3-9,139,117,11,267
UCF (AAC),12,0-12,124,122,21,267
Stanford (Pac-12),14,12-2,106,145,16,267
Iowa St. (Big 12),12,3-9,120,136,11,267
Colorado (Pac-12),13,4-9,112,134,22,268
Marshall (C-USA),13,10-3,128,111,31,270
Iowa (Big Ten),14,12-2,99,145,26,270
Arizona St. (Pac-12),13,6-7,93,164,14,271
FIU (C-USA),12,5-7,142,114,16,272
TCU (Big 12),13,11-2,125,113,35,273
Mississippi St. (SEC),13,9-4,124,132,17,273
ULM (Sun Belt),13,2-11,147,107,19,273
Baylor (Big 12),13,10-3,119,126,29,274
Washington St. (Pac-12),13,9-4,132,134,10,276
SMU (AAC),12,2-10,153,107,17,277
Southern Miss. (C-USA),14,9-5,103,146,28,277
Ole Miss (SEC),13,10-3,99,157,22,278
UNLV (Mountain West),12,3-9,121,136,21,278
Old Dominion (C-USA),12,5-7,129,136,15,280
Nevada (Mountain West),13,7-6,128,133,20,281
UTSA (C-USA),12,3-9,108,152,23,283
Idaho (Sun Belt),12,4-8,150,119,15,284
Memphis (AAC),13,9-4,113,136,35,284
Texas St. (Sun Belt),12,3-9,139,129,18,286
Oklahoma St. (Big 12),13,10-3,128,138,22,288
Ball St. (MAC),12,3-9,124,152,12,288
California (Pac-12),13,8-5,140,133,15,288
New Mexico (Mountain West),13,7-6,126,133,29,288
Western Ky. (C-USA),14,12-2,126,139,24,289
Massachusetts (MAC),12,3-9,118,152,21,291
Purdue (Big Ten),12,2-10,122,141,28,291
Kansas St. (Big 12),13,6-7,118,167,8,293
Auburn (SEC),13,7-6,131,142,22,295
Miami (FL) (ACC),13,8-5,134,127,35,296
New Mexico St. (Sun Belt),12,3-9,135,143,20,298
Georgia St. (Sun Belt),13,6-7,134,134,31,299
Arizona (Pac-12),13,7-6,134,145,21,300
Oregon St. (Pac-12),12,2-10,146,137,18,301
Texas (Big 12),12,5-7,147,137,22,306
UCLA (Pac-12),13,8-5,150,128,29,307
Southern California (Pac-12),14,8-6,119,161,29,309
North Texas (C-USA),12,1-11,155,128,27,310
Eastern Mich. (MAC),12,1-11,186,104,26,316
NIU (MAC),14,8-6,141,155,21,317
Indiana (Big Ten),13,6-7,113,187,26,326
Oregon (Pac-12),13,9-4,127,176,24,327
Hawaii (Mountain West),13,3-10,170,126,31,327
Bowling Green (MAC),14,10-4,140,160,27,327
Texas Tech (Big 12),13,7-6,167,148,22,337
Kansas (Big 12),12,0-12,161,155,26,342
North Carolina (ACC),14,11-3,184,134,26,344
Tulsa (AAC),13,6-7,147,175,23,345
Charlotte (C-USA),12,2-10,115,114,25,254
