Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Baylor (Big 12),13,10-3,1103,8011,7.26,85,616.2
Texas Tech (Big 12),13,7-6,1084,7533,6.95,73,579.5
TCU (Big 12),13,11-2,1078,7317,6.79,65,562.8
Bowling Green (MAC),14,10-4,1136,7655,6.74,81,546.8
Oregon (Pac-12),13,9-4,993,6997,7.05,67,538.2
Cincinnati (AAC),13,7-6,1059,6992,6.60,54,537.8
Oklahoma (Big 12),13,11-2,1013,6893,6.80,70,530.2
California (Pac-12),13,8-5,989,6879,6.96,60,529.2
Western Ky. (C-USA),14,12-2,1019,7369,7.23,80,526.4
Ole Miss (SEC),13,10-3,952,6731,7.07,64,517.8
Clemson (ACC),15,14-1,1207,7718,6.39,69,514.5
Southern Miss. (C-USA),14,9-5,1033,7133,6.91,71,509.5
Tulsa (AAC),13,6-7,1083,6596,6.09,58,507.4
Indiana (Big Ten),13,6-7,1053,6556,6.23,54,504.3
Boise St. (Mountain West),13,9-4,1079,6520,6.04,60,501.5
Arizona (Pac-12),13,7-6,993,6434,6.48,58,494.9
Western Mich. (MAC),13,8-5,930,6380,6.86,58,490.8
North Carolina (ACC),14,11-3,936,6817,7.28,71,486.9
Memphis (AAC),13,9-4,1028,6330,6.16,59,486.9
Houston (AAC),14,13-1,1101,6778,6.16,68,484.1
Louisiana Tech (C-USA),13,9-4,910,6276,6.90,55,482.8
Oklahoma St. (Big 12),13,10-3,977,6240,6.39,60,480.0
West Virginia (Big 12),13,8-5,1051,6236,5.93,51,479.7
Arizona St. (Pac-12),13,6-7,1070,6207,5.80,49,477.5
Washington St. (Pac-12),13,9-4,1032,6105,5.92,49,469.6
App State (Sun Belt),13,11-2,902,6075,6.74,58,467.3
Notre Dame (FBS Independent),13,10-3,864,6063,7.02,54,466.4
UCLA (Pac-12),13,8-5,969,6057,6.25,49,465.9
Arkansas (SEC),13,8-5,886,6051,6.83,62,465.5
Toledo (MAC),12,10-2,903,5531,6.13,50,460.9
Mississippi St. (SEC),13,9-4,927,5986,6.46,54,460.5
Middle Tenn. (C-USA),13,7-6,1004,5946,5.92,54,457.4
Air Force (Mountain West),14,8-6,986,6315,6.40,60,451.1
Nebraska (Big Ten),13,6-7,954,5810,6.09,51,446.9
South Fla. (AAC),13,8-5,893,5741,6.43,54,441.6
Duke (ACC),13,8-5,1033,5712,5.53,43,439.4
Arkansas St. (Sun Belt),13,9-4,973,5700,5.86,58,438.5
Southern California (Pac-12),14,8-6,990,6131,6.19,56,437.9
LSU (SEC),12,9-3,783,5247,6.70,49,437.3
Stanford (Pac-12),14,12-2,928,6097,6.57,63,435.5
Ohio St. (Big Ten),13,12-1,892,5643,6.33,58,434.1
New Mexico St. (Sun Belt),12,3-9,896,5200,5.80,42,433.3
Georgia St. (Sun Belt),13,6-7,903,5627,6.23,43,432.8
Idaho (Sun Belt),12,4-8,930,5141,5.53,40,428.4
Alabama (SEC),15,14-1,1088,6406,5.89,55,427.1
Ga. Southern (Sun Belt),13,9-4,865,5543,6.41,58,426.4
Colorado St. (Mountain West),13,7-6,926,5536,5.98,44,425.8
Navy (AAC),13,11-2,870,5527,6.35,62,425.2
BYU (FBS Independent),13,9-4,917,5522,6.02,54,424.8
Texas A&M (SEC),13,8-5,987,5521,5.59,38,424.7
Florida St. (ACC),13,10-3,844,5512,6.53,49,424.0
Tennessee (SEC),13,9-4,988,5490,5.56,49,422.3
Texas St. (Sun Belt),12,3-9,901,5000,5.55,39,416.7
Louisville (ACC),13,8-5,900,5409,6.01,44,416.1
East Carolina (AAC),12,5-7,877,4975,5.67,40,414.6
Ohio (MAC),13,8-5,950,5370,5.65,40,413.1
NC State (ACC),13,7-6,953,5367,5.63,56,412.8
Iowa St. (Big 12),12,3-9,909,4900,5.39,36,408.3
UNLV (Mountain West),12,3-9,865,4861,5.62,41,405.1
San Jose St. (Mountain West),13,6-7,922,5260,5.70,45,404.6
Washington (Pac-12),13,7-6,873,5240,6.00,44,403.1
Rice (C-USA),12,5-7,906,4822,5.32,41,401.8
Central Mich. (MAC),13,7-6,915,5222,5.71,41,401.7
Marshall (C-USA),13,10-3,967,5205,5.38,44,400.4
Massachusetts (MAC),12,3-9,887,4797,5.41,33,399.8
NIU (MAC),14,8-6,1047,5579,5.33,53,398.5
Colorado (Pac-12),13,4-9,1008,5159,5.12,36,396.8
Miami (FL) (ACC),13,8-5,873,5154,5.90,38,396.5
Michigan (Big Ten),13,10-3,906,5147,5.68,48,395.9
New Mexico (Mountain West),13,7-6,868,5046,5.81,48,388.2
Buffalo (MAC),12,5-7,880,4637,5.27,33,386.4
Iowa (Big Ten),14,12-2,937,5406,5.77,52,386.1
Michigan St. (Big Ten),14,12-2,992,5397,5.44,50,385.5
Virginia Tech (ACC),13,7-6,939,5006,5.33,43,385.1
Virginia (ACC),12,4-8,837,4596,5.49,34,383.0
SMU (AAC),12,2-10,869,4594,5.29,42,382.8
Louisiana (Sun Belt),12,4-8,837,4565,5.45,38,380.4
Eastern Mich. (MAC),12,1-11,830,4560,5.49,38,380.0
Wisconsin (Big Ten),13,10-3,931,4922,5.29,41,378.6
Georgia Tech (ACC),12,3-9,775,4536,5.85,44,378.0
Fla. Atlantic (C-USA),12,3-9,891,4534,5.09,27,377.8
Pittsburgh (ACC),13,8-5,852,4907,5.76,40,377.5
Georgia (SEC),13,10-3,813,4904,6.03,36,377.2
Rutgers (Big Ten),12,4-8,806,4524,5.61,36,377.0
San Diego St. (Mountain West),14,11-3,927,5254,5.67,49,375.3
Nevada (Mountain West),13,7-6,887,4877,5.50,39,375.2
Maryland (Big Ten),12,3-9,829,4500,5.43,35,375.0
Illinois (Big Ten),12,5-7,907,4472,4.93,29,372.7
Kentucky (SEC),12,5-7,816,4464,5.47,32,372.0
Ball St. (MAC),12,3-9,896,4459,4.98,32,371.6
Old Dominion (C-USA),12,5-7,834,4455,5.34,36,371.3
Texas (Big 12),12,5-7,781,4449,5.70,36,370.8
Utah St. (Mountain West),13,6-7,884,4818,5.45,43,370.6
Auburn (SEC),13,7-6,893,4810,5.39,39,370.0
Purdue (Big Ten),12,2-10,921,4423,4.80,40,368.6
Temple (AAC),14,10-4,956,5134,5.37,45,366.7
Utah (Pac-12),13,10-3,923,4719,5.11,39,363.0
UTSA (C-USA),12,3-9,870,4347,5.00,33,362.3
South Carolina (SEC),12,3-9,774,4346,5.61,28,362.2
Wyoming (Mountain West),12,2-10,786,4328,5.51,32,360.7
South Alabama (Sun Belt),12,5-7,833,4322,5.19,33,360.2
Troy (Sun Belt),12,4-8,799,4319,5.41,35,359.9
Minnesota (Big Ten),13,6-7,873,4666,5.34,32,358.9
Akron (),13,8-5,905,4642,5.13,38,357.1
Penn St. (Big Ten),13,7-6,829,4532,5.47,35,348.6
FIU (C-USA),12,5-7,825,4173,5.06,37,347.8
UTEP (C-USA),12,5-7,834,4107,4.92,26,342.3
Army West Point (FBS Independent),12,2-10,724,4059,5.61,34,338.3
Miami (OH) (MAC),12,3-9,802,4058,5.06,25,338.2
Oregon St. (Pac-12),12,2-10,789,4037,5.12,25,336.4
