Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
App State (Sun Belt),13,11-2,44,12,5,11,28,0.636
Toledo (MAC),12,10-2,40,8,8,11,27,0.675
Georgia (SEC),13,10-3,34,10,7,6,23,0.676
Middle Tenn. (C-USA),13,7-6,49,13,13,8,34,0.694
New Mexico (Mountain West),13,7-6,49,13,8,13,34,0.694
Vanderbilt (SEC),12,4-8,49,11,8,16,35,0.714
UConn (AAC),13,6-7,44,11,6,15,32,0.727
Marshall (C-USA),13,10-3,41,9,11,10,30,0.732
Boston College (ACC),12,3-9,30,5,5,12,22,0.733
Mississippi St. (SEC),13,9-4,45,9,10,14,33,0.733
Boise St. (Mountain West),13,9-4,34,11,6,8,25,0.735
Navy (AAC),13,11-2,38,14,9,5,28,0.737
Fla. Atlantic (C-USA),12,3-9,39,13,9,7,29,0.744
Kentucky (SEC),12,5-7,52,19,9,11,39,0.750
Auburn (SEC),13,7-6,53,20,7,13,40,0.755
FIU (C-USA),12,5-7,45,19,9,6,34,0.756
Louisiana (Sun Belt),12,4-8,41,12,12,7,31,0.756
Tennessee (SEC),13,9-4,41,12,11,8,31,0.756
Wisconsin (Big Ten),13,10-3,25,8,3,8,19,0.760
Central Mich. (MAC),13,7-6,42,14,10,8,32,0.762
New Mexico St. (Sun Belt),12,3-9,55,23,10,9,42,0.764
Nevada (Mountain West),13,7-6,52,15,13,12,40,0.769
BYU (FBS Independent),13,9-4,44,18,8,8,34,0.773
Western Ky. (C-USA),14,12-2,49,13,17,8,38,0.776
Kent St. (MAC),12,3-9,45,14,12,9,35,0.778
TCU (Big 12),13,11-2,45,23,4,8,35,0.778
Kansas (Big 12),12,0-12,77,31,17,12,60,0.779
Northwestern (Big Ten),13,10-3,37,20,1,8,29,0.784
Temple (AAC),14,10-4,42,10,8,15,33,0.786
ULM (Sun Belt),13,2-11,61,24,12,12,48,0.787
Wake Forest (ACC),12,3-9,33,11,6,9,26,0.788
Akron (),13,8-5,43,12,17,5,34,0.791
Oklahoma (Big 12),13,11-2,43,13,10,11,34,0.791
North Carolina (ACC),14,11-3,58,22,14,10,46,0.793
UTSA (C-USA),12,3-9,58,19,13,14,46,0.793
Old Dominion (C-USA),12,5-7,63,23,13,14,50,0.794
Michigan (Big Ten),13,10-3,34,10,4,13,27,0.794
Florida (SEC),14,10-4,39,10,9,12,31,0.795
Washington (Pac-12),13,7-6,39,14,3,14,31,0.795
Rutgers (Big Ten),12,4-8,55,23,13,8,44,0.800
Purdue (Big Ten),12,2-10,61,24,15,10,49,0.803
Eastern Mich. (MAC),12,1-11,56,30,10,5,45,0.804
Notre Dame (FBS Independent),13,10-3,41,15,12,6,33,0.805
San Diego St. (Mountain West),14,11-3,36,12,10,7,29,0.806
