Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Wyoming (Mountain West),12,2-10,32,28,1,0,2,0,228,19.0
Miami (OH) (MAC),12,3-9,27,24,0,0,9,1,215,17.9
Hawaii (Mountain West),13,3-10,29,27,1,0,8,1,229,17.6
Wake Forest (ACC),12,3-9,25,24,0,0,11,1,209,17.4
Boston College (ACC),12,3-9,27,24,1,0,6,0,206,17.2
UConn (AAC),13,6-7,25,21,1,0,16,1,223,17.2
Kansas (Big 12),12,0-12,24,21,0,0,6,0,183,15.3
North Texas (C-USA),12,1-11,22,21,0,1,9,0,182,15.2
Vanderbilt (SEC),12,4-8,21,18,1,0,12,0,182,15.2
UCF (AAC),12,0-12,18,18,0,0,13,1,167,13.9
Missouri (SEC),12,5-7,16,15,1,0,16,1,163,13.6
Kent St. (MAC),12,3-9,19,14,2,0,7,2,157,13.1
Charlotte (C-USA),12,2-10,24,24,0,0,14,0,210,17.5
