Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Navy (AAC),13,11-2,24,26,0.923
Pittsburgh (ACC),13,8-5,11,13,0.846
Stanford (Pac-12),14,12-2,13,16,0.813
Oklahoma St. (Big 12),13,10-3,8,10,0.800
San Diego St. (Mountain West),14,11-3,8,10,0.800
Tennessee (SEC),13,9-4,13,17,0.765
Wisconsin (Big Ten),13,10-3,6,8,0.750
Syracuse (ACC),12,4-8,11,15,0.733
New Mexico (Mountain West),13,7-6,16,22,0.727
Louisiana Tech (CUSA),13,9-4,8,11,0.727
Miami (FL) (ACC),13,8-5,13,18,0.722
Baylor (Big 12),13,10-3,28,40,0.700
Kentucky (SEC),12,5-7,13,19,0.684
Washington St. (Pac-12),13,9-4,26,39,0.667
Utah (Pac-12),13,10-3,16,24,0.667
Southern California (Pac-12),14,8-6,17,26,0.654
Buffalo (MAC),12,5-7,15,23,0.652
East Carolina (AAC),12,5-7,11,17,0.647
Ga. Southern (Sun Belt),13,9-4,20,31,0.645
Iowa (Big Ten),14,12-2,9,14,0.643
Cincinnati (AAC),13,7-6,7,11,0.636
Boise St. (Mountain West),13,9-4,17,27,0.630
Idaho (Sun Belt),12,4-8,15,24,0.625
App State (Sun Belt),13,11-2,15,24,0.625
Central Mich. (MAC),13,7-6,10,16,0.625
Notre Dame (FBS Independent),13,10-3,5,8,0.625
Nebraska (Big Ten),13,6-7,5,8,0.625
Western Mich. (MAC),13,8-5,13,21,0.619
Texas St. (Sun Belt),12,3-9,16,26,0.615
Virginia Tech (ACC),13,7-6,8,13,0.615
UCLA (Pac-12),13,8-5,8,13,0.615
NC State (ACC),13,7-6,19,31,0.613
Air Force (Mountain West),14,8-6,14,23,0.609
Wyoming (Mountain West),12,2-10,14,23,0.609
Auburn (SEC),13,7-6,9,15,0.600
Eastern Mich. (MAC),12,1-11,10,17,0.588
Colorado St. (Mountain West),13,7-6,10,17,0.588
Middle Tenn. (CUSA),13,7-6,14,24,0.583
North Carolina (ACC),14,11-3,7,12,0.583
South Fla. (AAC),13,8-5,11,19,0.579
Ohio St. (Big Ten),13,12-1,11,19,0.579
Oregon (Pac-12),13,9-4,16,28,0.571
Western Ky. (CUSA),14,12-2,12,21,0.571
Arkansas (SEC),13,8-5,12,21,0.571
Clemson (ACC),15,14-1,8,14,0.571
Marshall (CUSA),13,10-3,9,16,0.563
Colorado (Pac-12),13,4-9,15,27,0.556
Arizona St. (Pac-12),13,6-7,10,18,0.556
Memphis (AAC),13,9-4,10,18,0.556
LSU (SEC),12,9-3,5,9,0.556
Ohio (MAC),13,8-5,11,20,0.550
South Carolina (SEC),12,3-9,11,20,0.550
Purdue (Big Ten),12,2-10,24,44,0.545
Louisiana (Sun Belt),12,4-8,13,24,0.542
Tulsa (AAC),13,6-7,14,26,0.538
Bowling Green (MAC),14,10-4,16,30,0.533
Virginia (ACC),12,4-8,8,15,0.533
Kansas St. (Big 12),13,6-7,8,15,0.533
Oklahoma (Big 12),13,11-2,9,17,0.529
BYU (FBS Independent),13,9-4,11,21,0.524
Penn St. (Big Ten),13,7-6,12,23,0.522
Ball St. (MAC),12,3-9,12,23,0.522
Florida (SEC),14,10-4,14,27,0.519
Southern Miss. (CUSA),14,9-5,16,31,0.516
NIU (MAC),14,8-6,17,33,0.515
Fla. Atlantic (CUSA),12,3-9,17,34,0.500
Georgia Tech (ACC),12,3-9,13,26,0.500
Houston (AAC),14,13-1,13,26,0.500
California (Pac-12),13,8-5,13,26,0.500
Alabama (SEC),15,14-1,12,24,0.500
Mississippi St. (SEC),13,9-4,11,22,0.500
Duke (ACC),13,8-5,11,22,0.500
Utah St. (Mountain West),13,6-7,11,22,0.500
Arkansas St. (Sun Belt),13,9-4,10,20,0.500
UTEP (CUSA),12,5-7,9,18,0.500
Rice (CUSA),12,5-7,6,12,0.500
Temple (AAC),14,10-4,11,23,0.478
Texas Tech (Big 12),13,7-6,11,23,0.478
West Virginia (Big 12),13,8-5,9,19,0.474
Akron (),13,8-5,7,15,0.467
Louisville (ACC),13,8-5,7,15,0.467
TCU (Big 12),13,11-2,7,15,0.467
Ole Miss (SEC),13,10-3,7,15,0.467
ULM (Sun Belt),13,2-11,13,28,0.464
Toledo (MAC),12,10-2,10,22,0.455
Northwestern (Big Ten),13,10-3,5,11,0.455
Nevada (Mountain West),13,7-6,9,20,0.450
Rutgers (Big Ten),12,4-8,9,20,0.450
Indiana (Big Ten),13,6-7,13,29,0.448
Iowa St. (Big 12),12,3-9,13,29,0.448
North Texas (CUSA),12,1-11,12,27,0.444
Miami (OH) (MAC),12,3-9,8,18,0.444
Florida St. (ACC),13,10-3,4,9,0.444
Illinois (Big Ten),12,5-7,11,25,0.440
South Alabama (Sun Belt),12,5-7,7,16,0.438
San Jose St. (Mountain West),13,6-7,10,23,0.435
FIU (CUSA),12,5-7,9,21,0.429
Washington (Pac-12),13,7-6,8,19,0.421
Michigan St. (Big Ten),14,12-2,8,19,0.421
