Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Boston College (ACC),12,3-9,42,174,0.241
Tennessee (SEC),13,9-4,53,192,0.276
Michigan (Big Ten),13,10-3,50,181,0.276
Clemson (ACC),15,14-1,61,220,0.277
TCU (Big 12),13,11-2,58,209,0.278
Vanderbilt (SEC),12,4-8,49,174,0.282
Alabama (SEC),15,14-1,65,227,0.286
Georgia (SEC),13,10-3,57,197,0.289
San Diego St. (Mountain West),14,11-3,55,190,0.289
Boise St. (Mountain West),13,9-4,60,194,0.309
Wisconsin (Big Ten),13,10-3,59,189,0.312
Illinois (Big Ten),12,5-7,58,185,0.314
West Virginia (Big 12),13,8-5,65,205,0.317
Temple (AAC),14,10-4,65,204,0.319
Northwestern (Big Ten),13,10-3,69,212,0.325
Texas A&M (SEC),13,8-5,65,197,0.330
Ohio (MAC),13,8-5,58,175,0.331
Florida (SEC),14,10-4,70,209,0.335
Arkansas St. (Sun Belt),13,9-4,65,194,0.335
Virginia Tech (ACC),13,7-6,63,188,0.335
Utah St. (Mountain West),13,6-7,66,195,0.338
Kent St. (MAC),12,3-9,66,194,0.340
App State (Sun Belt),13,11-2,66,194,0.340
Nebraska (Big Ten),13,6-7,64,188,0.340
Marshall (C-USA),13,10-3,73,213,0.343
Colorado St. (Mountain West),13,7-6,59,171,0.345
ULM (Sun Belt),13,2-11,71,205,0.346
Maryland (Big Ten),12,3-9,61,175,0.349
Ohio St. (Big Ten),13,12-1,74,212,0.349
Michigan St. (Big Ten),14,12-2,65,186,0.349
Miami (OH) (MAC),12,3-9,60,171,0.351
Notre Dame (FBS Independent),13,10-3,66,188,0.351
Western Ky. (C-USA),14,12-2,70,199,0.352
NC State (ACC),13,7-6,63,179,0.352
Louisville (ACC),13,8-5,71,201,0.353
Wake Forest (ACC),12,3-9,58,164,0.354
Mississippi St. (SEC),13,9-4,71,200,0.355
Ga. Southern (Sun Belt),13,9-4,58,163,0.356
Central Mich. (MAC),13,7-6,63,177,0.356
LSU (SEC),12,9-3,60,168,0.357
UTEP (C-USA),12,5-7,55,154,0.357
Troy (Sun Belt),12,4-8,68,189,0.360
Georgia Tech (ACC),12,3-9,56,155,0.361
Southern California (Pac-12),14,8-6,68,188,0.362
Stanford (Pac-12),14,12-2,70,193,0.363
Penn St. (Big Ten),13,7-6,70,191,0.366
Iowa (Big Ten),14,12-2,77,210,0.367
Air Force (Mountain West),14,8-6,73,199,0.367
San Jose St. (Mountain West),13,6-7,62,169,0.367
Washington (Pac-12),13,7-6,75,204,0.368
Baylor (Big 12),13,10-3,74,201,0.368
Syracuse (ACC),12,4-8,59,160,0.369
Akron (),13,8-5,65,176,0.369
Virginia (ACC),12,4-8,58,157,0.369
Southern Miss. (C-USA),14,9-5,80,216,0.370
Cincinnati (AAC),13,7-6,69,186,0.371
Memphis (AAC),13,9-4,72,194,0.371
South Fla. (AAC),13,8-5,78,210,0.371
Middle Tenn. (C-USA),13,7-6,75,201,0.373
Houston (AAC),14,13-1,79,211,0.374
Duke (ACC),13,8-5,77,204,0.377
BYU (FBS Independent),13,9-4,76,200,0.380
Arizona St. (Pac-12),13,6-7,82,212,0.387
Ole Miss (SEC),13,10-3,88,226,0.389
Florida St. (ACC),13,10-3,82,209,0.392
Miami (FL) (ACC),13,8-5,64,163,0.393
Missouri (SEC),12,5-7,75,191,0.393
Buffalo (MAC),12,5-7,70,178,0.393
Utah (Pac-12),13,10-3,76,193,0.394
Kentucky (SEC),12,5-7,69,175,0.394
UCLA (Pac-12),13,8-5,86,217,0.396
Fla. Atlantic (C-USA),12,3-9,71,179,0.397
Louisiana Tech (C-USA),13,9-4,80,200,0.400
Pittsburgh (ACC),13,8-5,72,180,0.400
Toledo (MAC),12,10-2,79,196,0.403
UNLV (Mountain West),12,3-9,69,171,0.404
