Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Texas Tech (Big 12),13,7-6,203,105,0.517
Cincinnati (AAC),13,7-6,196,100,0.510
Houston (AAC),14,13-1,232,117,0.504
Navy (AAC),13,11-2,177,89,0.503
Bowling Green (MAC),14,10-4,209,105,0.502
Stanford (Pac-12),14,12-2,182,91,0.500
Rice (C-USA),12,5-7,189,94,0.497
Memphis (AAC),13,9-4,207,101,0.488
North Carolina (ACC),14,11-3,164,80,0.488
Michigan St. (Big Ten),14,12-2,204,99,0.485
Western Ky. (C-USA),14,12-2,184,88,0.478
San Jose St. (Mountain West),13,6-7,182,87,0.478
Clemson (ACC),15,14-1,230,109,0.474
California (Pac-12),13,8-5,179,84,0.469
Arkansas (SEC),13,8-5,160,75,0.469
Baylor (Big 12),13,10-3,195,91,0.467
Toledo (MAC),12,10-2,186,86,0.462
Michigan (Big Ten),13,10-3,186,86,0.462
Southern Miss. (C-USA),14,9-5,208,96,0.462
Colorado St. (Mountain West),13,7-6,187,86,0.460
Tennessee (SEC),13,9-4,211,97,0.460
Western Mich. (MAC),13,8-5,172,79,0.459
UCLA (Pac-12),13,8-5,195,88,0.451
Nebraska (Big Ten),13,6-7,181,81,0.448
Army West Point (FBS Independent),12,2-10,157,70,0.446
Tulsa (AAC),13,6-7,227,100,0.441
Pittsburgh (ACC),13,8-5,180,79,0.439
Central Mich. (MAC),13,7-6,192,84,0.438
Oklahoma (Big 12),13,11-2,181,79,0.436
Georgia St. (Sun Belt),13,6-7,186,81,0.435
Oklahoma St. (Big 12),13,10-3,193,84,0.435
TCU (Big 12),13,11-2,198,86,0.434
Duke (ACC),13,8-5,215,93,0.433
Air Force (Mountain West),14,8-6,195,84,0.431
East Carolina (AAC),12,5-7,186,80,0.430
Mississippi St. (SEC),13,9-4,175,75,0.429
App State (Sun Belt),13,11-2,169,72,0.426
Virginia (ACC),12,4-8,174,74,0.425
Notre Dame (FBS Independent),13,10-3,160,68,0.425
FIU (C-USA),12,5-7,179,76,0.425
Texas A&M (SEC),13,8-5,208,88,0.423
Middle Tenn. (C-USA),13,7-6,197,83,0.421
Iowa (Big Ten),14,12-2,192,80,0.417
San Diego St. (Mountain West),14,11-3,204,85,0.417
Ga. Southern (Sun Belt),13,9-4,180,75,0.417
Idaho (Sun Belt),12,4-8,183,76,0.415
Boise St. (Mountain West),13,9-4,210,87,0.414
Ole Miss (SEC),13,10-3,169,70,0.414
Auburn (SEC),13,7-6,179,74,0.413
Temple (AAC),14,10-4,211,87,0.412
NC State (ACC),13,7-6,197,81,0.411
Arizona (Pac-12),13,7-6,190,78,0.411
Arizona St. (Pac-12),13,6-7,229,94,0.410
Utah (Pac-12),13,10-3,200,82,0.410
Northwestern (Big Ten),13,10-3,230,94,0.409
Ohio (MAC),13,8-5,196,80,0.408
Wisconsin (Big Ten),13,10-3,184,75,0.408
Ohio St. (Big Ten),13,12-1,172,70,0.407
UTSA (C-USA),12,3-9,185,75,0.405
Washington St. (Pac-12),13,9-4,190,77,0.405
Iowa St. (Big 12),12,3-9,194,78,0.402
BYU (FBS Independent),13,9-4,182,73,0.401
LSU (SEC),12,9-3,148,59,0.399
UTEP (C-USA),12,5-7,199,79,0.397
SMU (AAC),12,2-10,180,71,0.394
Marshall (C-USA),13,10-3,198,78,0.394
Southern California (Pac-12),14,8-6,189,74,0.392
West Virginia (Big 12),13,8-5,207,81,0.391
Oregon (Pac-12),13,9-4,179,70,0.391
Kansas St. (Big 12),13,6-7,179,70,0.391
Nevada (Mountain West),13,7-6,177,69,0.390
Minnesota (Big Ten),13,6-7,193,75,0.389
Louisiana Tech (C-USA),13,9-4,165,64,0.388
Arkansas St. (Sun Belt),13,9-4,192,74,0.385
Virginia Tech (ACC),13,7-6,193,74,0.383
Eastern Mich. (MAC),12,1-11,167,64,0.383
Ball St. (MAC),12,3-9,199,76,0.382
Florida St. (ACC),13,10-3,160,61,0.381
Louisville (ACC),13,8-5,181,69,0.381
Indiana (Big Ten),13,6-7,202,77,0.381
New Mexico (Mountain West),13,7-6,184,70,0.380
Washington (Pac-12),13,7-6,169,64,0.379
NIU (MAC),14,8-6,224,84,0.375
Louisiana (Sun Belt),12,4-8,176,66,0.375
Kentucky (SEC),12,5-7,179,67,0.374
Alabama (SEC),15,14-1,214,80,0.374
Fresno St. (Mountain West),12,3-9,185,69,0.373
Vanderbilt (SEC),12,4-8,204,76,0.373
South Fla. (AAC),13,8-5,179,66,0.369
Akron (),13,8-5,199,73,0.367
Buffalo (MAC),12,5-7,186,68,0.366
Kansas (Big 12),12,0-12,208,76,0.365
Rutgers (Big Ten),12,4-8,156,57,0.365
Texas St. (Sun Belt),12,3-9,184,67,0.364
Florida (SEC),14,10-4,206,75,0.364
Illinois (Big Ten),12,5-7,204,74,0.363
Colorado (Pac-12),13,4-9,208,75,0.361
UNLV (Mountain West),12,3-9,172,62,0.360
Utah St. (Mountain West),13,6-7,184,66,0.359
New Mexico St. (Sun Belt),12,3-9,200,71,0.355
South Carolina (SEC),12,3-9,164,58,0.354
Texas (Big 12),12,5-7,173,61,0.353
Old Dominion (C-USA),12,5-7,176,62,0.352
Troy (Sun Belt),12,4-8,168,59,0.351
Wake Forest (ACC),12,3-9,188,66,0.351
Purdue (Big Ten),12,2-10,200,70,0.350
Miami (FL) (ACC),13,8-5,183,64,0.350
Georgia Tech (ACC),12,3-9,149,52,0.349
