Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
San Diego St. (Mountain West),14,11-3,11,23,34,9,3,12,22,1.57
Houston (AAC),14,13-1,14,21,35,7,7,14,21,1.50
Navy (AAC),13,11-2,15,12,27,6,2,8,19,1.46
Michigan St. (Big Ten),14,12-2,13,15,28,6,8,14,14,1.00
Western Ky. (C-USA),14,12-2,14,17,31,8,9,17,14,1.00
Oklahoma St. (Big 12),13,10-3,11,17,28,5,10,15,13,1.00
Utah (Pac-12),13,10-3,12,22,34,10,11,21,13,1.00
Texas (Big 12),12,5-7,12,13,25,8,6,14,11,0.92
Bowling Green (MAC),14,10-4,7,20,27,7,8,15,12,0.86
Miami (FL) (ACC),13,8-5,10,15,25,5,9,14,11,0.85
Southern California (Pac-12),14,8-6,9,14,23,5,7,12,11,0.79
Iowa (Big Ten),14,12-2,8,19,27,11,5,16,11,0.79
Akron (),13,8-5,14,14,28,6,12,18,10,0.77
South Fla. (AAC),13,8-5,8,17,25,6,9,15,10,0.77
Oklahoma (Big 12),13,11-2,7,20,27,9,9,18,9,0.69
West Virginia (Big 12),13,8-5,8,23,31,7,15,22,9,0.69
Boise St. (Mountain West),13,9-4,9,22,31,10,12,22,9,0.69
NC State (ACC),13,7-6,9,13,22,7,6,13,9,0.69
UConn (AAC),13,6-7,7,18,25,6,10,16,9,0.69
Nevada (Mountain West),13,7-6,8,13,21,5,7,12,9,0.69
Alabama (SEC),15,14-1,8,19,27,7,10,17,10,0.67
Toledo (MAC),12,10-2,10,12,22,4,10,14,8,0.67
Memphis (AAC),13,9-4,10,12,22,9,5,14,8,0.62
Arkansas St. (Sun Belt),13,9-4,8,26,34,11,15,26,8,0.62
Indiana (Big Ten),13,6-7,10,12,22,6,8,14,8,0.62
LSU (SEC),12,9-3,7,10,17,4,6,10,7,0.58
Florida (SEC),14,10-4,11,14,25,7,10,17,8,0.57
Arkansas (SEC),13,8-5,7,11,18,3,8,11,7,0.54
Tennessee (SEC),13,9-4,7,12,19,7,5,12,7,0.54
North Carolina (ACC),14,11-3,9,17,26,9,10,19,7,0.50
Ga. Southern (Sun Belt),13,9-4,10,17,27,11,10,21,6,0.46
South Carolina (SEC),12,3-9,8,12,20,3,12,15,5,0.42
Syracuse (ACC),12,4-8,12,11,23,9,9,18,5,0.42
Washington (Pac-12),13,7-6,12,15,27,11,11,22,5,0.38
Oregon (Pac-12),13,9-4,9,13,22,7,10,17,5,0.38
Ohio (MAC),13,8-5,10,12,22,4,13,17,5,0.38
UNLV (Mountain West),12,3-9,8,13,21,4,13,17,4,0.33
Illinois (Big Ten),12,5-7,8,13,21,9,8,17,4,0.33
Virginia Tech (ACC),13,7-6,15,10,25,7,14,21,4,0.31
Marshall (C-USA),13,10-3,13,15,28,11,13,24,4,0.31
Tulsa (AAC),13,6-7,14,10,24,12,8,20,4,0.31
Georgia (SEC),13,10-3,10,12,22,10,8,18,4,0.31
California (Pac-12),13,8-5,12,15,27,9,14,23,4,0.31
Penn St. (Big Ten),13,7-6,12,10,22,12,6,18,4,0.31
New Mexico (Mountain West),13,7-6,11,14,25,7,14,21,4,0.31
Boston College (ACC),12,3-9,10,13,23,11,9,20,3,0.25
FIU (C-USA),12,5-7,9,9,18,7,8,15,3,0.25
Wisconsin (Big Ten),13,10-3,9,12,21,5,13,18,3,0.23
Ohio St. (Big Ten),13,12-1,9,12,21,9,9,18,3,0.23
Temple (AAC),14,10-4,6,16,22,11,8,19,3,0.21
Central Mich. (MAC),13,7-6,11,7,18,5,11,16,2,0.15
Arizona St. (Pac-12),13,6-7,6,15,21,10,9,19,2,0.15
BYU (FBS Independent),13,9-4,7,15,22,8,12,20,2,0.15
Texas Tech (Big 12),13,7-6,10,15,25,8,15,23,2,0.15
Auburn (SEC),13,7-6,5,14,19,5,12,17,2,0.15
App State (Sun Belt),13,11-2,6,18,24,13,9,22,2,0.15
NIU (MAC),14,8-6,7,22,29,17,10,27,2,0.14
New Mexico St. (Sun Belt),12,3-9,10,12,22,7,14,21,1,0.08
Ball St. (MAC),12,3-9,9,7,16,6,9,15,1,0.08
Tulane (AAC),12,3-9,8,8,16,5,10,15,1,0.08
Colorado (Pac-12),13,4-9,8,14,22,9,12,21,1,0.08
Louisiana Tech (C-USA),13,9-4,9,13,22,10,11,21,1,0.08
Northwestern (Big Ten),13,10-3,9,12,21,7,13,20,1,0.08
Western Mich. (MAC),13,8-5,8,10,18,8,9,17,1,0.08
Stanford (Pac-12),14,12-2,6,8,14,5,8,13,1,0.07
Buffalo (MAC),12,5-7,7,13,20,4,16,20,0,0.00
UCLA (Pac-12),13,8-5,7,12,19,6,13,19,0,0.00
Florida St. (ACC),13,10-3,7,8,15,6,9,15,0,0.00
Troy (Sun Belt),12,4-8,13,6,19,8,11,19,0,0.00
TCU (Big 12),13,11-2,12,7,19,4,15,19,0,0.00
Ole Miss (SEC),13,10-3,8,15,23,9,14,23,0,0.00
