Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Air Force (Mountain West),14,8-6,3,9,0.21
Toledo (MAC),12,10-2,5,25,0.42
Ga. Southern (Sun Belt),13,9-4,8,51,0.62
App State (Sun Belt),13,11-2,11,71,0.85
Ball St. (MAC),12,3-9,11,78,0.92
UTEP (CUSA),12,5-7,12,67,1.00
New Mexico (Mountain West),13,7-6,13,91,1.00
Indiana (Big Ten),13,6-7,13,92,1.00
Navy (AAC),13,11-2,14,107,1.08
Nebraska (Big Ten),13,6-7,14,143,1.08
Arkansas (SEC),13,8-5,14,92,1.08
Kent St. (MAC),12,3-9,13,87,1.08
North Carolina (ACC),14,11-3,16,112,1.14
Western Ky. (CUSA),14,12-2,16,128,1.14
Baylor (Big 12),13,10-3,15,86,1.15
UCLA (Pac-12),13,8-5,15,119,1.15
Georgia (SEC),13,10-3,15,105,1.15
Clemson (ACC),15,14-1,18,99,1.20
Akron (),13,8-5,16,126,1.23
Army West Point (FBS Independent),12,2-10,15,107,1.25
Temple (AAC),14,10-4,18,101,1.29
Middle Tenn. (CUSA),13,7-6,17,163,1.31
Colorado St. (Mountain West),13,7-6,17,109,1.31
Memphis (AAC),13,9-4,17,119,1.31
Buffalo (MAC),12,5-7,16,120,1.33
Georgia Tech (ACC),12,3-9,16,123,1.33
TCU (Big 12),13,11-2,18,84,1.38
Michigan (Big Ten),13,10-3,18,95,1.38
Duke (ACC),13,8-5,18,91,1.38
LSU (SEC),12,9-3,17,119,1.42
San Diego St. (Mountain West),14,11-3,20,120,1.43
Stanford (Pac-12),14,12-2,20,104,1.43
Miami (FL) (ACC),13,8-5,19,148,1.46
Auburn (SEC),13,7-6,19,141,1.46
Ole Miss (SEC),13,10-3,19,147,1.46
Minnesota (Big Ten),13,6-7,19,117,1.46
Ohio St. (Big Ten),13,12-1,19,101,1.46
Troy (Sun Belt),12,4-8,18,96,1.50
Michigan St. (Big Ten),14,12-2,21,135,1.50
Louisiana Tech (CUSA),13,9-4,20,121,1.54
Oregon St. (Pac-12),12,2-10,19,127,1.58
Utah St. (Mountain West),13,6-7,21,143,1.62
South Fla. (AAC),13,8-5,21,90,1.62
Marshall (CUSA),13,10-3,21,132,1.62
Alabama (SEC),15,14-1,25,189,1.67
Illinois (Big Ten),12,5-7,20,180,1.67
Texas St. (Sun Belt),12,3-9,20,126,1.67
Nevada (Mountain West),13,7-6,22,171,1.69
Virginia (ACC),12,4-8,21,127,1.75
Louisiana (Sun Belt),12,4-8,21,137,1.75
Syracuse (ACC),12,4-8,21,119,1.75
Tennessee (SEC),13,9-4,23,173,1.77
Utah (Pac-12),13,10-3,23,157,1.77
Southern Miss. (CUSA),14,9-5,26,200,1.86
UCF (AAC),12,0-12,23,164,1.92
Wisconsin (Big Ten),13,10-3,25,166,1.92
Arkansas St. (Sun Belt),13,9-4,25,217,1.92
Florida St. (ACC),13,10-3,26,222,2.00
Notre Dame (FBS Independent),13,10-3,26,159,2.00
