Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Cincinnati (AAC),13,7-6,26,145,2.00
Houston (AAC),14,13-1,28,160,2.00
Eastern Mich. (MAC),12,1-11,24,164,2.00
California (Pac-12),13,8-5,27,215,2.08
Texas Tech (Big 12),13,7-6,27,166,2.08
Maryland (Big Ten),12,3-9,25,152,2.08
Rutgers (Big Ten),12,4-8,25,207,2.08
Iowa (Big Ten),14,12-2,30,221,2.14
Ohio (MAC),13,8-5,28,177,2.15
Central Mich. (MAC),13,7-6,28,211,2.15
South Carolina (SEC),12,3-9,26,169,2.17
Tulane (AAC),12,3-9,26,175,2.17
Fla. Atlantic (CUSA),12,3-9,26,175,2.17
Pittsburgh (ACC),13,8-5,29,193,2.23
Northwestern (Big Ten),13,10-3,29,187,2.23
FIU (CUSA),12,5-7,27,185,2.25
North Texas (CUSA),12,1-11,27,208,2.25
Fresno St. (Mountain West),12,3-9,27,183,2.25
NIU (MAC),14,8-6,32,193,2.29
Miami (OH) (MAC),12,3-9,28,177,2.33
Vanderbilt (SEC),12,4-8,28,178,2.33
Boston College (ACC),12,3-9,28,183,2.33
Western Mich. (MAC),13,8-5,31,163,2.38
Boise St. (Mountain West),13,9-4,31,191,2.38
Arizona (Pac-12),13,7-6,31,152,2.38
Hawaii (Mountain West),13,3-10,31,217,2.38
Idaho (Sun Belt),12,4-8,29,178,2.42
Massachusetts (MAC),12,3-9,29,173,2.42
East Carolina (AAC),12,5-7,29,184,2.42
Old Dominion (CUSA),12,5-7,29,159,2.42
Oklahoma St. (Big 12),13,10-3,32,191,2.46
Mississippi St. (SEC),13,9-4,32,193,2.46
West Virginia (Big 12),13,8-5,32,209,2.46
Missouri (SEC),12,5-7,30,176,2.50
Purdue (Big Ten),12,2-10,30,173,2.50
Kentucky (SEC),12,5-7,30,191,2.50
Georgia St. (Sun Belt),13,6-7,33,212,2.54
Washington (Pac-12),13,7-6,33,219,2.54
Bowling Green (MAC),14,10-4,36,224,2.57
Wyoming (Mountain West),12,2-10,31,234,2.58
Virginia Tech (ACC),13,7-6,34,254,2.62
BYU (FBS Independent),13,9-4,34,209,2.62
Texas (Big 12),12,5-7,32,212,2.67
South Alabama (Sun Belt),12,5-7,32,204,2.67
Kansas St. (Big 12),13,6-7,35,222,2.69
Southern California (Pac-12),14,8-6,38,256,2.71
UNLV (Mountain West),12,3-9,33,157,2.75
Texas A&M (SEC),13,8-5,37,250,2.85
UConn (AAC),13,6-7,37,180,2.85
ULM (Sun Belt),13,2-11,38,175,2.92
San Jose St. (Mountain West),13,6-7,38,230,2.92
New Mexico St. (Sun Belt),12,3-9,36,216,3.00
Oregon (Pac-12),13,9-4,39,236,3.00
Penn St. (Big Ten),13,7-6,39,230,3.00
Arizona St. (Pac-12),13,6-7,39,233,3.00
NC State (ACC),13,7-6,39,227,3.00
Colorado (Pac-12),13,4-9,41,288,3.15
Oklahoma (Big 12),13,11-2,41,216,3.15
Washington St. (Pac-12),13,9-4,41,300,3.15
Tulsa (AAC),13,6-7,41,282,3.15
Rice (CUSA),12,5-7,38,228,3.17
Florida (SEC),14,10-4,46,275,3.29
Kansas (Big 12),12,0-12,40,267,3.33
Wake Forest (ACC),12,3-9,40,273,3.33
Louisville (ACC),13,8-5,44,311,3.38
SMU (AAC),12,2-10,41,289,3.42
Iowa St. (Big 12),12,3-9,42,229,3.50
UTSA (CUSA),12,3-9,44,275,3.67
Charlotte (CUSA),12,2-10,42,252,3.50
