Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Wisconsin (Big Ten),13,10-3,22,22,0,0,8,0,178,13.7
Ohio St. (Big Ten),13,12-1,24,22,0,0,10,0,196,15.1
Alabama (SEC),15,14-1,26,21,1,0,16,0,227,15.1
Boston College (ACC),12,3-9,19,18,0,0,17,0,183,15.3
Missouri (SEC),12,5-7,22,20,0,0,14,0,194,16.2
Michigan (Big Ten),13,10-3,24,22,1,0,15,0,213,16.4
San Diego St. (Mountain West),14,11-3,29,29,0,0,9,0,230,16.4
Georgia (SEC),13,10-3,26,23,1,0,13,0,220,16.9
Florida St. (ACC),13,10-3,26,24,0,0,15,1,227,17.5
Marshall (C-USA),13,10-3,28,25,1,0,12,0,231,17.8
Florida (SEC),14,10-4,30,29,0,0,15,1,256,18.3
Northwestern (Big Ten),13,10-3,30,27,0,0,11,1,242,18.6
Washington (Pac-12),13,7-6,28,25,0,0,17,0,244,18.8
App State (Sun Belt),13,11-2,29,27,0,0,15,1,248,19.1
UConn (AAC),13,6-7,29,27,0,0,16,2,253,19.5
Tennessee (SEC),13,9-4,33,30,1,0,10,0,260,20.0
Temple (AAC),14,10-4,31,28,0,0,21,2,281,20.1
Boise St. (Mountain West),13,9-4,33,32,0,0,11,0,263,20.2
Iowa (Big Ten),14,12-2,32,31,1,0,20,0,285,20.4
Houston (AAC),14,13-1,36,34,2,0,12,0,290,20.7
Toledo (MAC),12,10-2,28,24,2,0,17,1,249,20.8
Vanderbilt (SEC),12,4-8,26,25,0,0,23,1,252,21.0
Akron (),13,8-5,37,36,0,0,7,0,279,21.5
Clemson (ACC),15,14-1,41,35,1,0,14,0,325,21.7
Michigan St. (Big Ten),14,12-2,39,34,0,0,12,0,304,21.7
Penn St. (Big Ten),13,7-6,37,35,0,0,9,0,284,21.8
Navy (AAC),13,11-2,36,34,2,0,10,0,284,21.8
Oklahoma (Big 12),13,11-2,34,31,0,0,17,0,286,22.0
Central Mich. (MAC),13,7-6,37,32,1,0,10,0,286,22.0
Texas A&M (SEC),13,8-5,33,31,0,0,19,0,286,22.0
Utah (Pac-12),13,10-3,35,33,0,0,15,1,290,22.3
Stanford (Pac-12),14,12-2,36,29,1,0,23,0,316,22.6
Ole Miss (SEC),13,10-3,33,28,1,0,22,0,294,22.6
BYU (FBS Independent),13,9-4,38,36,0,0,11,0,297,22.8
South Fla. (AAC),13,8-5,35,34,0,0,18,0,298,22.9
Mississippi St. (SEC),13,9-4,34,33,1,0,21,0,302,23.2
Illinois (Big Ten),12,5-7,34,29,1,0,14,1,279,23.3
Ga. Southern (Sun Belt),13,9-4,39,31,1,0,13,0,306,23.5
Notre Dame (FBS Independent),13,10-3,40,35,1,0,12,0,313,24.1
Louisville (ACC),13,8-5,39,38,0,0,13,1,313,24.1
LSU (SEC),12,9-3,38,34,1,0,9,0,291,24.3
North Carolina (ACC),14,11-3,44,41,1,0,12,0,343,24.5
Wake Forest (ACC),12,3-9,37,35,1,0,12,0,295,24.6
West Virginia (Big 12),13,8-5,36,33,0,1,23,0,320,24.6
Minnesota (Big Ten),13,6-7,40,37,1,0,16,0,327,25.2
Ohio (MAC),13,8-5,41,39,1,0,14,0,329,25.3
Duke (ACC),13,8-5,42,37,1,0,13,0,330,25.4
Air Force (Mountain West),14,8-6,45,42,0,0,15,0,357,25.5
Southern Miss. (C-USA),14,9-5,42,39,1,0,21,1,358,25.6
Southern California (Pac-12),14,8-6,44,42,0,0,18,0,360,25.7
Georgia Tech (ACC),12,3-9,38,32,1,0,15,1,309,25.8
NC State (ACC),13,7-6,43,37,1,0,13,0,336,25.8
Western Ky. (C-USA),14,12-2,48,45,0,0,10,0,363,25.9
UCLA (Pac-12),13,8-5,39,33,2,0,21,2,338,26.0
East Carolina (AAC),12,5-7,39,37,0,0,13,1,312,26.0
Auburn (SEC),13,7-6,39,37,2,0,21,0,338,26.0
