Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Navy (AAC),13,11-2,58,42,2,11,55,0.948
Kansas St. (Big 12),13,6-7,55,26,9,17,52,0.945
Washington St. (Pac-12),13,9-4,55,7,29,16,52,0.945
BYU (FBS Independent),13,9-4,53,22,17,11,50,0.943
San Diego St. (Mountain West),14,11-3,51,26,9,13,48,0.941
Penn St. (Big Ten),13,7-6,45,12,13,17,42,0.933
Michigan (Big Ten),13,10-3,56,23,14,15,52,0.929
Syracuse (ACC),12,4-8,39,11,12,13,36,0.923
Oklahoma St. (Big 12),13,10-3,60,20,20,15,55,0.917
Utah (Pac-12),13,10-3,46,20,8,14,42,0.913
Nevada (Mountain West),13,7-6,44,17,10,13,40,0.909
Mississippi St. (SEC),13,9-4,53,18,20,10,48,0.906
Auburn (SEC),13,7-6,51,25,7,14,46,0.902
Clemson (ACC),15,14-1,60,25,11,18,54,0.900
UCLA (Pac-12),13,8-5,57,22,13,16,51,0.895
Tulane (AAC),12,3-9,28,7,9,9,25,0.893
Florida St. (ACC),13,10-3,46,15,11,15,41,0.891
San Jose St. (Mountain West),13,6-7,45,19,13,8,40,0.889
Memphis (AAC),13,9-4,63,27,14,15,56,0.889
Nebraska (Big Ten),13,6-7,54,21,17,10,48,0.889
North Carolina (ACC),14,11-3,72,34,14,16,64,0.889
Central Mich. (MAC),13,7-6,53,16,19,12,47,0.887
East Carolina (AAC),12,5-7,44,13,17,9,39,0.886
Indiana (Big Ten),13,6-7,61,21,15,18,54,0.885
Oklahoma (Big 12),13,11-2,69,24,22,15,61,0.884
Texas (Big 12),12,5-7,34,18,2,10,30,0.882
Idaho (Sun Belt),12,4-8,51,22,9,14,45,0.882
California (Pac-12),13,8-5,68,15,29,16,60,0.882
Houston (AAC),14,13-1,67,38,11,10,59,0.881
App State (Sun Belt),13,11-2,50,18,18,8,44,0.880
Virginia (ACC),12,4-8,33,9,8,12,29,0.879
Southern California (Pac-12),14,8-6,57,23,17,10,50,0.877
Western Ky. (C-USA),14,12-2,73,25,28,11,64,0.877
Louisiana Tech (C-USA),13,9-4,56,24,11,14,49,0.875
NIU (MAC),14,8-6,48,22,12,8,42,0.875
Ga. Southern (Sun Belt),13,9-4,56,37,0,12,49,0.875
Texas Tech (Big 12),13,7-6,64,26,17,13,56,0.875
Arizona St. (Pac-12),13,6-7,64,14,19,23,56,0.875
South Fla. (AAC),13,8-5,47,21,11,9,41,0.872
FIU (C-USA),12,5-7,39,13,13,8,34,0.872
Baylor (Big 12),13,10-3,70,36,17,8,61,0.871
Temple (AAC),14,10-4,62,19,17,18,54,0.871
Stanford (Pac-12),14,12-2,62,25,16,13,54,0.871
Colorado St. (Mountain West),13,7-6,54,17,16,14,47,0.870
Purdue (Big Ten),12,2-10,38,18,10,5,33,0.868
UTEP (C-USA),12,5-7,30,5,9,12,26,0.867
Virginia Tech (ACC),13,7-6,52,17,16,12,45,0.865
Troy (Sun Belt),12,4-8,37,10,10,12,32,0.865
South Carolina (SEC),12,3-9,36,8,9,14,31,0.861
Minnesota (Big Ten),13,6-7,36,12,7,12,31,0.861
Tulsa (AAC),13,6-7,57,29,6,14,49,0.860
Oregon (Pac-12),13,9-4,70,28,17,15,60,0.857
Wisconsin (Big Ten),13,10-3,54,23,12,11,46,0.852
Iowa (Big Ten),14,12-2,54,28,7,11,46,0.852
NC State (ACC),13,7-6,54,27,12,7,46,0.852
South Alabama (Sun Belt),12,5-7,40,14,8,12,34,0.850
Rutgers (Big Ten),12,4-8,40,13,12,9,34,0.850
LSU (SEC),12,9-3,46,24,6,9,39,0.848
Michigan St. (Big Ten),14,12-2,51,20,15,8,43,0.843
SMU (AAC),12,2-10,44,20,10,7,37,0.841
Toledo (MAC),12,10-2,56,20,15,12,47,0.839
Oregon St. (Pac-12),12,2-10,31,14,5,7,26,0.839
Ole Miss (SEC),13,10-3,62,21,16,15,52,0.839
Georgia Tech (ACC),12,3-9,37,22,6,3,31,0.838
Buffalo (MAC),12,5-7,43,14,11,11,36,0.837
Air Force (Mountain West),14,8-6,55,36,3,7,46,0.836
Duke (ACC),13,8-5,55,17,12,17,46,0.836
Middle Tenn. (C-USA),13,7-6,55,19,18,9,46,0.836
Boise St. (Mountain West),13,9-4,67,28,11,17,56,0.836
Tennessee (SEC),13,9-4,66,29,10,16,55,0.833
Eastern Mich. (MAC),12,1-11,36,14,13,3,30,0.833
Kentucky (SEC),12,5-7,42,18,5,12,35,0.833
Pittsburgh (ACC),13,8-5,48,15,15,10,40,0.833
Bowling Green (MAC),14,10-4,71,27,25,7,59,0.831
Arizona (Pac-12),13,7-6,65,21,20,13,54,0.831
Arkansas (SEC),13,8-5,59,25,16,8,49,0.831
Washington (Pac-12),13,7-6,53,21,10,13,44,0.830
West Virginia (Big 12),13,8-5,58,20,13,15,48,0.828
Louisville (ACC),13,8-5,58,20,14,14,48,0.828
Northwestern (Big Ten),13,10-3,40,13,3,17,33,0.825
Ohio St. (Big Ten),13,12-1,57,30,7,10,47,0.825
Alabama (SEC),15,14-1,62,23,12,16,51,0.823
Miami (OH) (MAC),12,3-9,33,7,12,8,27,0.818
Miami (FL) (ACC),13,8-5,60,18,12,19,49,0.817
Louisiana (Sun Belt),12,4-8,38,17,7,7,31,0.816
Cincinnati (AAC),13,7-6,65,24,15,14,53,0.815
Maryland (Big Ten),12,3-9,32,12,5,9,26,0.813
Notre Dame (FBS Independent),13,10-3,53,18,13,12,43,0.811
Arkansas St. (Sun Belt),13,9-4,58,23,12,12,47,0.810
