Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Navy (AAC),13,11-2,40,339,26.08
Georgia Tech (ACC),12,3-9,38,329,27.42
Ball St. (MAC),12,3-9,44,425,35.42
San Jose St. (Mountain West),13,6-7,57,464,35.69
Old Dominion (CUSA),12,5-7,49,437,36.42
Arkansas (SEC),13,8-5,55,477,36.69
Air Force (Mountain West),14,8-6,53,532,38.00
Washington St. (Pac-12),13,9-4,70,498,38.31
Kansas St. (Big 12),13,6-7,66,505,38.85
Mississippi St. (SEC),13,9-4,53,506,38.92
South Carolina (SEC),12,3-9,60,468,39.00
Fresno St. (Mountain West),12,3-9,59,471,39.25
Army West Point (FBS Independent),12,2-10,48,474,39.50
Northwestern (Big Ten),13,10-3,58,516,39.69
Arizona St. (Pac-12),13,6-7,60,518,39.85
Penn St. (Big Ten),13,7-6,67,529,40.69
Iowa St. (Big 12),12,3-9,59,489,40.75
Tennessee (SEC),13,9-4,66,530,40.77
Pittsburgh (ACC),13,8-5,65,530,40.77
UTEP (CUSA),12,5-7,57,503,41.92
Middle Tenn. (CUSA),13,7-6,62,550,42.31
Idaho (Sun Belt),12,4-8,54,512,42.67
Michigan St. (Big Ten),14,12-2,75,600,42.86
Missouri (SEC),12,5-7,63,517,43.08
California (Pac-12),13,8-5,67,568,43.69
UNLV (Mountain West),12,3-9,57,538,44.83
Notre Dame (FBS Independent),13,10-3,67,586,45.08
UCF (AAC),12,0-12,64,541,45.08
Minnesota (Big Ten),13,6-7,73,591,45.46
Georgia (SEC),13,10-3,67,592,45.54
UConn (AAC),13,6-7,74,595,45.77
Clemson (ACC),15,14-1,84,694,46.27
Stanford (Pac-12),14,12-2,78,648,46.29
Auburn (SEC),13,7-6,62,603,46.38
Wake Forest (ACC),12,3-9,61,557,46.42
North Carolina (ACC),14,11-3,80,650,46.43
Nevada (Mountain West),13,7-6,68,608,46.77
Vanderbilt (SEC),12,4-8,73,566,47.17
Duke (ACC),13,8-5,71,615,47.31
Syracuse (ACC),12,4-8,64,577,48.08
Ga. Southern (Sun Belt),13,9-4,67,629,48.38
Arizona (Pac-12),13,7-6,74,632,48.62
Iowa (Big Ten),14,12-2,73,683,48.79
Illinois (Big Ten),12,5-7,66,589,49.08
FIU (CUSA),12,5-7,69,594,49.50
NIU (MAC),14,8-6,80,695,49.64
Washington (Pac-12),13,7-6,71,651,50.08
Louisiana Tech (CUSA),13,9-4,72,654,50.31
SMU (AAC),12,2-10,65,604,50.33
Ohio St. (Big Ten),13,12-1,76,656,50.46
Oklahoma St. (Big 12),13,10-3,75,657,50.54
Rutgers (Big Ten),12,4-8,79,624,52.00
Florida (SEC),14,10-4,91,737,52.64
NC State (ACC),13,7-6,72,687,52.85
Wisconsin (Big Ten),13,10-3,75,689,53.00
Boise St. (Mountain West),13,9-4,82,691,53.15
Utah (Pac-12),13,10-3,72,693,53.31
Tulane (AAC),12,3-9,70,641,53.42
Purdue (Big Ten),12,2-10,65,647,53.92
Ole Miss (SEC),13,10-3,79,702,54.00
Florida St. (ACC),13,10-3,89,702,54.00
Central Mich. (MAC),13,7-6,81,703,54.08
Texas A&M (SEC),13,8-5,83,713,54.85
South Fla. (AAC),13,8-5,79,714,54.92
Temple (AAC),14,10-4,81,773,55.21
Western Mich. (MAC),13,8-5,81,722,55.54
Alabama (SEC),15,14-1,89,835,55.67
Colorado (Pac-12),13,4-9,80,724,55.69
Texas St. (Sun Belt),12,3-9,73,671,55.92
Houston (AAC),14,13-1,85,783,55.93
Tulsa (AAC),13,6-7,91,730,56.15
Kansas (Big 12),12,0-12,70,674,56.17
Kentucky (SEC),12,5-7,69,676,56.33
Wyoming (Mountain West),12,2-10,75,681,56.75
North Texas (CUSA),12,1-11,74,681,56.75
App State (Sun Belt),13,11-2,84,739,56.85
Fla. Atlantic (CUSA),12,3-9,75,687,57.25
Boston College (ACC),12,3-9,78,689,57.42
Troy (Sun Belt),12,4-8,80,691,57.58
BYU (FBS Independent),13,9-4,85,750,57.69
South Alabama (Sun Belt),12,5-7,81,693,57.75
Western Ky. (CUSA),14,12-2,83,810,57.86
ULM (Sun Belt),13,2-11,95,754,58.00
San Diego St. (Mountain West),14,11-3,89,813,58.07
New Mexico St. (Sun Belt),12,3-9,77,699,58.25
Eastern Mich. (MAC),12,1-11,81,701,58.42
Oregon St. (Pac-12),12,2-10,76,704,58.67
Utah St. (Mountain West),13,6-7,83,766,58.92
Texas (Big 12),12,5-7,77,709,59.08
Indiana (Big Ten),13,6-7,91,778,59.85
Michigan (Big Ten),13,10-3,87,778,59.85
Oregon (Pac-12),13,9-4,90,793,61.00
Miami (OH) (MAC),12,3-9,89,736,61.33
Oklahoma (Big 12),13,11-2,80,800,61.54
Maryland (Big Ten),12,3-9,85,746,62.17
Louisville (ACC),13,8-5,97,814,62.62
Rice (CUSA),12,5-7,84,752,62.67
Virginia Tech (ACC),13,7-6,96,816,62.77
Nebraska (Big Ten),13,6-7,94,829,63.77
Virginia (ACC),12,4-8,91,766,63.83
Massachusetts (MAC),12,3-9,89,767,63.92
Buffalo (MAC),12,5-7,84,768,64.00
Texas Tech (Big 12),13,7-6,92,836,64.31
LSU (SEC),12,9-3,96,774,64.50
New Mexico (Mountain West),13,7-6,89,840,64.62
Akron (),13,8-5,99,845,65.00
Georgia St. (Sun Belt),13,6-7,92,852,65.54
UTSA (CUSA),12,3-9,84,788,65.67
Marshall (CUSA),13,10-3,91,860,66.15
Southern Miss. (CUSA),14,9-5,98,936,66.86
Toledo (MAC),12,10-2,96,818,68.17
Southern California (Pac-12),14,8-6,103,961,68.64
East Carolina (AAC),12,5-7,89,825,68.75
Hawaii (Mountain West),13,3-10,107,897,69.00
Colorado St. (Mountain West),13,7-6,97,898,69.08
West Virginia (Big 12),13,8-5,87,910,70.00
UCLA (Pac-12),13,8-5,108,916,70.46
TCU (Big 12),13,11-2,94,922,70.92
Louisiana (Sun Belt),12,4-8,85,853,71.08
Ohio (MAC),13,8-5,91,931,71.62
Kent St. (MAC),12,3-9,93,872,72.67
Cincinnati (AAC),13,7-6,104,948,72.92
Memphis (AAC),13,9-4,99,976,75.08
Arkansas St. (Sun Belt),13,9-4,109,1032,79.38
Bowling Green (MAC),14,10-4,123,1123,80.21
Baylor (Big 12),13,10-3,118,1043,80.23
Miami (FL) (ACC),13,8-5,121,1087,83.62
Charlotte (CUSA),12,2-10,64,652,54.33
