Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Ga. Southern (Sun Belt),13,9-4,728,4719,6.48,54,363.0
Navy (AAC),13,11-2,748,4247,5.68,53,326.7
Baylor (Big 12),13,10-3,714,4247,5.95,41,326.7
Air Force (Mountain West),14,8-6,816,4468,5.48,45,319.1
Oregon (Pac-12),13,9-4,618,3639,5.89,34,279.9
App State (Sun Belt),13,11-2,605,3529,5.83,25,271.5
LSU (SEC),12,9-3,505,3082,6.10,36,256.8
Georgia Tech (ACC),12,3-9,583,3074,5.27,30,256.2
New Mexico (Mountain West),13,7-6,638,3278,5.14,42,252.2
South Fla. (AAC),13,8-5,592,3205,5.41,28,246.5
Ohio St. (Big Ten),13,12-1,567,3188,5.62,39,245.2
Army West Point (FBS Independent),12,2-10,616,2931,4.76,24,244.3
Houston (AAC),14,13-1,669,3301,4.93,46,235.8
San Diego St. (Mountain West),14,11-3,675,3266,4.84,32,233.3
Arkansas St. (Sun Belt),13,9-4,608,3007,4.95,35,231.3
West Virginia (Big 12),13,8-5,622,2967,4.77,25,228.2
Texas (Big 12),12,5-7,529,2698,5.10,27,224.8
North Carolina (ACC),14,11-3,527,3142,5.96,40,224.4
Stanford (Pac-12),14,12-2,610,3132,5.13,33,223.7
Tennessee (SEC),13,9-4,617,2908,4.71,32,223.7
Clemson (ACC),15,14-1,679,3345,4.93,34,223.0
Arizona (Pac-12),13,7-6,527,2890,5.48,31,222.3
Oklahoma (Big 12),13,11-2,574,2887,5.03,32,222.1
TCU (Big 12),13,11-2,561,2800,4.99,26,215.4
Nevada (Mountain West),13,7-6,556,2738,4.92,24,210.6
Indiana (Big Ten),13,6-7,592,2736,4.62,27,210.5
Toledo (MAC),12,10-2,492,2495,5.07,26,207.9
Notre Dame (FBS Independent),13,10-3,479,2699,5.63,29,207.6
Western Mich. (MAC),13,8-5,526,2660,5.06,28,204.6
NC State (ACC),13,7-6,540,2627,4.86,36,202.1
Maryland (Big Ten),12,3-9,441,2408,5.46,20,200.7
Alabama (SEC),15,14-1,642,2999,4.67,33,199.9
Colorado St. (Mountain West),13,7-6,534,2571,4.81,20,197.8
Arkansas (SEC),13,8-5,512,2565,5.01,31,197.3
