Team,Games,Win-Loss,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return
Oklahoma (Big 12),13,11-2,11,12,0,1.09
Boston College (ACC),12,3-9,32,53,0,1.66
Northwestern (Big Ten),13,10-3,17,33,0,1.94
Houston (AAC),14,13-1,16,35,0,2.19
TCU (Big 12),13,11-2,13,33,0,2.54
Ohio (MAC),13,8-5,18,50,0,2.78
Virginia Tech (ACC),13,7-6,19,54,0,2.84
NC State (ACC),13,7-6,18,52,0,2.89
Duke (ACC),13,8-5,14,42,0,3.00
East Carolina (AAC),12,5-7,14,46,0,3.29
Arizona (Pac-12),13,7-6,23,79,0,3.43
Baylor (Big 12),13,10-3,8,28,0,3.50
Ohio St. (Big Ten),13,12-1,12,43,0,3.58
New Mexico (Mountain West),13,7-6,20,72,0,3.60
Texas (Big 12),12,5-7,13,50,0,3.85
Florida (SEC),14,10-4,33,129,0,3.91
Wisconsin (Big Ten),13,10-3,17,69,0,4.06
UConn (AAC),13,6-7,17,71,0,4.18
Pittsburgh (ACC),13,8-5,21,88,0,4.19
Western Mich. (MAC),13,8-5,7,30,0,4.29
Wyoming (Mountain West),12,2-10,21,97,1,4.62
West Virginia (Big 12),13,8-5,19,89,0,4.68
Arkansas St. (Sun Belt),13,9-4,10,47,0,4.70
Oklahoma St. (Big 12),13,10-3,20,94,0,4.70
Louisville (ACC),13,8-5,12,57,1,4.75
Marshall (CUSA),13,10-3,24,116,0,4.83
San Diego St. (Mountain West),14,11-3,19,95,0,5.00
Ga. Southern (Sun Belt),13,9-4,13,66,0,5.08
Central Mich. (MAC),13,7-6,20,104,0,5.20
Akron (),13,8-5,23,123,0,5.35
Army West Point (FBS Independent),12,2-10,14,76,0,5.43
Ole Miss (SEC),13,10-3,18,107,0,5.94
Clemson (ACC),15,14-1,16,97,0,6.06
Penn St. (Big Ten),13,7-6,31,190,0,6.13
App State (Sun Belt),13,11-2,19,117,0,6.16
Louisiana (Sun Belt),12,4-8,15,94,0,6.27
Iowa St. (Big 12),12,3-9,15,94,0,6.27
UTSA (CUSA),12,3-9,21,132,0,6.29
Colorado (Pac-12),13,4-9,20,130,0,6.50
UCLA (Pac-12),13,8-5,9,60,1,6.67
Washington (Pac-12),13,7-6,12,80,0,6.67
Kansas St. (Big 12),13,6-7,19,127,0,6.68
Arkansas (SEC),13,8-5,18,125,0,6.94
Air Force (Mountain West),14,8-6,14,98,0,7.00
NIU (MAC),14,8-6,16,113,0,7.06
Indiana (Big Ten),13,6-7,27,191,1,7.07
Eastern Mich. (MAC),12,1-11,20,143,0,7.15
Miami (OH) (MAC),12,3-9,24,172,0,7.17
Utah (Pac-12),13,10-3,11,79,0,7.18
Fla. Atlantic (CUSA),12,3-9,16,116,0,7.25
San Jose St. (Mountain West),13,6-7,17,124,0,7.29
Wake Forest (ACC),12,3-9,18,132,1,7.33
Western Ky. (CUSA),14,12-2,18,132,1,7.33
Maryland (Big Ten),12,3-9,13,96,0,7.38
Missouri (SEC),12,5-7,24,178,0,7.42
Hawaii (Mountain West),13,3-10,28,209,0,7.46
UCF (AAC),12,0-12,27,203,0,7.52
Kent St. (MAC),12,3-9,31,234,0,7.55
Georgia Tech (ACC),12,3-9,14,109,0,7.79
Virginia (ACC),12,4-8,23,180,0,7.83
Kansas (Big 12),12,0-12,31,244,3,7.87
Idaho (Sun Belt),12,4-8,23,183,0,7.96
