Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Washington St. (Pac-12),13,9-4,739,501,12,5064,6.85,10.11,41,389.5
Texas Tech (Big 12),13,7-6,620,389,15,5046,8.14,12.97,39,388.2
California (Pac-12),13,8-5,550,352,14,4892,8.89,13.90,44,376.3
Western Ky. (C-USA),14,12-2,554,398,9,5211,9.41,13.09,50,372.2
Bowling Green (MAC),14,10-4,594,398,8,5135,8.64,12.90,47,366.8
Cincinnati (AAC),13,7-6,547,341,22,4679,8.55,13.72,29,359.9
Oklahoma St. (Big 12),13,10-3,517,325,10,4591,8.88,14.13,35,353.2
TCU (Big 12),13,11-2,517,326,15,4517,8.74,13.86,39,347.5
Georgia St. (Sun Belt),13,6-7,496,308,12,4367,8.80,14.18,28,335.9
Ole Miss (SEC),13,10-3,489,318,14,4351,8.90,13.68,35,334.7
Tulsa (AAC),13,6-7,492,305,8,4332,8.80,14.20,25,333.2
Southern Miss. (C-USA),14,9-5,531,338,12,4616,8.69,13.66,40,329.7
Louisiana Tech (C-USA),13,9-4,479,297,11,4201,8.77,14.14,28,323.2
Mississippi St. (SEC),13,9-4,500,331,5,4113,8.23,12.43,33,316.4
Middle Tenn. (C-USA),13,7-6,501,334,10,4052,8.09,12.13,31,311.7
Boise St. (Mountain West),13,9-4,526,334,12,4032,7.67,12.07,24,310.2
Oklahoma (Big 12),13,11-2,439,292,9,4006,9.13,13.72,38,308.2
Memphis (AAC),13,9-4,465,311,5,3997,8.60,12.85,30,307.5
Central Mich. (MAC),13,7-6,495,326,11,3905,7.89,11.98,25,300.4
Arizona St. (Pac-12),13,6-7,534,320,9,3888,7.28,12.15,30,299.1
BYU (FBS Independent),13,9-4,504,302,12,3854,7.65,12.76,26,296.5
Indiana (Big Ten),13,6-7,461,269,8,3820,8.29,14.20,27,293.8
Clemson (ACC),15,14-1,528,356,15,4373,8.28,12.28,35,291.5
Baylor (Big 12),13,10-3,389,229,13,3764,9.68,16.44,44,289.5
UCLA (Pac-12),13,8-5,510,300,13,3749,7.35,12.50,23,288.4
Western Mich. (MAC),13,8-5,404,273,9,3720,9.21,13.63,30,286.2
East Carolina (AAC),12,5-7,473,321,12,3375,7.14,10.51,21,281.3
Idaho (Sun Belt),12,4-8,472,297,15,3375,7.15,11.36,17,281.3
Miami (FL) (ACC),13,8-5,450,269,9,3606,8.01,13.41,18,277.4
Arizona (Pac-12),13,7-6,466,273,10,3544,7.61,12.98,27,272.6
Southern California (Pac-12),14,8-6,463,309,7,3776,8.16,12.22,30,269.7
Arkansas (SEC),13,8-5,374,246,8,3486,9.32,14.17,31,268.2
Nebraska (Big Ten),13,6-7,458,256,21,3470,7.58,13.55,27,266.9
North Carolina (ACC),14,11-3,409,261,10,3675,8.99,14.08,31,262.5
Notre Dame (FBS Independent),13,10-3,385,241,10,3364,8.74,13.96,25,258.8
Oregon (Pac-12),13,9-4,375,236,10,3358,8.95,14.23,33,258.3
Massachusetts (MAC),12,3-9,495,281,13,3090,6.24,11.00,18,257.5
Florida St. (ACC),13,10-3,419,264,9,3325,7.94,12.59,22,255.8
Texas A&M (SEC),13,8-5,482,273,15,3323,6.89,12.17,25,255.6
Toledo (MAC),12,10-2,411,231,10,3036,7.39,13.14,24,253.0
New Mexico St. (Sun Belt),12,3-9,453,241,14,3034,6.70,12.59,26,252.8
West Virginia (Big 12),13,8-5,429,232,15,3269,7.62,14.09,26,251.5
Buffalo (MAC),12,5-7,455,283,16,2994,6.58,10.58,16,249.5
Houston (AAC),14,13-1,432,285,7,3477,8.05,12.20,22,248.4
Duke (ACC),13,8-5,509,294,10,3204,6.29,10.90,18,246.5
Louisville (ACC),13,8-5,409,227,15,3186,7.79,14.04,21,245.1
Illinois (Big Ten),12,5-7,519,285,8,2921,5.63,10.25,16,243.4
Troy (Sun Belt),12,4-8,418,250,11,2890,6.91,11.56,21,240.8
Colorado (Pac-12),13,4-9,466,286,12,3128,6.71,10.94,13,240.6
Washington (Pac-12),13,7-6,396,245,11,3110,7.85,12.69,17,239.2
Virginia (ACC),12,4-8,413,252,18,2859,6.92,11.35,21,238.3
FIU (C-USA),12,5-7,440,274,8,2854,6.49,10.42,22,237.8
Michigan (Big Ten),13,10-3,415,258,10,3090,7.45,11.98,21,237.7
