Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Boston College (ACC),12,3-9,750,3052,4.07,15,19,254.3
Wisconsin (Big Ten),13,10-3,791,3491,4.41,20,22,268.5
Alabama (SEC),15,14-1,963,4145,4.30,24,26,276.3
Michigan (Big Ten),13,10-3,818,3649,4.46,20,24,280.7
San Diego St. (Mountain West),14,11-3,863,4022,4.66,28,29,287.3
Missouri (SEC),12,5-7,838,3624,4.32,21,22,302.0
Georgia (SEC),13,10-3,835,3977,4.76,22,26,305.9
Florida (SEC),14,10-4,933,4343,4.65,29,30,310.2
Ohio St. (Big Ten),13,12-1,899,4047,4.50,24,24,311.3
Clemson (ACC),15,14-1,968,4695,4.85,37,41,313.0
App State (Sun Belt),13,11-2,871,4088,4.69,25,29,314.5
Boise St. (Mountain West),13,9-4,851,4138,4.86,28,33,318.3
Northwestern (Big Ten),13,10-3,915,4146,4.53,26,30,318.9
Penn St. (Big Ten),13,7-6,883,4218,4.78,33,37,324.5
Akron (),13,8-5,888,4310,4.85,35,37,331.5
Central Mich. (MAC),13,7-6,841,4319,5.14,34,37,332.2
Utah St. (Mountain West),13,6-7,891,4322,4.85,43,45,332.5
Louisville (ACC),13,8-5,898,4326,4.82,34,39,332.8
Florida St. (ACC),13,10-3,936,4380,4.68,24,26,336.9
Temple (AAC),14,10-4,937,4718,5.04,29,31,337.0
Ga. Southern (Sun Belt),13,9-4,803,4395,5.47,35,39,338.1
Iowa (Big Ten),14,12-2,962,4774,4.96,28,32,341.0
BYU (FBS Independent),13,9-4,918,4494,4.90,34,38,345.7
Minnesota (Big Ten),13,6-7,917,4497,4.90,36,40,345.9
LSU (SEC),12,9-3,806,4166,5.17,36,38,347.2
Michigan St. (Big Ten),14,12-2,895,4898,5.47,36,39,349.9
Kent St. (MAC),12,3-9,864,4201,4.86,37,40,350.1
Vanderbilt (SEC),12,4-8,814,4206,5.17,22,26,350.5
NC State (ACC),13,7-6,828,4559,5.51,42,43,350.7
Illinois (Big Ten),12,5-7,860,4210,4.90,33,34,350.8
Washington (Pac-12),13,7-6,933,4574,4.90,26,28,351.8
Air Force (Mountain West),14,8-6,870,4968,5.71,43,45,354.9
UConn (AAC),13,6-7,887,4616,5.20,27,29,355.1
San Jose St. (Mountain West),13,6-7,832,4661,5.60,45,46,358.5
Marshall (C-USA),13,10-3,997,4680,4.69,27,28,360.0
Tennessee (SEC),13,9-4,904,4706,5.21,30,33,362.0
Pittsburgh (ACC),13,8-5,829,4721,5.69,36,38,363.2
Wake Forest (ACC),12,3-9,784,4365,5.57,33,37,363.8
Oklahoma (Big 12),13,11-2,989,4738,4.79,34,34,364.5
Navy (AAC),13,11-2,839,4744,5.65,33,36,364.9
Utah (Pac-12),13,10-3,921,4768,5.18,33,35,366.8
Georgia Tech (ACC),12,3-9,759,4416,5.82,36,38,368.0
Stanford (Pac-12),14,12-2,926,5156,5.57,35,36,368.3
Virginia Tech (ACC),13,7-6,867,4808,5.55,40,42,369.8
Notre Dame (FBS Independent),13,10-3,870,4845,5.57,39,40,372.7
Toledo (MAC),12,10-2,888,4498,5.07,26,28,374.8
Army West Point (FBS Independent),12,2-10,742,4507,6.07,39,40,375.6
Louisiana Tech (C-USA),13,9-4,924,4886,5.29,37,42,375.8
Ohio (MAC),13,8-5,861,4910,5.70,38,41,377.7
Southern Miss. (C-USA),14,9-5,998,5313,5.32,39,42,379.5
Texas A&M (SEC),13,8-5,912,4940,5.42,29,33,380.0
South Fla. (AAC),13,8-5,944,4946,5.24,35,35,380.5
Houston (AAC),14,13-1,980,5370,5.48,36,36,383.6
Ole Miss (SEC),13,10-3,1029,5016,4.87,32,33,385.8
Colorado St. (Mountain West),13,7-6,877,5082,5.79,39,42,390.9
Mississippi St. (SEC),13,9-4,955,5085,5.32,32,34,391.2
Troy (Sun Belt),12,4-8,895,4695,5.25,39,43,391.3
Arkansas (SEC),13,8-5,839,5091,6.07,43,44,391.6
Kentucky (SEC),12,5-7,853,4730,5.55,38,41,394.2
Duke (ACC),13,8-5,956,5131,5.37,40,42,394.7
West Virginia (Big 12),13,8-5,969,5154,5.32,33,36,396.5
Baylor (Big 12),13,10-3,994,5155,5.19,47,49,396.5
TCU (Big 12),13,11-2,1004,5179,5.16,44,45,398.4
Nebraska (Big Ten),13,6-7,885,5205,5.88,43,45,400.4
Southern California (Pac-12),14,8-6,984,5611,5.70,42,44,400.8
East Carolina (AAC),12,5-7,894,4811,5.38,38,39,400.9
UCLA (Pac-12),13,8-5,1044,5222,5.00,35,39,401.7
Miami (OH) (MAC),12,3-9,863,4855,5.63,47,48,404.6
Miami (FL) (ACC),13,8-5,911,5263,5.78,41,43,404.8
Fla. Atlantic (C-USA),12,3-9,877,4861,5.54,40,44,405.1
Auburn (SEC),13,7-6,981,5267,5.37,37,39,405.2
Western Ky. (C-USA),14,12-2,997,5673,5.69,45,48,405.2
Nevada (Mountain West),13,7-6,920,5270,5.73,38,42,405.4
