Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
Ga. Southern (Sun Belt),13,9-4,36,525,0,14.58
Memphis (AAC),13,9-4,22,340,0,15.45
Ohio St. (Big Ten),13,12-1,50,813,0,16.26
ULM (Sun Belt),13,2-11,49,799,0,16.31
Florida St. (ACC),13,10-3,33,557,0,16.88
NIU (MAC),14,8-6,59,996,0,16.88
Marshall (CUSA),13,10-3,27,457,0,16.93
Wisconsin (Big Ten),13,10-3,55,935,0,17.00
Troy (Sun Belt),12,4-8,28,490,0,17.50
Ball St. (MAC),12,3-9,39,703,0,18.03
Akron (),13,8-5,44,794,0,18.05
Kansas St. (Big 12),13,6-7,56,1011,0,18.05
Mississippi St. (SEC),13,9-4,47,857,0,18.23
Tennessee (SEC),13,9-4,45,821,0,18.24
Vanderbilt (SEC),12,4-8,31,571,0,18.42
Army West Point (FBS Independent),12,2-10,29,541,0,18.66
Ohio (MAC),13,8-5,62,1157,0,18.66
Arkansas St. (Sun Belt),13,9-4,52,972,1,18.69
Rutgers (Big Ten),12,4-8,44,825,0,18.75
Southern Miss. (CUSA),14,9-5,75,1416,1,18.88
Nebraska (Big Ten),13,6-7,47,888,0,18.89
Alabama (SEC),15,14-1,41,779,0,19.00
Texas A&M (SEC),13,8-5,39,742,0,19.03
South Carolina (SEC),12,3-9,15,286,0,19.07
Western Ky. (CUSA),14,12-2,96,1832,1,19.08
North Carolina (ACC),14,11-3,43,822,0,19.12
Ole Miss (SEC),13,10-3,40,765,0,19.13
Toledo (MAC),12,10-2,71,1358,1,19.13
Miami (OH) (MAC),12,3-9,38,730,0,19.21
Pittsburgh (ACC),13,8-5,26,500,0,19.23
FIU (CUSA),12,5-7,42,808,0,19.24
Iowa St. (Big 12),12,3-9,47,913,1,19.43
Arkansas (SEC),13,8-5,62,1210,1,19.52
Duke (ACC),13,8-5,48,942,2,19.63
Old Dominion (CUSA),12,5-7,51,1016,0,19.92
South Fla. (AAC),13,8-5,70,1396,0,19.94
Temple (AAC),14,10-4,64,1281,1,20.02
Illinois (Big Ten),12,5-7,36,723,0,20.08
South Alabama (Sun Belt),12,5-7,50,1007,0,20.14
Kansas (Big 12),12,0-12,19,384,0,20.21
NC State (ACC),13,7-6,30,609,0,20.30
LSU (SEC),12,9-3,56,1140,1,20.36
Boston College (ACC),12,3-9,31,632,1,20.39
Western Mich. (MAC),13,8-5,53,1082,0,20.42
Houston (AAC),14,13-1,68,1389,0,20.43
TCU (Big 12),13,11-2,35,715,0,20.43
Virginia Tech (ACC),13,7-6,25,512,0,20.48
Michigan (Big Ten),13,10-3,41,840,1,20.49
Florida (SEC),14,10-4,26,534,0,20.54
UCF (AAC),12,0-12,28,576,0,20.57
Southern California (Pac-12),14,8-6,72,1490,0,20.69
Fla. Atlantic (CUSA),12,3-9,27,559,0,20.70
Utah (Pac-12),13,10-3,59,1222,1,20.71
Northwestern (Big Ten),13,10-3,36,746,1,20.72
Kentucky (SEC),12,5-7,45,937,1,20.82
Washington St. (Pac-12),13,9-4,50,1043,2,20.86
BYU (FBS Independent),13,9-4,44,921,0,20.93
California (Pac-12),13,8-5,64,1340,1,20.94
Stanford (Pac-12),14,12-2,70,1473,1,21.04
Louisiana (Sun Belt),12,4-8,49,1035,1,21.12
Auburn (SEC),13,7-6,18,381,0,21.17
Bowling Green (MAC),14,10-4,56,1186,1,21.18
Georgia (SEC),13,10-3,45,954,0,21.20
Miami (FL) (ACC),13,8-5,41,870,0,21.22
Wyoming (Mountain West),12,2-10,24,511,0,21.29
