Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Western Ky. (C-USA),14,9-5,698,480,12,6072,8.7,12.65,63,433.7
Virginia (ACC),12,6-6,553,350,12,4711,8.52,13.46,31,392.6
Ohio St. (Big Ten),13,11-2,494,349,8,4952,10.02,14.19,46,380.9
Mississippi St. (SEC),13,7-6,704,518,9,4918,6.99,9.49,37,378.3
Purdue (Big Ten),13,9-4,575,407,12,4620,8.03,11.35,35,355.4
Nevada (Mountain West),13,8-5,572,395,9,4511,7.89,11.42,38,347.0
Alabama (SEC),15,13-2,571,380,7,5073,8.88,13.35,48,338.2
Pittsburgh (ACC),14,11-3,544,367,8,4723,8.68,12.87,44,337.4
Fresno St. (Mountain West),13,10-3,514,342,10,4247,8.26,12.42,35,326.7
Miami (FL) (ACC),12,7-5,464,295,10,3854,8.31,13.06,30,321.2
Arkansas St. (Sun Belt),12,2-10,525,310,17,3767,7.18,12.15,27,313.9
Wake Forest (ACC),14,11-3,519,302,15,4303,8.29,14.25,39,307.4
Maryland (Big Ten),13,7-6,489,339,12,3960,8.1,11.68,27,304.6
SMU (AAC),12,8-4,468,313,12,3654,7.81,11.67,39,304.5
Utah St. (Mountain West),14,11-3,504,303,15,4248,8.43,14.02,41,303.4
Memphis (AAC),12,6-6,445,268,11,3585,8.06,13.38,26,298.8
Southern California (Pac-12),12,4-8,500,318,13,3580,7.16,11.26,21,298.3
Marshall (C-USA),13,7-6,491,324,15,3827,7.79,11.81,18,294.4
NC State (ACC),12,9-3,443,288,6,3461,7.81,12.02,35,288.4
Notre Dame (FBS Independent),13,11-2,451,289,10,3672,8.14,12.71,30,282.5
Miami (OH) (MAC),13,7-6,427,247,8,3622,8.48,14.66,32,278.6
Ole Miss (SEC),13,10-3,429,286,7,3573,8.33,12.49,21,274.8
Houston (AAC),14,12-2,459,307,12,3802,8.28,12.38,32,271.6
East Carolina (AAC),12,7-5,424,261,11,3249,7.66,12.45,21,270.8
New Mexico St. (FBS Independent),12,2-10,519,296,10,3240,6.24,10.95,15,270.0
Penn St. (Big Ten),13,7-6,486,291,10,3491,7.18,12.0,25,268.5
Nebraska (Big Ten),12,3-9,342,215,11,3197,9.35,14.87,14,266.4
Coastal Carolina (Sun Belt),13,11-2,322,227,4,3457,10.74,15.23,33,265.9
Central Mich. (MAC),13,9-4,448,273,10,3450,7.7,12.64,31,265.4
FIU (C-USA),12,1-11,379,202,12,3175,8.38,15.72,20,264.6
BYU (FBS Independent),13,10-3,389,253,5,3433,8.83,13.57,26,264.1
Iowa St. (Big 12),13,7-6,446,313,9,3430,7.69,10.96,22,263.8
Oklahoma (Big 12),13,11-2,403,279,9,3425,8.5,12.28,32,263.5
Eastern Mich. (MAC),13,7-6,455,309,9,3417,7.51,11.06,19,262.8
Louisiana Tech (C-USA),12,3-9,412,248,16,3151,7.65,12.71,22,262.6
Hawaii (Mountain West),13,6-7,462,260,16,3408,7.38,13.11,19,262.2
Boise St. (Mountain West),12,7-5,409,254,10,3127,7.65,12.31,20,260.6
Washington St. (Pac-12),13,7-6,452,281,13,3345,7.4,11.9,26,257.3
Texas Tech (Big 12),13,7-6,388,246,11,3344,8.62,13.59,18,257.2
Tennessee (SEC),13,7-6,375,243,3,3342,8.91,13.75,33,257.1
South Alabama (Sun Belt),12,5-7,407,273,11,3072,7.55,11.25,22,256.0
North Carolina (ACC),13,6-7,382,237,9,3324,8.7,14.03,26,255.7
UTSA (C-USA),14,12-2,447,289,6,3577,8.0,12.38,31,255.5
Liberty (FBS Independent),13,8-5,381,226,15,3320,8.71,14.69,33,255.4
LSU (SEC),13,6-7,443,262,11,3308,7.47,12.63,32,254.5
Florida (SEC),13,6-7,416,265,18,3304,7.94,12.47,27,254.2
Michigan St. (Big Ten),13,11-2,400,243,10,3298,8.24,13.57,27,253.7
Charlotte (C-USA),12,5-7,394,247,10,3044,7.73,12.32,27,253.7
Western Mich. (MAC),13,8-5,369,233,6,3297,8.93,14.15,23,253.6
UTEP (C-USA),13,7-6,366,200,14,3277,8.95,16.38,19,252.1
Georgia (SEC),15,14-1,407,264,12,3778,9.28,14.31,39,251.9
Colorado St. (Mountain West),12,3-9,396,237,11,3020,7.63,12.74,15,251.7
Tulsa (AAC),13,7-6,411,244,16,3244,7.89,13.3,18,249.5
App State (Sun Belt),14,10-4,413,255,12,3487,8.44,13.67,29,249.1
Fla. Atlantic (C-USA),12,5-7,386,230,8,2984,7.73,12.97,20,248.7
West Virginia (Big 12),13,6-7,447,290,12,3223,7.21,11.11,19,247.9
Kent St. (MAC),14,7-7,406,262,6,3452,8.5,13.18,21,246.6
Cincinnati (AAC),14,13-1,400,257,9,3377,8.44,13.14,33,241.2
