Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Army West Point (FBS Independent),13,9-4,7,39,0.54
NIU (MAC),14,9-5,11,65,0.79
Air Force (Mountain West),13,10-3,11,46,0.85
Utah (Pac-12),14,10-4,13,85,0.93
Michigan (Big Ten),14,12-2,14,111,1.0
Georgia (SEC),15,14-1,16,121,1.07
Florida (SEC),13,6-7,14,80,1.08
Oregon St. (Pac-12),13,7-6,14,113,1.08
Oklahoma St. (Big 12),14,12-2,16,103,1.14
BYU (FBS Independent),13,10-3,15,114,1.15
North Texas (C-USA),13,6-7,15,96,1.15
App State (Sun Belt),14,10-4,17,115,1.21
Western Ky. (C-USA),14,9-5,17,123,1.21
Baylor (Big 12),14,12-2,18,135,1.29
Ohio St. (Big Ten),13,11-2,17,133,1.31
Wisconsin (Big Ten),13,9-4,17,137,1.31
Buffalo (MAC),12,4-8,16,93,1.33
Kansas (Big 12),12,2-10,16,104,1.33
SMU (AAC),12,8-4,16,112,1.33
Missouri (SEC),13,6-7,18,125,1.38
Marshall (C-USA),13,7-6,19,121,1.46
UTEP (C-USA),13,7-6,19,151,1.46
Southern California (Pac-12),12,4-8,18,166,1.5
UTSA (C-USA),14,12-2,21,130,1.5
Louisville (ACC),13,6-7,20,102,1.54
Texas A&M (SEC),12,8-4,19,121,1.58
Clemson (ACC),13,10-3,21,133,1.62
Iowa St. (Big 12),13,7-6,21,131,1.62
Miami (OH) (MAC),13,7-6,21,122,1.62
Michigan St. (Big Ten),13,11-2,21,151,1.62
Auburn (SEC),13,6-7,22,187,1.69
Coastal Carolina (Sun Belt),13,11-2,22,141,1.69
Minnesota (Big Ten),13,9-4,22,168,1.69
Rutgers (Big Ten),13,5-8,22,134,1.69
Wyoming (Mountain West),13,7-6,22,144,1.69
Oregon (Pac-12),14,10-4,24,128,1.71
San Diego St. (Mountain West),14,12-2,24,169,1.71
San Jose St. (Mountain West),12,5-7,21,150,1.75
Georgia St. (Sun Belt),13,8-5,23,113,1.77
Ohio (MAC),12,3-9,22,132,1.83
Kansas St. (Big 12),13,8-5,24,176,1.85
Cincinnati (AAC),14,13-1,26,182,1.86
Louisiana (Sun Belt),14,13-1,26,169,1.86
Illinois (Big Ten),12,5-7,23,169,1.92
UCLA (Pac-12),12,8-4,23,139,1.92
Washington (Pac-12),12,4-8,23,139,1.92
Fresno St. (Mountain West),13,10-3,25,179,1.92
Kentucky (SEC),13,10-3,25,156,1.92
Texas Tech (Big 12),13,7-6,25,154,1.92
Tulsa (AAC),13,7-6,25,116,1.92
UCF (AAC),13,9-4,25,158,1.92
Ball St. (MAC),13,6-7,26,197,2.0
Maryland (Big Ten),13,7-6,26,243,2.0
South Fla. (AAC),12,2-10,24,182,2.0
Central Mich. (MAC),13,9-4,27,191,2.08
Middle Tenn. (C-USA),13,7-6,27,206,2.08
California (Pac-12),12,5-7,25,143,2.08
Charlotte (C-USA),12,5-7,25,155,2.08
NC State (ACC),12,9-3,25,175,2.08
Arizona St. (Pac-12),13,8-5,28,174,2.15
Boston College (ACC),12,6-6,26,162,2.17
Massachusetts (FBS Independent),12,1-11,26,158,2.17
Texas (Big 12),12,5-7,26,160,2.17
Purdue (Big Ten),13,9-4,29,207,2.23
Western Mich. (MAC),13,8-5,29,206,2.23
Boise St. (Mountain West),12,7-5,27,224,2.25
Duke (ACC),12,3-9,27,181,2.25
Iowa (Big Ten),14,10-4,32,210,2.29
Utah St. (Mountain West),14,11-3,32,192,2.29
Arkansas (SEC),13,9-4,30,190,2.31
Virginia Tech (ACC),13,6-7,30,228,2.31
Colorado St. (Mountain West),12,3-9,28,138,2.33
Ga. Southern (Sun Belt),12,3-9,28,184,2.33
Louisiana Tech (C-USA),12,3-9,28,182,2.33
Northwestern (Big Ten),12,3-9,28,209,2.33
Rice (C-USA),12,4-8,28,180,2.33
TCU (Big 12),12,5-7,28,187,2.33
Texas St. (Sun Belt),12,4-8,28,173,2.33
Vanderbilt (SEC),12,2-10,28,173,2.33
South Carolina (SEC),13,7-6,31,223,2.38
Washington St. (Pac-12),13,7-6,31,248,2.38
Indiana (Big Ten),12,2-10,29,169,2.42
Memphis (AAC),12,6-6,29,164,2.42
Nebraska (Big Ten),12,3-9,29,167,2.42
South Alabama (Sun Belt),12,5-7,29,174,2.42
Temple (AAC),12,3-9,29,160,2.42
Pittsburgh (ACC),14,11-3,34,257,2.43
