Team,Games,Win-Loss,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return
Coastal Carolina (Sun Belt),13,11-2,2,0,0,0.0
Oklahoma St. (Big 12),14,12-2,20,16,0,0.8
Cincinnati (AAC),14,13-1,17,26,0,1.53
TCU (Big 12),12,5-7,6,10,0,1.67
Tennessee (SEC),13,7-6,7,14,0,2.0
Minnesota (Big Ten),13,9-4,9,21,0,2.33
Air Force (Mountain West),13,10-3,8,21,0,2.62
Charlotte (CUSA),12,5-7,8,22,0,2.75
Penn St. (Big Ten),13,7-6,14,39,0,2.79
Texas (Big 12),12,5-7,14,40,0,2.86
Kent St. (MAC),14,7-7,8,23,0,2.88
Rutgers (Big Ten),13,5-8,14,41,0,2.93
San Jose St. (Mountain West),12,5-7,11,37,0,3.36
Arkansas St. (Sun Belt),12,2-10,20,70,0,3.5
Baylor (Big 12),14,12-2,12,44,0,3.67
Clemson (ACC),13,10-3,20,74,0,3.7
Illinois (Big Ten),12,5-7,27,100,0,3.7
Iowa (Big Ten),14,10-4,18,69,0,3.83
Michigan (Big Ten),14,12-2,9,35,0,3.89
Ball St. (MAC),13,6-7,7,28,0,4.0
Miami (FL) (ACC),12,7-5,15,60,0,4.0
App State (Sun Belt),14,10-4,13,53,0,4.08
Auburn (SEC),13,6-7,8,33,0,4.12
Utah St. (Mountain West),14,11-3,15,65,0,4.33
East Carolina (AAC),12,7-5,8,35,0,4.38
UConn (FBS Independent),12,1-11,22,97,0,4.41
Ole Miss (SEC),13,10-3,17,76,0,4.47
UCLA (Pac-12),12,8-4,8,36,0,4.5
Eastern Mich. (MAC),13,7-6,15,68,0,4.53
Marshall (CUSA),13,7-6,17,81,0,4.76
UTSA (CUSA),14,12-2,14,68,0,4.86
Army West Point (FBS Independent),13,9-4,8,40,0,5.0
Texas A&M (SEC),12,8-4,19,97,1,5.11
Pittsburgh (ACC),14,11-3,11,58,0,5.27
Louisiana (Sun Belt),14,13-1,23,122,0,5.3
Georgia St. (Sun Belt),13,8-5,15,81,1,5.4
Kentucky (SEC),13,10-3,9,50,0,5.56
Louisville (ACC),13,6-7,12,67,0,5.58
Arizona St. (Pac-12),13,8-5,15,84,0,5.6
Ohio St. (Big Ten),13,11-2,7,41,0,5.86
Southern California (Pac-12),12,4-8,11,66,0,6.0
Alabama (SEC),15,13-2,12,73,0,6.08
Massachusetts (FBS Independent),12,1-11,26,159,0,6.12
Texas St. (Sun Belt),12,4-8,14,86,1,6.14
Tulane (AAC),12,2-10,6,37,0,6.17
Troy (Sun Belt),12,5-7,18,113,0,6.28
Notre Dame (FBS Independent),13,11-2,13,82,0,6.31
Purdue (Big Ten),13,9-4,13,83,0,6.38
West Virginia (Big 12),13,6-7,11,71,1,6.45
Central Mich. (MAC),13,9-4,13,84,1,6.46
Maryland (Big Ten),13,7-6,20,130,0,6.5
Memphis (AAC),12,6-6,11,73,0,6.64
Old Dominion (CUSA),13,6-7,19,127,0,6.68
Bowling Green (MAC),12,4-8,27,184,1,6.81
Utah (Pac-12),14,10-4,12,82,2,6.83
Houston (AAC),14,12-2,7,50,0,7.14
Boise St. (Mountain West),12,7-5,13,93,0,7.15
Fresno St. (Mountain West),13,10-3,10,72,0,7.2
NC State (ACC),12,9-3,19,138,0,7.26
ULM (Sun Belt),12,4-8,17,125,1,7.35
BYU (FBS Independent),13,10-3,15,112,0,7.47
Rice (CUSA),12,4-8,28,212,0,7.57
Arkansas (SEC),13,9-4,18,138,1,7.67
Michigan St. (Big Ten),13,11-2,16,123,0,7.69
Oklahoma (Big 12),13,11-2,14,108,0,7.71
Wisconsin (Big Ten),13,9-4,21,163,0,7.76
UAB (CUSA),13,9-4,14,110,0,7.86
UNLV (Mountain West),12,2-10,24,190,0,7.92
Miami (OH) (MAC),13,7-6,11,88,0,8.0
Missouri (SEC),13,6-7,14,112,0,8.0
South Alabama (Sun Belt),12,5-7,20,160,0,8.0
Oregon St. (Pac-12),13,7-6,7,57,0,8.14
Arizona (Pac-12),12,1-11,17,142,2,8.35
Texas Tech (Big 12),13,7-6,9,76,0,8.44
Duke (ACC),12,3-9,26,221,0,8.5
Liberty (FBS Independent),13,8-5,11,94,0,8.55
Syracuse (ACC),12,5-7,25,214,0,8.56
Indiana (Big Ten),12,2-10,20,172,0,8.6
UCF (AAC),13,9-4,17,148,1,8.71
Ga. Southern (Sun Belt),12,3-9,14,122,2,8.71
Florida St. (ACC),12,5-7,12,106,0,8.83
Akron (MAC),12,2-10,23,204,0,8.87
Navy (AAC),12,4-8,22,197,1,8.95
Northwestern (Big Ten),12,3-9,21,189,0,9.0
SMU (AAC),12,8-4,12,108,0,9.0
Nebraska (Big Ten),12,3-9,13,118,2,9.08
Wyoming (Mountain West),13,7-6,16,146,0,9.12
Florida (SEC),13,6-7,10,92,0,9.2
Wake Forest (ACC),14,11-3,15,138,0,9.2
New Mexico (Mountain West),12,3-9,24,221,3,9.21
LSU (SEC),13,6-7,17,157,0,9.24
California (Pac-12),12,5-7,12,113,0,9.42
Middle Tenn. (CUSA),13,7-6,24,227,0,9.46
NIU (MAC),14,9-5,17,161,0,9.47
North Texas (CUSA),13,6-7,32,307,1,9.59
UTEP (CUSA),13,7-6,13,127,2,9.77
Virginia (ACC),12,6-6,16,157,0,9.81
Fla. Atlantic (CUSA),12,5-7,17,168,0,9.88
Toledo (MAC),13,7-6,17,168,1,9.88
Buffalo (MAC),12,4-8,13,129,0,9.92
Georgia (SEC),15,14-1,12,120,0,10.0
Washington St. (Pac-12),13,7-6,15,152,0,10.13
Nevada (Mountain West),13,8-5,14,142,0,10.14
Georgia Tech (ACC),12,3-9,15,153,0,10.2
Hawaii (Mountain West),13,6-7,9,93,1,10.33
North Carolina (ACC),13,6-7,19,199,1,10.47
Ohio (MAC),12,3-9,12,126,0,10.5
Kansas St. (Big 12),13,8-5,11,117,0,10.64
Colorado (Pac-12),12,4-8,38,407,1,10.71
Iowa St. (Big 12),13,7-6,18,194,0,10.78
FIU (CUSA),12,1-11,25,273,0,10.92
South Fla. (AAC),12,2-10,12,132,0,11.0
Oregon (Pac-12),14,10-4,15,166,1,11.07
Southern Miss. (CUSA),12,3-9,11,122,2,11.09
Washington (Pac-12),12,4-8,25,279,0,11.16
Stanford (Pac-12),12,3-9,19,213,0,11.21
New Mexico St. (FBS Independent),12,2-10,18,205,0,11.39
San Diego St. (Mountain West),14,12-2,22,251,1,11.41
Temple (AAC),12,3-9,22,251,0,11.41
South Carolina (SEC),13,7-6,11,127,1,11.55
Boston College (ACC),12,6-6,17,212,1,12.47
Colorado St. (Mountain West),12,3-9,21,279,1,13.29
Tulsa (AAC),13,7-6,16,229,1,14.31
Kansas (Big 12),12,2-10,13,188,1,14.46
Virginia Tech (ACC),13,6-7,14,211,1,15.07
Louisiana Tech (CUSA),12,3-9,12,182,0,15.17
Vanderbilt (SEC),12,2-10,17,262,0,15.41
Western Ky. (CUSA),14,9-5,14,260,1,18.57
Mississippi St. (SEC),13,7-6,15,290,2,19.33
Western Mich. (MAC),13,8-5,16,318,2,19.88
