Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
UCF (AAC),13,9-4,11,13,0.846
NIU (MAC),14,9-5,25,30,0.833
UTEP (C-USA),13,7-6,19,24,0.792
Air Force (Mountain West),13,10-3,32,41,0.78
Coastal Carolina (Sun Belt),13,11-2,10,13,0.769
Kansas St. (Big 12),13,8-5,15,20,0.75
Army West Point (FBS Independent),13,9-4,30,41,0.732
Miami (FL) (ACC),12,7-5,15,21,0.714
East Carolina (AAC),12,7-5,26,37,0.703
Michigan St. (Big Ten),13,11-2,14,20,0.7
Texas St. (Sun Belt),12,4-8,16,23,0.696
Navy (AAC),12,4-8,25,36,0.694
Oklahoma (Big 12),13,11-2,11,16,0.688
Pittsburgh (ACC),14,11-3,17,25,0.68
West Virginia (Big 12),13,6-7,19,28,0.679
Houston (AAC),14,12-2,16,24,0.667
SMU (AAC),12,8-4,16,24,0.667
UAB (C-USA),13,9-4,10,15,0.667
Iowa St. (Big 12),13,7-6,15,23,0.652
App State (Sun Belt),14,10-4,24,37,0.649
Ohio (MAC),12,3-9,11,17,0.647
UCLA (Pac-12),12,8-4,20,31,0.645
Arizona (Pac-12),12,1-11,18,28,0.643
Arizona St. (Pac-12),13,8-5,9,14,0.643
Vanderbilt (SEC),12,2-10,19,30,0.633
Ole Miss (SEC),13,10-3,31,49,0.633
Arkansas (SEC),13,9-4,12,19,0.632
Baylor (Big 12),14,12-2,22,35,0.629
Charlotte (C-USA),12,5-7,22,35,0.629
LSU (SEC),13,6-7,20,32,0.625
Mississippi St. (SEC),13,7-6,10,16,0.625
Southern California (Pac-12),12,4-8,10,16,0.625
Wake Forest (ACC),14,11-3,13,21,0.619
BYU (FBS Independent),13,10-3,16,26,0.615
South Alabama (Sun Belt),12,5-7,28,46,0.609
Troy (Sun Belt),12,5-7,15,25,0.6
Cincinnati (AAC),14,13-1,12,20,0.6
Marshall (C-USA),13,7-6,9,15,0.6
Stanford (Pac-12),12,3-9,9,15,0.6
Texas A&M (SEC),12,8-4,6,10,0.6
San Diego St. (Mountain West),14,12-2,13,22,0.591
Central Mich. (MAC),13,9-4,17,29,0.586
Buffalo (MAC),12,4-8,14,24,0.583
Nebraska (Big Ten),12,3-9,14,24,0.583
Memphis (AAC),12,6-6,22,38,0.579
Missouri (SEC),13,6-7,11,19,0.579
Ohio St. (Big Ten),13,11-2,11,19,0.579
Nevada (Mountain West),13,8-5,12,21,0.571
Georgia (SEC),15,14-1,8,14,0.571
Minnesota (Big Ten),13,9-4,8,14,0.571
Auburn (SEC),13,6-7,13,23,0.565
UTSA (C-USA),14,12-2,13,23,0.565
Georgia St. (Sun Belt),13,8-5,10,18,0.556
Florida (SEC),13,6-7,14,26,0.538
Oklahoma St. (Big 12),14,12-2,7,13,0.538
Louisiana (Sun Belt),14,13-1,22,41,0.537
Rice (C-USA),12,4-8,16,30,0.533
Utah St. (Mountain West),14,11-3,16,30,0.533
Fresno St. (Mountain West),13,10-3,8,15,0.533
Clemson (ACC),13,10-3,9,17,0.529
Notre Dame (FBS Independent),13,11-2,9,17,0.529
Ball St. (MAC),13,6-7,11,21,0.524
North Carolina (ACC),13,6-7,11,21,0.524
Wisconsin (Big Ten),13,9-4,11,21,0.524
Boston College (ACC),12,6-6,12,23,0.522
Louisville (ACC),13,6-7,14,27,0.519
Michigan (Big Ten),14,12-2,14,27,0.519
South Fla. (AAC),12,2-10,16,31,0.516
