Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Ohio St. (Big Ten),13,11-2,917,7300,7.96,70,561.5
Western Ky. (C-USA),14,9-5,1045,7494,7.17,76,535.3
Virginia (ACC),12,6-6,892,6189,6.94,52,515.8
Kent St. (MAC),14,7-7,1053,6933,6.58,57,495.2
Coastal Carolina (Sun Belt),13,11-2,831,6431,7.74,69,494.7
Ole Miss (SEC),13,10-3,1017,6402,6.29,54,492.5
Alabama (SEC),15,13-2,1119,7323,6.54,69,488.2
Pittsburgh (ACC),14,11-3,1069,6812,6.37,70,486.6
Tennessee (SEC),13,7-6,952,6174,6.49,63,474.9
North Carolina (ACC),13,6-7,895,6088,6.8,56,468.3
Wake Forest (ACC),14,11-3,1084,6550,6.04,70,467.9
Western Mich. (MAC),13,8-5,959,6063,6.32,54,466.4
SMU (AAC),12,8-4,890,5591,6.28,59,465.9
Fresno St. (Mountain West),13,10-3,953,6043,6.34,52,464.8
Florida (SEC),13,6-7,911,6017,6.6,53,462.8
Marshall (C-USA),13,7-6,940,5938,6.32,56,456.8
BYU (FBS Independent),13,10-3,868,5884,6.78,56,452.6
Oklahoma (Big 12),13,11-2,851,5863,6.89,61,451.0
Miami (FL) (ACC),12,7-5,879,5386,6.13,50,448.8
Nebraska (Big Ten),12,3-9,832,5371,6.46,45,447.6
Louisville (ACC),13,6-7,869,5801,6.68,50,446.2
Utah St. (Mountain West),14,11-3,1068,6238,5.84,54,445.6
Southern California (Pac-12),12,4-8,901,5327,5.91,37,443.9
Central Mich. (MAC),13,9-4,968,5764,5.95,49,443.4
Michigan (Big Ten),14,12-2,969,6203,6.4,60,443.1
Georgia (SEC),15,14-1,952,6642,6.98,68,442.8
Arkansas (SEC),13,9-4,902,5742,6.37,48,441.7
Tulsa (AAC),13,7-6,960,5740,5.98,38,441.5
Mississippi St. (SEC),13,7-6,974,5739,5.89,47,441.5
App State (Sun Belt),14,10-4,980,6178,6.3,55,441.3
UCLA (Pac-12),12,8-4,854,5295,6.2,54,441.2
Maryland (Big Ten),13,7-6,928,5733,6.18,47,441.0
Purdue (Big Ten),13,9-4,967,5715,5.91,42,439.6
UTSA (C-USA),14,12-2,1003,6146,6.13,57,439.0
Liberty (FBS Independent),13,8-5,889,5670,6.38,59,436.2
TCU (Big 12),12,5-7,783,5230,6.68,40,435.8
Toledo (MAC),13,7-6,860,5658,6.58,51,435.2
Memphis (AAC),12,6-6,861,5219,6.06,44,434.9
East Carolina (AAC),12,7-5,899,5200,5.78,41,433.3
Utah (Pac-12),14,10-4,946,6035,6.38,61,431.1
North Texas (C-USA),13,6-7,1033,5597,5.42,44,430.5
Michigan St. (Big Ten),13,11-2,879,5581,6.35,50,429.3
Oregon St. (Pac-12),13,7-6,868,5581,6.43,52,429.3
NIU (MAC),14,9-5,1004,6002,5.98,51,428.7
Notre Dame (FBS Independent),13,11-2,903,5541,6.14,53,426.2
Kentucky (SEC),13,10-3,862,5528,6.41,51,425.2
Texas (Big 12),12,5-7,803,5093,6.34,54,424.4
Nevada (Mountain West),13,8-5,909,5514,6.07,51,424.2
Iowa St. (Big 12),13,7-6,857,5511,6.43,47,423.9
Oregon (Pac-12),14,10-4,946,5931,6.27,56,423.6
Air Force (Mountain West),13,10-3,947,5502,5.81,52,423.2
Miami (OH) (MAC),13,7-6,879,5500,6.26,47,423.1
Baylor (Big 12),14,12-2,937,5918,6.32,53,422.7
Duke (ACC),12,3-9,934,5011,5.37,31,417.6
Oklahoma St. (Big 12),14,12-2,1067,5843,5.48,50,417.4
Texas Tech (Big 12),13,7-6,824,5412,6.57,48,416.3
Colorado St. (Mountain West),12,3-9,911,4989,5.48,29,415.8
Cincinnati (AAC),14,13-1,862,5803,6.73,67,414.5
NC State (ACC),12,9-3,815,4973,6.1,46,414.4
Houston (AAC),14,12-2,977,5787,5.92,59,413.4
