Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Air Force (Mountain West),13,10-3,834,4260,5.11,44,327.7
Army West Point (FBS Independent),13,9-4,758,3648,4.81,46,280.6
Kent St. (MAC),14,7-7,647,3481,5.38,36,248.6
NIU (MAC),14,9-5,649,3379,5.21,36,241.4
North Texas (C-USA),13,6-7,639,3035,4.75,32,233.5
Coastal Carolina (Sun Belt),13,11-2,509,2974,5.84,36,228.8
Arkansas (SEC),13,9-4,588,2961,5.04,26,227.8
Georgia St. (Sun Belt),13,8-5,585,2943,5.03,25,226.4
Navy (AAC),12,4-8,694,2706,3.9,19,225.5
Baylor (Big 12),14,12-2,572,3070,5.37,29,219.3
Tennessee (SEC),13,7-6,577,2832,4.91,30,217.8
Ole Miss (SEC),13,10-3,588,2829,4.81,33,217.6
Utah (Pac-12),14,10-4,545,3035,5.57,37,216.8
UCLA (Pac-12),12,8-4,519,2581,4.97,31,215.1
Michigan (Big Ten),14,12-2,574,3001,5.23,39,214.4
Syracuse (ACC),12,5-7,491,2562,5.22,28,213.5
Western Mich. (MAC),13,8-5,590,2766,4.69,31,212.8
North Carolina (ACC),13,6-7,513,2764,5.39,30,212.6
Oregon St. (Pac-12),13,7-6,521,2761,5.3,33,212.4
Wyoming (Mountain West),13,7-6,543,2752,5.07,24,211.7
Wisconsin (Big Ten),13,9-4,567,2742,4.84,26,210.9
Louisville (ACC),13,6-7,505,2728,5.4,29,209.8
Florida (SEC),13,6-7,495,2713,5.48,26,208.7
Oregon (Pac-12),14,10-4,536,2833,5.29,36,202.4
Kentucky (SEC),13,10-3,496,2594,5.23,27,199.5
Texas (Big 12),12,5-7,457,2388,5.23,25,199.0
Minnesota (Big Ten),13,9-4,601,2575,4.28,27,198.1
UCF (AAC),13,9-4,476,2552,5.36,27,196.3
TCU (Big 12),12,5-7,473,2355,4.98,21,196.2
Toledo (MAC),13,7-6,470,2550,5.43,29,196.2
Buffalo (MAC),12,4-8,538,2343,4.36,30,195.2
Ga. Southern (Sun Belt),12,3-9,536,2322,4.33,22,193.5
App State (Sun Belt),14,10-4,567,2691,4.75,26,192.2
Tulsa (AAC),13,7-6,549,2496,4.55,20,192.0
Arizona St. (Pac-12),13,8-5,494,2488,5.04,34,191.4
Georgia (SEC),15,14-1,545,2864,5.26,29,190.9
BYU (FBS Independent),13,10-3,479,2451,5.12,30,188.5
Oklahoma (Big 12),13,11-2,448,2438,5.44,29,187.5
Ohio (MAC),12,3-9,434,2248,5.18,20,187.3
Louisiana (Sun Belt),14,13-1,565,2619,4.64,34,187.1
Oklahoma St. (Big 12),14,12-2,620,2597,4.19,27,185.5
Virginia Tech (ACC),13,6-7,530,2400,4.53,16,184.6
UTSA (C-USA),14,12-2,556,2569,4.62,26,183.5
Texas A&M (SEC),12,8-4,418,2196,5.25,17,183.0
Nebraska (Big Ten),12,3-9,490,2174,4.44,31,181.2
Liberty (FBS Independent),13,8-5,508,2350,4.63,26,180.8
Ohio St. (Big Ten),13,11-2,423,2348,5.55,24,180.6
UAB (C-USA),13,9-4,513,2342,4.57,27,180.2
Missouri (SEC),13,6-7,463,2337,5.05,22,179.8
Duke (ACC),12,3-9,524,2156,4.11,22,179.7
Central Mich. (MAC),13,9-4,520,2314,4.45,18,178.0
Florida St. (ACC),12,5-7,446,2134,4.78,21,177.8
Michigan St. (Big Ten),13,11-2,479,2283,4.77,23,175.6
San Diego St. (Mountain West),14,12-2,572,2440,4.27,26,174.3
Illinois (Big Ten),12,5-7,468,2083,4.45,12,173.6
Cincinnati (AAC),14,13-1,462,2426,5.25,34,173.3
Georgia Tech (ACC),12,3-9,444,2028,4.57,15,169.0
Clemson (ACC),13,10-3,489,2183,4.46,26,167.9
Boston College (ACC),12,6-6,479,1983,4.14,21,165.2
Tulane (AAC),12,2-10,447,1977,4.42,19,164.8
California (Pac-12),12,5-7,402,1971,4.9,17,164.2
Colorado St. (Mountain West),12,3-9,515,1969,3.82,14,164.1
East Carolina (AAC),12,7-5,475,1951,4.11,20,162.6
Kansas St. (Big 12),13,8-5,437,2111,4.83,29,162.4
Marshall (C-USA),13,7-6,449,2111,4.7,38,162.4
Auburn (SEC),13,6-7,444,2099,4.73,22,161.5
SMU (AAC),12,8-4,422,1937,4.59,20,161.4
Wake Forest (ACC),14,11-3,565,2247,3.98,31,160.5
Iowa St. (Big 12),13,7-6,411,2081,5.06,25,160.1
Texas Tech (Big 12),13,7-6,436,2068,4.74,30,159.1
South Fla. (AAC),12,2-10,487,1902,3.91,25,158.5
Old Dominion (C-USA),13,6-7,494,2058,4.17,22,158.3
Fla. Atlantic (C-USA),12,5-7,449,1816,4.04,18,151.3
Rice (C-USA),12,4-8,474,1804,3.81,19,150.3
Alabama (SEC),15,13-2,548,2250,4.11,21,150.0
Charlotte (C-USA),12,5-7,430,1795,4.17,13,149.6
Pittsburgh (ACC),14,11-3,525,2089,3.98,26,149.2
Texas St. (Sun Belt),12,4-8,443,1790,4.04,17,149.2
Massachusetts (FBS Independent),12,1-11,415,1772,4.27,14,147.7
Southern California (Pac-12),12,4-8,401,1747,4.36,16,145.6
Miami (OH) (MAC),13,7-6,452,1878,4.15,15,144.5
Northwestern (Big Ten),12,3-9,452,1731,3.83,12,144.2
Notre Dame (FBS Independent),13,11-2,452,1869,4.13,23,143.8
Hawaii (Mountain West),13,6-7,431,1857,4.31,22,142.8
Utah St. (Mountain West),14,11-3,564,1990,3.53,13,142.1
Houston (AAC),14,12-2,518,1985,3.83,27,141.8
UTEP (C-USA),13,7-6,481,1819,3.78,18,139.9
Kansas (Big 12),12,2-10,435,1672,3.84,15,139.3
Rutgers (Big Ten),13,5-8,500,1803,3.61,20,138.7
Fresno St. (Mountain West),13,10-3,439,1796,4.09,17,138.2
Maryland (Big Ten),13,7-6,439,1773,4.04,20,136.4
Memphis (AAC),12,6-6,416,1634,3.93,18,136.2
South Carolina (SEC),13,7-6,468,1763,3.77,9,135.6
Ball St. (MAC),13,6-7,444,1699,3.83,17,130.7
ULM (Sun Belt),12,4-8,500,1559,3.12,13,129.9
Arizona (Pac-12),12,1-11,426,1555,3.65,6,129.6
Miami (FL) (ACC),12,7-5,415,1532,3.69,20,127.7
Colorado (Pac-12),12,4-8,438,1514,3.46,12,126.2
NC State (ACC),12,9-3,372,1512,4.06,11,126.0
Middle Tenn. (C-USA),13,7-6,456,1609,3.53,15,123.8
Iowa (Big Ten),14,10-4,507,1731,3.41,18,123.6
West Virginia (Big 12),13,6-7,452,1604,3.55,19,123.4
Akron (MAC),12,2-10,431,1479,3.43,8,123.2
Vanderbilt (SEC),12,2-10,423,1479,3.5,8,123.2
Virginia (ACC),12,6-6,339,1478,4.36,21,123.2
Louisiana Tech (C-USA),12,3-9,416,1461,3.51,16,121.8
Washington St. (Pac-12),13,7-6,404,1577,3.9,19,121.3
New Mexico (Mountain West),12,3-9,464,1450,3.12,5,120.8
Southern Miss. (C-USA),12,3-9,465,1449,3.12,8,120.8
Boise St. (Mountain West),12,7-5,461,1445,3.13,15,120.4
San Jose St. (Mountain West),12,5-7,352,1445,4.11,12,120.4
Eastern Mich. (MAC),13,7-6,455,1533,3.37,26,117.9
Indiana (Big Ten),12,2-10,428,1374,3.21,13,114.5
LSU (SEC),13,6-7,445,1482,3.33,9,114.0
South Alabama (Sun Belt),12,5-7,439,1337,3.05,15,111.4
UNLV (Mountain West),12,2-10,395,1317,3.33,18,109.8
Temple (AAC),12,3-9,359,1312,3.65,12,109.3
Penn St. (Big Ten),13,7-6,437,1402,3.21,11,107.8
FIU (C-USA),12,1-11,371,1225,3.3,11,102.1
Bowling Green (MAC),12,4-8,370,1224,3.31,15,102.0
Western Ky. (C-USA),14,9-5,347,1422,4.1,13,101.6
UConn (FBS Independent),12,1-11,378,1210,3.2,8,100.8
