Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Utah St. (Mountain West),14,11-3,5,21,0.238
Pittsburgh (ACC),14,11-3,7,26,0.269
Kentucky (SEC),13,10-3,5,18,0.278
Oklahoma St. (Big 12),14,12-2,8,27,0.296
Nebraska (Big Ten),12,3-9,6,20,0.3
Wyoming (Mountain West),13,7-6,8,25,0.32
Fresno St. (Mountain West),13,10-3,7,20,0.35
Texas A&M (SEC),12,8-4,6,17,0.353
ULM (Sun Belt),12,4-8,12,34,0.353
Army West Point (FBS Independent),13,9-4,11,31,0.355
Purdue (Big Ten),13,9-4,8,22,0.364
Minnesota (Big Ten),13,9-4,7,19,0.368
Auburn (SEC),13,6-7,10,27,0.37
App State (Sun Belt),14,10-4,9,24,0.375
Wake Forest (ACC),14,11-3,9,24,0.375
Hawaii (Mountain West),13,6-7,8,21,0.381
Oregon St. (Pac-12),13,7-6,8,21,0.381
Air Force (Mountain West),13,10-3,10,25,0.4
Boise St. (Mountain West),12,7-5,6,15,0.4
Bowling Green (MAC),12,4-8,10,25,0.4
Louisiana Tech (C-USA),12,3-9,10,25,0.4
Mississippi St. (SEC),13,7-6,6,15,0.4
UCLA (Pac-12),12,8-4,10,25,0.4
West Virginia (Big 12),13,6-7,10,25,0.4
Georgia (SEC),15,14-1,13,32,0.406
Wisconsin (Big Ten),13,9-4,11,27,0.407
Florida (SEC),13,6-7,9,22,0.409
NIU (MAC),14,9-5,12,29,0.414
Old Dominion (C-USA),13,6-7,12,29,0.414
Clemson (ACC),13,10-3,10,24,0.417
Colorado (Pac-12),12,4-8,8,19,0.421
Ga. Southern (Sun Belt),12,3-9,8,19,0.421
Iowa St. (Big 12),13,7-6,8,19,0.421
Rutgers (Big Ten),13,5-8,8,19,0.421
Southern Miss. (C-USA),12,3-9,6,14,0.429
Houston (AAC),14,12-2,13,30,0.433
SMU (AAC),12,8-4,13,30,0.433
Washington St. (Pac-12),13,7-6,10,23,0.435
Central Mich. (MAC),13,9-4,14,32,0.438
Western Ky. (C-USA),14,9-5,18,41,0.439
Maryland (Big Ten),13,7-6,11,25,0.44
Iowa (Big Ten),14,10-4,12,27,0.444
Coastal Carolina (Sun Belt),13,11-2,13,29,0.448
NC State (ACC),12,9-3,9,20,0.45
Miami (FL) (ACC),12,7-5,10,22,0.455
Boston College (ACC),12,6-6,11,24,0.458
Toledo (MAC),13,7-6,11,24,0.458
Marshall (C-USA),13,7-6,16,34,0.471
Eastern Mich. (MAC),13,7-6,10,21,0.476
Ohio St. (Big Ten),13,11-2,10,21,0.476
Florida St. (ACC),12,5-7,11,23,0.478
Tulsa (AAC),13,7-6,11,23,0.478
UCF (AAC),13,9-4,14,29,0.483
Ole Miss (SEC),13,10-3,17,35,0.486
Arizona (Pac-12),12,1-11,4,8,0.5
Arizona St. (Pac-12),13,8-5,13,26,0.5
California (Pac-12),12,5-7,6,12,0.5
Liberty (FBS Independent),13,8-5,15,30,0.5
Michigan (Big Ten),14,12-2,16,32,0.5
San Diego St. (Mountain West),14,12-2,12,24,0.5
South Carolina (SEC),13,7-6,5,10,0.5
UTEP (C-USA),13,7-6,16,32,0.5
Louisiana (Sun Belt),14,13-1,21,41,0.512
Cincinnati (AAC),14,13-1,19,37,0.514
Tennessee (SEC),13,7-6,19,37,0.514
Utah (Pac-12),14,10-4,17,33,0.515
Georgia St. (Sun Belt),13,8-5,15,29,0.517
Nevada (Mountain West),13,8-5,15,29,0.517
Middle Tenn. (C-USA),13,7-6,14,27,0.519
UAB (C-USA),13,9-4,14,27,0.519
Louisville (ACC),13,6-7,12,23,0.522
Ball St. (MAC),13,6-7,11,21,0.524
Miami (OH) (MAC),13,7-6,11,21,0.524
UNLV (Mountain West),12,2-10,11,21,0.524
UTSA (C-USA),14,12-2,11,21,0.524
Syracuse (ACC),12,5-7,10,19,0.526
New Mexico St. (FBS Independent),12,2-10,8,15,0.533
