Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Wisconsin (Big Ten),13,9-4,746,3108,4.17,19,25,239.1
Georgia (SEC),15,14-1,970,4034,4.16,13,16,268.9
Minnesota (Big Ten),13,9-4,745,3624,4.86,26,28,278.8
Air Force (Mountain West),13,10-3,737,3855,5.23,33,34,296.5
Oklahoma St. (Big 12),14,12-2,908,4170,4.59,26,30,297.9
Houston (AAC),14,12-2,856,4217,4.93,31,36,301.2
Alabama (SEC),15,13-2,956,4561,4.77,34,36,304.1
Clemson (ACC),13,10-3,895,4033,4.51,19,22,310.2
Iowa St. (Big 12),13,7-6,798,4039,5.06,30,34,310.7
Cincinnati (AAC),14,13-1,996,4457,4.47,27,28,318.4
Liberty (FBS Independent),13,8-5,874,4163,4.76,33,35,320.2
San Diego St. (Mountain West),14,12-2,960,4541,4.73,32,34,324.4
Arizona St. (Pac-12),13,8-5,853,4238,4.97,31,31,326.0
Texas A&M (SEC),12,8-4,844,3930,4.66,19,21,327.5
Army West Point (FBS Independent),13,9-4,739,4269,5.78,34,37,328.4
UAB (C-USA),13,9-4,851,4274,5.02,40,41,328.8
Iowa (Big Ten),14,10-4,976,4604,4.72,31,31,328.9
Western Mich. (MAC),13,8-5,741,4283,5.78,40,46,329.5
Syracuse (ACC),12,5-7,776,3964,5.11,34,37,330.3
Michigan (Big Ten),14,12-2,939,4631,4.93,28,28,330.8
NC State (ACC),12,9-3,804,3979,4.95,28,29,331.6
Louisiana (Sun Belt),14,13-1,949,4684,4.94,33,33,334.6
Washington (Pac-12),12,4-8,806,4043,5.02,27,30,336.9
Troy (Sun Belt),12,5-7,799,4055,5.08,34,38,337.9
Coastal Carolina (Sun Belt),13,11-2,836,4412,5.28,36,36,339.4
Kentucky (SEC),13,10-3,804,4421,5.5,32,34,340.1
Utah (Pac-12),14,10-4,912,4783,5.24,33,38,341.6
Boston College (ACC),12,6-6,760,4131,5.44,29,32,344.2
Kansas St. (Big 12),13,8-5,835,4481,5.37,29,31,344.7
Mississippi St. (SEC),13,7-6,807,4482,5.55,36,41,344.8
Baylor (Big 12),14,12-2,940,4843,5.15,29,29,345.9
Fresno St. (Mountain West),13,10-3,858,4512,5.26,32,32,347.1
App State (Sun Belt),14,10-4,923,4868,5.27,36,37,347.7
Navy (AAC),12,4-8,699,4183,5.98,40,43,348.6
UTEP (C-USA),13,7-6,868,4542,5.23,38,40,349.4
Toledo (MAC),13,7-6,933,4546,4.87,28,29,349.7
West Virginia (Big 12),13,6-7,820,4551,5.55,32,36,350.1
Penn St. (Big Ten),13,7-6,965,4583,4.75,23,24,352.5
Pittsburgh (ACC),14,11-3,977,4950,5.07,41,43,353.6
South Alabama (Sun Belt),12,5-7,787,4256,5.41,34,40,354.7
South Carolina (SEC),13,7-6,821,4625,5.63,34,36,355.8
Southern Miss. (C-USA),12,3-9,742,4302,5.8,31,42,358.5
Notre Dame (FBS Independent),13,11-2,888,4674,5.26,26,28,359.5
New Mexico (Mountain West),12,3-9,815,4357,5.35,36,39,363.1
Boise St. (Mountain West),12,7-5,801,4373,5.46,26,26,364.4
Illinois (Big Ten),12,5-7,841,4387,5.22,28,30,365.6
Nebraska (Big Ten),12,3-9,828,4392,5.3,26,31,366.0
Purdue (Big Ten),13,9-4,857,4766,5.56,36,36,366.6
California (Pac-12),12,5-7,829,4400,5.31,33,33,366.7
Arkansas (SEC),13,9-4,884,4780,5.41,33,35,367.7
Florida (SEC),13,6-7,873,4782,5.48,38,43,367.8
Miami (OH) (MAC),13,7-6,866,4794,5.54,39,39,368.8
UCF (AAC),13,9-4,945,4801,5.08,36,40,369.3
San Jose St. (Mountain West),12,5-7,868,4440,5.12,32,36,370.0
Wyoming (Mountain West),13,7-6,892,4815,5.4,38,38,370.4
Tulsa (AAC),13,7-6,885,4821,5.45,34,42,370.8
Arizona (Pac-12),12,1-11,756,4452,5.89,42,48,371.0
UTSA (C-USA),14,12-2,924,5218,5.65,42,44,372.7
Middle Tenn. (C-USA),13,7-6,940,4848,5.16,40,42,372.9
Ohio St. (Big Ten),13,11-2,909,4848,5.33,38,39,372.9
Auburn (SEC),13,6-7,919,4860,5.29,31,32,373.8
Bowling Green (MAC),12,4-8,848,4487,5.29,45,47,373.9
Washington St. (Pac-12),13,7-6,889,4905,5.52,36,38,377.3
Colorado St. (Mountain West),12,3-9,829,4528,5.46,41,43,377.3
LSU (SEC),13,6-7,891,4908,5.51,45,46,377.5
Florida St. (ACC),12,5-7,875,4533,5.18,40,41,377.8
Central Mich. (MAC),13,9-4,889,4963,5.58,40,42,381.8
North Texas (C-USA),13,6-7,875,4977,5.69,43,46,382.8
Old Dominion (C-USA),13,6-7,940,4994,5.31,40,44,384.2
UCLA (Pac-12),12,8-4,842,4613,5.48,39,39,384.4
Indiana (Big Ten),12,2-10,818,4615,5.64,47,51,384.6
Oregon (Pac-12),14,10-4,989,5398,5.46,46,48,385.6
Oregon St. (Pac-12),13,7-6,883,5036,5.7,41,41,387.4
BYU (FBS Independent),13,10-3,881,5047,5.73,38,38,388.2
Miami (FL) (ACC),12,7-5,865,4675,5.4,37,40,389.6
Oklahoma (Big 12),13,11-2,887,5080,5.73,41,43,390.8
Utah St. (Mountain West),14,11-3,947,5498,5.81,36,39,392.7
Virginia Tech (ACC),13,6-7,872,5113,5.86,40,42,393.3
Marshall (C-USA),13,7-6,1004,5122,5.1,36,39,394.0
East Carolina (AAC),12,7-5,790,4737,6.0,37,41,394.8
Rutgers (Big Ten),13,5-8,865,5154,5.96,41,43,396.5
Temple (AAC),12,3-9,860,4780,5.56,58,59,398.3
Georgia St. (Sun Belt),13,8-5,962,5241,5.45,40,43,403.2
Louisville (ACC),13,6-7,903,5243,5.81,43,43,403.3
Maryland (Big Ten),13,7-6,910,5256,5.78,46,50,404.3
Texas Tech (Big 12),13,7-6,898,5265,5.86,47,50,405.0
Nevada (Mountain West),13,8-5,952,5285,5.55,42,43,406.5
UNLV (Mountain West),12,2-10,799,4901,6.13,45,49,408.4
Southern California (Pac-12),12,4-8,767,4907,6.4,48,52,408.9
Fla. Atlantic (C-USA),12,5-7,842,4910,5.83,36,39,409.2
Wake Forest (ACC),14,11-3,988,5786,5.86,49,51,413.3
SMU (AAC),12,8-4,841,4978,5.92,42,44,414.8
Buffalo (MAC),12,4-8,788,4986,6.33,47,47,415.5
North Carolina (ACC),13,6-7,889,5434,6.11,50,52,418.0
Memphis (AAC),12,6-6,926,5018,5.42,44,44,418.2
Ball St. (MAC),13,6-7,925,5452,5.89,39,44,419.4
Ole Miss (SEC),13,10-3,992,5468,5.51,39,40,420.6
Colorado (Pac-12),12,4-8,834,5051,6.06,39,40,420.9
Tennessee (SEC),13,7-6,1010,5482,5.43,47,48,421.7
Texas (Big 12),12,5-7,847,5107,6.03,42,44,425.6
Northwestern (Big Ten),12,3-9,839,5154,6.14,42,43,429.5
Tulane (AAC),12,2-10,888,5156,5.81,53,53,429.7
Texas St. (Sun Belt),12,4-8,891,5165,5.8,47,50,430.4
Ohio (MAC),12,3-9,865,5170,5.98,42,42,430.8
Missouri (SEC),13,6-7,886,5644,6.37,57,57,434.2
Louisiana Tech (C-USA),12,3-9,854,5212,6.1,50,53,434.3
Eastern Mich. (MAC),13,7-6,901,5661,6.28,46,50,435.5
Rice (C-USA),12,4-8,782,5226,6.68,53,57,435.5
Western Ky. (C-USA),14,9-5,1083,6101,5.63,51,53,435.8
Ga. Southern (Sun Belt),12,3-9,823,5302,6.44,45,48,441.8
Michigan St. (Big Ten),13,11-2,1025,5745,5.6,37,39,441.9
ULM (Sun Belt),12,4-8,869,5314,6.12,51,53,442.8
Hawaii (Mountain West),13,6-7,1008,5802,5.76,48,51,446.3
Stanford (Pac-12),12,3-9,835,5415,6.49,48,50,451.2
NIU (MAC),14,9-5,925,6334,6.85,60,61,452.4
UConn (FBS Independent),12,1-11,916,5439,5.94,57,59,453.2
Georgia Tech (ACC),12,3-9,826,5463,6.61,47,50,455.2
Vanderbilt (SEC),12,2-10,812,5492,6.76,51,54,457.7
TCU (Big 12),12,5-7,768,5541,7.21,54,55,461.8
Charlotte (C-USA),12,5-7,781,5580,7.14,54,55,465.0
Virginia (ACC),12,6-6,844,5592,6.63,47,48,466.0
Akron (MAC),12,2-10,783,5628,7.19,58,62,469.0
South Fla. (AAC),12,2-10,809,5647,6.98,54,55,470.6
Kent St. (MAC),14,7-7,1066,6601,6.19,63,65,471.5
Massachusetts (FBS Independent),12,1-11,794,5820,7.33,67,70,485.0
Kansas (Big 12),12,2-10,810,5841,7.21,67,68,486.8
New Mexico St. (FBS Independent),12,2-10,797,5862,7.36,58,64,488.5
FIU (C-USA),12,1-11,882,5896,6.68,58,62,491.3
Arkansas St. (Sun Belt),12,2-10,840,6069,7.22,58,62,505.8
Duke (ACC),12,3-9,873,6215,7.12,58,60,517.9
