Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Georgia (SEC),15,14-1,32,3,6,11,20,0.625
Clemson (ACC),13,10-3,31,4,6,10,20,0.645
Penn St. (Big Ten),13,7-6,48,12,6,14,32,0.667
Cincinnati (AAC),14,13-1,42,13,10,6,29,0.69
West Virginia (Big 12),13,6-7,50,12,9,14,35,0.7
Southern Miss. (C-USA),12,3-9,37,11,8,7,26,0.703
Florida St. (ACC),12,5-7,34,13,8,3,24,0.706
Texas A&M (SEC),12,8-4,31,5,7,10,22,0.71
Fla. Atlantic (C-USA),12,5-7,49,12,14,9,35,0.714
Washington St. (Pac-12),13,7-6,50,18,10,8,36,0.72
Liberty (FBS Independent),13,8-5,40,14,8,7,29,0.725
Iowa St. (Big 12),13,7-6,33,10,9,5,24,0.727
Arkansas (SEC),13,9-4,37,13,5,9,27,0.73
Buffalo (MAC),12,4-8,49,18,10,8,36,0.735
Houston (AAC),14,12-2,34,6,9,10,25,0.735
Miami (OH) (MAC),13,7-6,34,9,10,6,25,0.735
Air Force (Mountain West),13,10-3,35,15,6,5,26,0.743
Colorado (Pac-12),12,4-8,43,19,7,6,32,0.744
Marshall (C-USA),13,7-6,43,14,11,7,32,0.744
UTEP (C-USA),13,7-6,55,20,10,11,41,0.745
California (Pac-12),12,5-7,40,12,11,7,30,0.75
Wisconsin (Big Ten),13,9-4,32,10,5,9,24,0.75
App State (Sun Belt),14,10-4,45,13,9,12,34,0.756
Purdue (Big Ten),13,9-4,45,14,10,10,34,0.756
South Alabama (Sun Belt),12,5-7,41,17,7,7,31,0.756
SMU (AAC),12,8-4,50,12,17,9,38,0.76
Vanderbilt (SEC),12,2-10,63,20,17,11,48,0.762
Virginia (ACC),12,6-6,51,13,13,13,39,0.765
Pittsburgh (ACC),14,11-3,47,14,14,8,36,0.766
Boston College (ACC),12,6-6,39,12,10,8,30,0.769
Michigan (Big Ten),14,12-2,35,7,9,11,27,0.771
Coastal Carolina (Sun Belt),13,11-2,40,16,9,6,31,0.775
Navy (AAC),12,4-8,45,21,5,9,35,0.778
Washington (Pac-12),12,4-8,45,18,4,13,35,0.778
East Carolina (AAC),12,7-5,41,14,11,7,32,0.78
Georgia St. (Sun Belt),13,8-5,41,15,8,9,32,0.78
Rutgers (Big Ten),13,5-8,41,12,11,9,32,0.78
Charlotte (C-USA),12,5-7,46,20,10,6,36,0.783
Notre Dame (FBS Independent),13,11-2,47,9,9,19,37,0.787
Utah (Pac-12),14,10-4,47,9,15,13,37,0.787
Boise St. (Mountain West),12,7-5,38,11,6,13,30,0.789
North Texas (C-USA),13,6-7,39,12,9,10,31,0.795
Louisiana (Sun Belt),14,13-1,35,13,8,7,28,0.8
New Mexico St. (FBS Independent),12,2-10,55,18,17,9,44,0.8
Toledo (MAC),13,7-6,45,8,12,16,36,0.8
UTSA (C-USA),14,12-2,45,14,11,11,36,0.8
Maryland (Big Ten),13,7-6,56,21,11,13,45,0.804
UNLV (Mountain West),12,2-10,56,17,13,15,45,0.804
Utah St. (Mountain West),14,11-3,51,11,12,18,41,0.804
Wake Forest (ACC),14,11-3,51,20,11,10,41,0.804
ULM (Sun Belt),12,4-8,46,15,16,6,37,0.804
Ole Miss (SEC),13,10-3,52,21,11,10,42,0.808
UCF (AAC),13,9-4,52,22,7,13,42,0.808
Southern California (Pac-12),12,4-8,47,23,11,4,38,0.809
Michigan St. (Big Ten),13,11-2,53,9,17,17,43,0.811
Hawaii (Mountain West),13,6-7,48,15,11,13,39,0.812
Oregon St. (Pac-12),13,7-6,54,18,14,12,44,0.815
Auburn (SEC),13,6-7,49,7,18,15,40,0.816
NIU (MAC),14,9-5,49,22,12,6,40,0.816
Texas St. (Sun Belt),12,4-8,50,16,14,11,41,0.82
Nebraska (Big Ten),12,3-9,34,8,9,11,28,0.824
Northwestern (Big Ten),12,3-9,52,22,7,14,43,0.827
South Fla. (AAC),12,2-10,52,20,13,10,43,0.827
Western Ky. (C-USA),14,9-5,52,24,7,12,43,0.827
Arkansas St. (Sun Belt),12,2-10,41,16,12,6,34,0.829
Baylor (Big 12),14,12-2,41,14,8,12,34,0.829
Colorado St. (Mountain West),12,3-9,42,15,10,10,35,0.833
Memphis (AAC),12,6-6,49,18,11,12,41,0.837
Illinois (Big Ten),12,5-7,43,13,7,16,36,0.837
NC State (ACC),12,9-3,31,7,12,7,26,0.839
BYU (FBS Independent),13,10-3,50,20,9,13,42,0.84
Florida (SEC),13,6-7,44,16,8,13,37,0.841
Tulsa (AAC),13,7-6,38,16,8,8,32,0.842
North Carolina (ACC),13,6-7,51,17,11,15,43,0.843
Kent St. (MAC),14,7-7,64,28,11,15,54,0.844
Arizona St. (Pac-12),13,8-5,46,16,10,13,39,0.848
Fresno St. (Mountain West),13,10-3,46,14,10,15,39,0.848
San Jose St. (Mountain West),12,5-7,46,9,14,16,39,0.848
Alabama (SEC),15,13-2,40,8,14,12,34,0.85
Oklahoma (Big 12),13,11-2,47,14,15,11,40,0.851
Old Dominion (C-USA),13,6-7,47,11,14,15,40,0.851
Minnesota (Big Ten),13,9-4,27,10,6,7,23,0.852
Massachusetts (FBS Independent),12,1-11,61,31,15,6,52,0.852
Ohio (MAC),12,3-9,61,23,11,18,52,0.852
Central Mich. (MAC),13,9-4,41,16,9,10,35,0.854
LSU (SEC),13,6-7,41,15,15,5,35,0.854
Stanford (Pac-12),12,3-9,55,26,9,12,47,0.855
Middle Tenn. (C-USA),13,7-6,42,13,16,7,36,0.857
Ohio St. (Big Ten),13,11-2,42,15,16,5,36,0.857
Rice (C-USA),12,4-8,58,25,16,9,50,0.862
Texas (Big 12),12,5-7,51,18,11,15,44,0.863
Mississippi St. (SEC),13,7-6,37,13,9,10,32,0.865
Temple (AAC),12,3-9,60,28,16,8,52,0.867
Wyoming (Mountain West),13,7-6,45,16,12,11,39,0.867
Oregon (Pac-12),14,10-4,61,23,19,11,53,0.869
Syracuse (ACC),12,5-7,46,11,12,17,40,0.87
San Diego St. (Mountain West),14,12-2,39,6,19,9,34,0.872
Oklahoma St. (Big 12),14,12-2,32,7,11,10,28,0.875
UAB (C-USA),13,9-4,40,15,16,4,35,0.875
Virginia Tech (ACC),13,6-7,40,17,9,9,35,0.875
Western Mich. (MAC),13,8-5,40,10,10,15,35,0.875
Texas Tech (Big 12),13,7-6,50,15,18,11,44,0.88
Georgia Tech (ACC),12,3-9,51,14,17,14,45,0.882
Nevada (Mountain West),13,8-5,44,18,13,8,39,0.886
Ball St. (MAC),13,6-7,45,18,8,14,40,0.889
FIU (C-USA),12,1-11,54,22,14,12,48,0.889
South Carolina (SEC),13,7-6,37,11,7,15,33,0.892
Kentucky (SEC),13,10-3,38,10,15,9,34,0.895
Eastern Mich. (MAC),13,7-6,39,20,6,9,35,0.897
Louisville (ACC),13,6-7,49,19,13,12,44,0.898
New Mexico (Mountain West),12,3-9,40,16,7,13,36,0.9
TCU (Big 12),12,5-7,51,27,9,10,46,0.902
Tulane (AAC),12,2-10,51,20,18,8,46,0.902
Louisiana Tech (C-USA),12,3-9,52,20,17,10,47,0.904
Iowa (Big Ten),14,10-4,43,14,10,15,39,0.907
Indiana (Big Ten),12,2-10,55,20,19,11,50,0.909
Troy (Sun Belt),12,5-7,33,10,10,10,30,0.909
Kansas (Big 12),12,2-10,58,31,16,6,53,0.914
Bowling Green (MAC),12,4-8,49,28,8,9,45,0.918
Tennessee (SEC),13,7-6,50,22,14,10,46,0.92
Ga. Southern (Sun Belt),12,3-9,41,14,14,10,38,0.927
Kansas St. (Big 12),13,8-5,41,12,14,12,38,0.927
Duke (ACC),12,3-9,55,20,17,14,51,0.927
UCLA (Pac-12),12,8-4,43,20,7,13,40,0.93
Army West Point (FBS Independent),13,9-4,31,15,7,7,29,0.935
Akron (MAC),12,2-10,51,23,13,12,48,0.941
Missouri (SEC),13,6-7,54,26,15,10,51,0.944
UConn (FBS Independent),12,1-11,54,24,14,13,51,0.944
Miami (FL) (ACC),12,7-5,39,10,13,14,37,0.949
Arizona (Pac-12),12,1-11,38,13,16,8,37,0.974
