Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Oklahoma (Big 12),13,11-2,62,22,25,13,60,0.968
Iowa St. (Big 12),13,7-6,49,18,15,14,47,0.959
Colorado (Pac-12),12,4-8,33,12,8,11,31,0.939
Texas (Big 12),12,5-7,47,19,16,9,44,0.936
Alabama (SEC),15,13-2,68,20,26,17,63,0.926
Wake Forest (ACC),14,11-3,67,26,19,17,62,0.925
Boise St. (Mountain West),12,7-5,53,15,14,20,49,0.925
Nevada (Mountain West),13,8-5,51,12,23,12,47,0.922
Washington (Pac-12),12,4-8,38,15,9,11,35,0.921
Texas Tech (Big 12),13,7-6,50,26,9,11,46,0.92
Ohio St. (Big Ten),13,11-2,59,17,21,16,54,0.915
NIU (MAC),14,9-5,56,25,7,19,51,0.911
Western Ky. (C-USA),14,9-5,77,12,40,18,70,0.909
NC State (ACC),12,9-3,43,9,20,10,39,0.907
Florida St. (ACC),12,5-7,42,16,15,7,38,0.905
UTSA (C-USA),14,12-2,63,20,19,18,57,0.905
Southern California (Pac-12),12,4-8,51,16,12,18,46,0.902
Missouri (SEC),13,6-7,40,15,11,10,36,0.9
West Virginia (Big 12),13,6-7,50,17,16,12,45,0.9
North Carolina (ACC),13,6-7,49,19,9,16,44,0.898
Georgia St. (Sun Belt),13,8-5,39,16,10,9,35,0.897
UNLV (Mountain West),12,2-10,39,16,6,13,35,0.897
Coastal Carolina (Sun Belt),13,11-2,48,25,14,4,43,0.896
Michigan (Big Ten),14,12-2,67,31,10,19,60,0.896
BYU (FBS Independent),13,10-3,55,24,17,8,49,0.891
Houston (AAC),14,12-2,55,19,20,10,49,0.891
Arkansas (SEC),13,9-4,52,22,11,13,46,0.885
Pittsburgh (ACC),14,11-3,69,24,25,12,61,0.884
Texas A&M (SEC),12,8-4,43,11,11,16,38,0.884
Fresno St. (Mountain West),13,10-3,51,15,20,10,45,0.882
Stanford (Pac-12),12,3-9,34,11,12,7,30,0.882
Notre Dame (FBS Independent),13,11-2,50,17,16,11,44,0.88
UCLA (Pac-12),12,8-4,50,24,13,7,44,0.88
Baylor (Big 12),14,12-2,58,24,16,11,51,0.879
San Diego St. (Mountain West),14,12-2,49,22,10,11,43,0.878
Ball St. (MAC),13,6-7,40,14,10,11,35,0.875
Arkansas St. (Sun Belt),12,2-10,38,4,15,14,33,0.868
Oklahoma St. (Big 12),14,12-2,68,24,17,18,59,0.868
East Carolina (AAC),12,7-5,45,13,9,17,39,0.867
Louisville (ACC),13,6-7,45,21,9,9,39,0.867
App State (Sun Belt),14,10-4,52,18,12,15,45,0.865
Army West Point (FBS Independent),13,9-4,52,36,1,8,45,0.865
Navy (AAC),12,4-8,37,16,4,12,32,0.865
Wyoming (Mountain West),13,7-6,37,16,7,9,32,0.865
Florida (SEC),13,6-7,51,19,17,8,44,0.863
Texas St. (Sun Belt),12,4-8,36,15,7,9,31,0.861
Toledo (MAC),13,7-6,43,18,8,11,37,0.86
Buffalo (MAC),12,4-8,57,28,10,11,49,0.86
Purdue (Big Ten),13,9-4,57,6,21,22,49,0.86
Michigan St. (Big Ten),13,11-2,48,17,14,10,41,0.854
Kentucky (SEC),13,10-3,54,24,15,7,46,0.852
Miami (FL) (ACC),12,7-5,54,15,17,14,46,0.852
UTEP (C-USA),13,7-6,47,16,10,14,40,0.851
Virginia (ACC),12,6-6,60,18,20,13,51,0.85
Auburn (SEC),13,6-7,46,17,10,12,39,0.848
UAB (C-USA),13,9-4,46,21,9,9,39,0.848
Mississippi St. (SEC),13,7-6,58,9,27,13,49,0.845
Tennessee (SEC),13,7-6,58,26,13,10,49,0.845
UCF (AAC),13,9-4,58,23,19,7,49,0.845
