Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
Michigan (Big Ten),14,12-2,14,170,0,12.14
Kansas (Big 12),12,2-10,9,114,0,12.67
Georgia (SEC),15,14-1,15,195,0,13.0
Stanford (Pac-12),12,3-9,5,69,0,13.8
Penn St. (Big Ten),13,7-6,2,28,0,14.0
NIU (MAC),14,9-5,50,756,0,15.12
Duke (ACC),12,3-9,19,288,0,15.16
Kent St. (MAC),14,7-7,55,853,0,15.51
Ball St. (MAC),13,6-7,19,311,0,16.37
Missouri (SEC),13,6-7,5,82,0,16.4
Minnesota (Big Ten),13,9-4,18,300,0,16.67
Northwestern (Big Ten),12,3-9,25,426,0,17.04
Troy (Sun Belt),12,5-7,32,552,0,17.25
Iowa (Big Ten),14,10-4,12,208,0,17.33
Auburn (SEC),13,6-7,22,382,0,17.36
Louisiana (Sun Belt),14,13-1,41,720,0,17.56
Rutgers (Big Ten),13,5-8,19,334,0,17.58
Michigan St. (Big Ten),13,11-2,28,496,0,17.71
Buffalo (MAC),12,4-8,22,392,0,17.82
Ohio St. (Big Ten),13,11-2,40,713,1,17.82
Ohio (MAC),12,3-9,30,536,0,17.87
Toledo (MAC),13,7-6,36,649,0,18.03
Cincinnati (AAC),14,13-1,32,579,0,18.09
San Jose St. (Mountain West),12,5-7,22,400,0,18.18
South Carolina (SEC),13,7-6,25,456,0,18.24
Arkansas St. (Sun Belt),12,2-10,28,517,0,18.46
Western Ky. (C-USA),14,9-5,33,613,0,18.58
Texas Tech (Big 12),13,7-6,27,503,0,18.63
UAB (C-USA),13,9-4,28,522,0,18.64
Baylor (Big 12),14,12-2,6,112,0,18.67
Navy (AAC),12,4-8,37,693,2,18.73
Marshall (C-USA),13,7-6,37,697,1,18.84
Texas St. (Sun Belt),12,4-8,15,283,0,18.87
Memphis (AAC),12,6-6,23,435,0,18.91
Alabama (SEC),15,13-2,24,455,1,18.96
Boise St. (Mountain West),12,7-5,36,685,0,19.03
North Texas (C-USA),13,6-7,30,571,0,19.03
Middle Tenn. (C-USA),13,7-6,49,937,0,19.12
Wisconsin (Big Ten),13,9-4,31,594,1,19.16
Central Mich. (MAC),13,9-4,44,845,0,19.2
App State (Sun Belt),14,10-4,44,850,1,19.32
Charlotte (C-USA),12,5-7,12,234,0,19.5
Liberty (FBS Independent),13,8-5,18,351,0,19.5
Colorado St. (Mountain West),12,3-9,33,646,0,19.58
Arizona St. (Pac-12),13,8-5,17,338,0,19.88
Purdue (Big Ten),13,9-4,34,676,0,19.88
Coastal Carolina (Sun Belt),13,11-2,52,1037,0,19.94
North Carolina (ACC),13,6-7,16,320,0,20.0
Utah St. (Mountain West),14,11-3,39,781,1,20.03
California (Pac-12),12,5-7,28,565,0,20.18
Washington (Pac-12),12,4-8,15,304,0,20.27
Miami (OH) (MAC),13,7-6,34,690,0,20.29
Notre Dame (FBS Independent),13,11-2,46,937,0,20.37
Boston College (ACC),12,6-6,29,593,1,20.45
Louisiana Tech (C-USA),12,3-9,45,921,1,20.47
Akron (MAC),12,2-10,22,452,1,20.55
South Fla. (AAC),12,2-10,21,432,0,20.57
TCU (Big 12),12,5-7,23,474,0,20.61
Oklahoma St. (Big 12),14,12-2,39,808,1,20.72
Louisville (ACC),13,6-7,31,645,0,20.81
Army West Point (FBS Independent),13,9-4,30,626,2,20.87
Syracuse (ACC),12,5-7,32,669,1,20.91
UConn (FBS Independent),12,1-11,23,482,0,20.96
Colorado (Pac-12),12,4-8,18,378,0,21.0
Ole Miss (SEC),13,10-3,50,1050,0,21.0
UNLV (Mountain West),12,2-10,31,651,1,21.0
Wyoming (Mountain West),13,7-6,31,651,0,21.0
LSU (SEC),13,6-7,11,232,0,21.09
Arkansas (SEC),13,9-4,10,211,0,21.1
Tennessee (SEC),13,7-6,26,550,1,21.15
Texas A&M (SEC),12,8-4,13,275,0,21.15
UCF (AAC),13,9-4,29,615,0,21.21
Kentucky (SEC),13,10-3,13,276,0,21.23
Western Mich. (MAC),13,8-5,52,1105,1,21.25
Virginia Tech (ACC),13,6-7,20,426,0,21.3
BYU (FBS Independent),13,10-3,31,665,0,21.45
New Mexico St. (FBS Independent),12,2-10,20,430,0,21.5
New Mexico (Mountain West),12,3-9,13,280,0,21.54
West Virginia (Big 12),13,6-7,41,891,1,21.73
Eastern Mich. (MAC),13,7-6,30,652,2,21.73
ULM (Sun Belt),12,4-8,22,482,0,21.91
Old Dominion (C-USA),13,6-7,46,1014,1,22.04
UTEP (C-USA),13,7-6,14,309,0,22.07
Georgia Tech (ACC),12,3-9,11,243,0,22.09
Rice (C-USA),12,4-8,28,620,1,22.14
Fla. Atlantic (C-USA),12,5-7,29,643,1,22.17
Ga. Southern (Sun Belt),12,3-9,30,666,1,22.2
FIU (C-USA),12,1-11,24,533,0,22.21
Fresno St. (Mountain West),13,10-3,57,1267,0,22.23
Pittsburgh (ACC),14,11-3,45,1002,1,22.27
Bowling Green (MAC),12,4-8,34,758,1,22.29
Tulane (AAC),12,2-10,19,425,0,22.37
Kansas St. (Big 12),13,8-5,21,474,0,22.57
Air Force (Mountain West),13,10-3,35,794,1,22.69
