Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Houston (AAC),14,12-2,48,187,0.257
Western Mich. (MAC),13,8-5,41,153,0.268
Wisconsin (Big Ten),13,9-4,48,167,0.287
Oklahoma St. (Big 12),14,12-2,60,208,0.288
NC State (ACC),12,9-3,53,181,0.293
Central Mich. (MAC),13,9-4,56,188,0.298
Alabama (SEC),15,13-2,65,209,0.311
San Diego St. (Mountain West),14,12-2,70,220,0.318
Fla. Atlantic (C-USA),12,5-7,56,176,0.318
Notre Dame (FBS Independent),13,11-2,59,184,0.321
East Carolina (AAC),12,7-5,49,152,0.322
UTEP (C-USA),13,7-6,60,184,0.326
Texas A&M (SEC),12,8-4,61,186,0.328
Troy (Sun Belt),12,5-7,57,171,0.333
Pittsburgh (ACC),14,11-3,68,203,0.335
Arkansas (SEC),13,9-4,62,185,0.335
Cincinnati (AAC),14,13-1,71,210,0.338
Liberty (FBS Independent),13,8-5,63,186,0.339
Rutgers (Big Ten),13,5-8,60,177,0.339
South Alabama (Sun Belt),12,5-7,54,159,0.34
Clemson (ACC),13,10-3,71,209,0.34
App State (Sun Belt),14,10-4,68,199,0.342
Baylor (Big 12),14,12-2,69,201,0.343
Fresno St. (Mountain West),13,10-3,64,186,0.344
Boston College (ACC),12,6-6,51,148,0.345
Michigan (Big Ten),14,12-2,75,217,0.346
UAB (C-USA),13,9-4,64,185,0.346
Utah St. (Mountain West),14,11-3,63,182,0.346
West Virginia (Big 12),13,6-7,60,173,0.347
Minnesota (Big Ten),13,9-4,57,164,0.348
Virginia Tech (ACC),13,6-7,60,170,0.353
Illinois (Big Ten),12,5-7,59,167,0.353
Georgia (SEC),15,14-1,85,239,0.356
Vanderbilt (SEC),12,2-10,51,143,0.357
Washington (Pac-12),12,4-8,61,171,0.357
Florida (SEC),13,6-7,63,176,0.358
Auburn (SEC),13,6-7,67,187,0.358
Penn St. (Big Ten),13,7-6,76,212,0.358
Louisiana (Sun Belt),14,13-1,76,211,0.36
Coastal Carolina (Sun Belt),13,11-2,62,172,0.36
Middle Tenn. (C-USA),13,7-6,69,189,0.365
Colorado St. (Mountain West),12,3-9,65,178,0.365
Indiana (Big Ten),12,2-10,57,156,0.365
Purdue (Big Ten),13,9-4,66,179,0.369
Iowa (Big Ten),14,10-4,79,214,0.369
Syracuse (ACC),12,5-7,61,164,0.372
Marshall (C-USA),13,7-6,80,215,0.372
Arizona St. (Pac-12),13,8-5,67,180,0.372
Utah (Pac-12),14,10-4,74,198,0.374
Arizona (Pac-12),12,1-11,55,147,0.374
Miami (OH) (MAC),13,7-6,67,179,0.374
UTSA (C-USA),14,12-2,70,187,0.374
Louisville (ACC),13,6-7,67,178,0.376
Southern Miss. (C-USA),12,3-9,63,167,0.377
UCF (AAC),13,9-4,76,201,0.378
Oklahoma (Big 12),13,11-2,67,177,0.379
Ga. Southern (Sun Belt),12,3-9,61,161,0.379
Toledo (MAC),13,7-6,80,211,0.379
Boise St. (Mountain West),12,7-5,66,174,0.379
Washington St. (Pac-12),13,7-6,66,174,0.379
SMU (AAC),12,8-4,68,179,0.38
Louisiana Tech (C-USA),12,3-9,60,157,0.382
Tulsa (AAC),13,7-6,70,182,0.385
Ole Miss (SEC),13,10-3,72,187,0.385
Kentucky (SEC),13,10-3,64,166,0.386
New Mexico (Mountain West),12,3-9,68,176,0.386
Nevada (Mountain West),13,8-5,74,191,0.387
Wake Forest (ACC),14,11-3,74,191,0.387
Buffalo (MAC),12,4-8,62,160,0.388
Iowa St. (Big 12),13,7-6,69,178,0.388
North Texas (C-USA),13,6-7,73,188,0.388
Nebraska (Big Ten),12,3-9,65,167,0.389
Rice (C-USA),12,4-8,55,141,0.39
Navy (AAC),12,4-8,54,137,0.394
South Fla. (AAC),12,2-10,59,149,0.396
Miami (FL) (ACC),12,7-5,77,194,0.397
LSU (SEC),13,6-7,74,186,0.398
Kansas St. (Big 12),13,8-5,71,178,0.399
San Jose St. (Mountain West),12,5-7,76,190,0.4
Tulane (AAC),12,2-10,74,185,0.4
Air Force (Mountain West),13,10-3,69,172,0.401
Ball St. (MAC),13,6-7,69,172,0.401
Michigan St. (Big Ten),13,11-2,86,214,0.402
South Carolina (SEC),13,7-6,68,169,0.402
Army West Point (FBS Independent),13,9-4,61,151,0.404
Florida St. (ACC),12,5-7,78,193,0.404
Maryland (Big Ten),13,7-6,74,183,0.404
New Mexico St. (FBS Independent),12,2-10,56,137,0.409
ULM (Sun Belt),12,4-8,75,183,0.41
Virginia (ACC),12,6-6,66,161,0.41
UNLV (Mountain West),12,2-10,62,151,0.411
Bowling Green (MAC),12,4-8,71,172,0.413
NIU (MAC),14,9-5,71,172,0.413
Mississippi St. (SEC),13,7-6,74,179,0.413
Arkansas St. (Sun Belt),12,2-10,67,162,0.414
Ohio St. (Big Ten),13,11-2,77,186,0.414
Old Dominion (C-USA),13,6-7,82,198,0.414
UConn (FBS Independent),12,1-11,76,183,0.415
North Carolina (ACC),13,6-7,73,175,0.417
Wyoming (Mountain West),13,7-6,79,189,0.418
Texas (Big 12),12,5-7,72,172,0.419
Temple (AAC),12,3-9,69,164,0.421
Tennessee (SEC),13,7-6,91,216,0.421
Southern California (Pac-12),12,4-8,59,138,0.428
Northwestern (Big Ten),12,3-9,74,173,0.428
BYU (FBS Independent),13,10-3,77,179,0.43
Colorado (Pac-12),12,4-8,72,167,0.431
Missouri (SEC),13,6-7,72,166,0.434
Stanford (Pac-12),12,3-9,69,159,0.434
Eastern Mich. (MAC),13,7-6,71,163,0.436
UCLA (Pac-12),12,8-4,71,163,0.436
Western Ky. (C-USA),14,9-5,92,211,0.436
Ohio (MAC),12,3-9,73,167,0.437
Charlotte (C-USA),12,5-7,63,142,0.444
Georgia St. (Sun Belt),13,8-5,91,205,0.444
Texas Tech (Big 12),13,7-6,84,188,0.447
Georgia Tech (ACC),12,3-9,71,157,0.452
Oregon (Pac-12),14,10-4,91,198,0.46
FIU (C-USA),12,1-11,77,167,0.461
Hawaii (Mountain West),13,6-7,96,208,0.462
California (Pac-12),12,5-7,83,179,0.464
Texas St. (Sun Belt),12,4-8,83,179,0.464
