Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
Wisconsin (Big Ten),13,9-4,55,98,17,170
Southern Miss. (C-USA),12,3-9,83,99,15,197
Air Force (Mountain West),13,10-3,80,105,15,200
Minnesota (Big Ten),13,9-4,83,101,18,202
Navy (AAC),12,4-8,86,105,14,205
Houston (AAC),14,12-2,81,109,18,208
NC State (ACC),12,9-3,70,108,36,214
Army West Point (FBS Independent),13,9-4,77,124,16,217
Washington (Pac-12),12,4-8,127,77,13,217
Iowa St. (Big 12),13,7-6,96,107,16,219
Mississippi St. (SEC),13,7-6,84,121,14,219
South Alabama (Sun Belt),12,5-7,96,103,20,219
Boston College (ACC),12,6-6,106,94,22,222
Clemson (ACC),13,10-3,74,128,20,222
Western Mich. (MAC),13,8-5,105,96,21,222
Syracuse (ACC),12,5-7,99,102,22,223
Oklahoma St. (Big 12),14,12-2,69,126,29,224
Boise St. (Mountain West),12,7-5,100,105,20,225
Georgia (SEC),15,14-1,81,119,25,225
Troy (Sun Belt),12,5-7,104,100,21,225
West Virginia (Big 12),13,6-7,97,113,15,225
New Mexico (Mountain West),12,3-9,99,102,25,226
Texas A&M (SEC),12,8-4,98,108,22,228
Nebraska (Big Ten),12,3-9,91,122,17,230
Arizona (Pac-12),12,1-11,109,93,29,231
Coastal Carolina (Sun Belt),13,11-2,106,109,17,232
East Carolina (AAC),12,7-5,100,114,18,232
Fresno St. (Mountain West),13,10-3,85,118,29,232
Kansas St. (Big 12),13,8-5,93,125,16,234
UAB (C-USA),13,9-4,84,110,40,234
Purdue (Big Ten),13,9-4,108,110,18,236
Michigan (Big Ten),14,12-2,96,127,14,237
Colorado St. (Mountain West),12,3-9,114,97,27,238
Fla. Atlantic (C-USA),12,5-7,92,128,20,240
SMU (AAC),12,8-4,80,140,20,240
South Carolina (SEC),13,7-6,123,102,15,240
Kentucky (SEC),13,10-3,82,138,21,241
Liberty (FBS Independent),13,8-5,116,97,28,241
Notre Dame (FBS Independent),13,11-2,105,126,14,245
San Diego St. (Mountain West),14,12-2,71,141,34,246
Buffalo (MAC),12,4-8,126,98,23,247
Central Mich. (MAC),13,9-4,101,130,16,247
Florida St. (ACC),12,5-7,95,125,27,247
UTEP (C-USA),13,7-6,95,115,39,249
Arkansas (SEC),13,9-4,102,119,29,250
Miami (FL) (ACC),12,7-5,98,126,26,250
San Jose St. (Mountain West),12,5-7,86,134,30,250
Rutgers (Big Ten),13,5-8,112,116,23,251
Illinois (Big Ten),12,5-7,117,119,16,252
North Texas (C-USA),13,6-7,99,122,31,252
Iowa (Big Ten),14,10-4,96,134,23,253
