Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Ohio St. (Big Ten),13,11-2,76,76,0,0,20,1,594,45.7
Western Ky. (C-USA),14,9-5,79,72,2,0,23,0,619,44.2
Pittsburgh (ACC),14,11-3,76,71,0,0,17,1,580,41.4
Wake Forest (ACC),14,11-3,72,65,4,0,23,0,574,41.0
Coastal Carolina (Sun Belt),13,11-2,72,65,2,0,9,2,532,40.9
Alabama (SEC),15,13-2,75,71,4,0,23,0,598,39.9
Tennessee (SEC),13,7-6,67,67,0,0,12,3,511,39.3
Oklahoma (Big 12),13,11-2,63,61,1,1,21,1,508,39.1
SMU (AAC),12,8-4,61,55,2,0,12,0,461,38.4
Georgia (SEC),15,14-1,73,71,0,0,21,2,576,38.4
UTSA (C-USA),14,12-2,63,63,0,0,25,0,516,36.9
UCLA (Pac-12),12,8-4,57,52,1,0,14,0,438,36.5
Cincinnati (AAC),14,13-1,69,67,1,0,9,0,510,36.4
Utah (Pac-12),14,10-4,67,62,2,0,12,1,506,36.1
Houston (AAC),14,12-2,65,62,0,0,16,1,502,35.9
Michigan (Big Ten),14,12-2,62,56,2,0,23,0,501,35.8
Nevada (Mountain West),13,8-5,57,52,2,0,22,0,464,35.7
Texas (Big 12),12,5-7,55,52,0,0,13,1,423,35.2
North Carolina (ACC),13,6-7,57,53,3,0,19,0,458,35.2
Notre Dame (FBS Independent),13,11-2,58,54,3,0,16,1,458,35.2
Virginia (ACC),12,6-6,52,50,2,0,15,2,415,34.6
App State (Sun Belt),14,10-4,61,57,0,0,20,0,483,34.5
Miami (FL) (ACC),12,7-5,51,48,1,0,17,1,409,34.1
Ole Miss (SEC),13,10-3,56,51,1,0,15,2,438,33.7
Liberty (FBS Independent),13,8-5,61,52,1,0,5,1,437,33.6
Fresno St. (Mountain West),13,10-3,53,47,1,0,21,2,434,33.4
Toledo (MAC),13,7-6,56,52,1,0,14,1,434,33.4
NC State (ACC),12,9-3,51,48,1,0,13,1,397,33.1
BYU (FBS Independent),13,10-3,57,53,1,0,11,0,430,33.1
Kent St. (MAC),14,7-7,57,51,3,0,21,0,462,33.0
Marshall (C-USA),13,7-6,58,57,0,0,8,0,429,33.0
Army West Point (FBS Independent),13,9-4,57,52,2,0,9,1,427,32.8
Utah St. (Mountain West),14,11-3,56,52,2,0,20,2,456,32.6
Western Mich. (MAC),13,8-5,56,50,0,0,12,0,422,32.5
Central Mich. (MAC),13,9-4,53,49,1,0,17,0,420,32.3
NIU (MAC),14,9-5,54,46,3,0,25,0,451,32.2
UCF (AAC),13,9-4,56,53,0,0,8,1,415,31.9
Kentucky (SEC),13,10-3,55,54,0,0,10,0,414,31.8
Michigan St. (Big Ten),13,11-2,54,46,4,0,12,0,414,31.8
Baylor (Big 12),14,12-2,57,57,0,0,14,1,443,31.6
Louisville (ACC),13,6-7,53,51,0,0,14,0,411,31.6
Oregon (Pac-12),14,10-4,57,55,1,0,13,1,440,31.4
Iowa St. (Big 12),13,7-6,48,47,0,0,24,0,407,31.3
Oregon St. (Pac-12),13,7-6,53,48,2,0,12,0,406,31.2
Louisiana (Sun Belt),14,13-1,58,52,1,0,11,0,435,31.1
Oklahoma St. (Big 12),14,12-2,54,51,0,0,20,0,435,31.1
Air Force (Mountain West),13,10-3,52,48,4,0,11,1,403,31.0
Arkansas (SEC),13,9-4,49,46,1,0,20,0,402,30.9
Florida (SEC),13,6-7,53,49,1,0,10,0,399,30.7
Texas Tech (Big 12),13,7-6,50,49,0,0,15,0,394,30.3
Eastern Mich. (MAC),13,7-6,48,47,0,0,19,0,392,30.2
Memphis (AAC),12,6-6,47,37,3,0,12,0,361,30.1
Middle Tenn. (C-USA),13,7-6,51,46,2,0,10,1,388,29.8
East Carolina (AAC),12,7-5,43,39,1,0,19,0,356,29.7
UAB (C-USA),13,9-4,50,49,0,1,11,0,384,29.5
Texas A&M (SEC),12,8-4,41,38,1,0,22,0,352,29.3
Maryland (Big Ten),13,7-6,49,41,2,0,14,0,381,29.3
Boise St. (Mountain West),12,7-5,39,38,0,0,26,0,350,29.2
Mississippi St. (SEC),13,7-6,48,42,2,0,14,1,378,29.1
Missouri (SEC),13,6-7,44,41,2,0,23,0,378,29.1
Purdue (Big Ten),13,9-4,44,40,1,0,24,0,378,29.1
Miami (OH) (MAC),13,7-6,48,39,2,0,15,0,376,28.9
Hawaii (Mountain West),13,6-7,46,42,1,0,18,0,374,28.8
Buffalo (MAC),12,4-8,43,39,3,0,14,0,345,28.8
Southern California (Pac-12),12,4-8,39,33,4,0,23,0,344,28.7
TCU (Big 12),12,5-7,43,42,0,0,14,1,344,28.7
Arizona St. (Pac-12),13,8-5,49,43,3,0,8,1,369,28.4
Georgia St. (Sun Belt),13,8-5,47,45,0,0,13,0,366,28.2
Louisiana Tech (C-USA),12,3-9,41,39,0,0,17,0,336,28.0
Nebraska (Big Ten),12,3-9,45,39,1,0,8,0,335,27.9
Auburn (SEC),13,6-7,43,41,2,0,19,1,362,27.8
Washington St. (Pac-12),13,7-6,46,42,0,0,14,1,362,27.8
Old Dominion (C-USA),13,6-7,42,39,1,1,20,2,359,27.6
Florida St. (ACC),12,5-7,43,37,2,0,10,1,331,27.6
Tulane (AAC),12,2-10,44,36,4,0,7,1,331,27.6
Kansas St. (Big 12),13,8-5,46,44,0,0,12,1,358,27.5
North Texas (C-USA),13,6-7,46,42,0,0,13,0,357,27.5
San Diego St. (Mountain West),14,12-2,47,45,1,0,18,0,383,27.4
Charlotte (C-USA),12,5-7,42,40,1,0,10,1,326,27.2
LSU (SEC),13,6-7,43,42,0,0,15,0,345,26.5
Tulsa (AAC),13,7-6,40,35,1,0,22,0,343,26.4
Clemson (ACC),13,10-3,40,39,0,0,21,0,342,26.3
Minnesota (Big Ten),13,9-4,40,36,1,0,17,1,331,25.5
Fla. Atlantic (C-USA),12,5-7,40,38,0,0,9,0,305,25.4
Wisconsin (Big Ten),13,9-4,40,39,0,0,17,0,330,25.4
Wyoming (Mountain West),13,7-6,43,40,1,0,10,0,330,25.4
Arkansas St. (Sun Belt),12,2-10,35,31,0,0,20,1,303,25.2
West Virginia (Big 12),13,6-7,39,37,0,0,19,0,328,25.2
UTEP (C-USA),13,7-6,38,34,3,0,18,2,326,25.1
Penn St. (Big Ten),13,7-6,39,36,2,0,17,0,325,25.0
South Alabama (Sun Belt),12,5-7,38,33,1,0,12,0,299,24.9
Syracuse (ACC),12,5-7,39,36,0,0,9,1,299,24.9
Boston College (ACC),12,6-6,37,35,0,0,13,0,296,24.7
Ball St. (MAC),13,6-7,37,35,0,0,18,1,313,24.1
Georgia Tech (ACC),12,3-9,36,31,2,0,11,1,286,23.8
California (Pac-12),12,5-7,36,31,1,0,12,0,285,23.8
Virginia Tech (ACC),13,6-7,36,34,0,1,18,1,308,23.7
Colorado St. (Mountain West),12,3-9,30,29,0,0,25,0,284,23.7
Iowa (Big Ten),14,10-4,36,36,0,0,24,2,328,23.4
South Fla. (AAC),12,2-10,35,35,0,0,11,0,278,23.2
Texas St. (Sun Belt),12,4-8,33,32,1,0,15,0,277,23.1
Duke (ACC),12,3-9,33,32,0,0,14,1,274,22.8
Troy (Sun Belt),12,5-7,36,32,1,0,8,0,274,22.8
South Carolina (SEC),13,7-6,35,32,2,0,16,0,294,22.6
New Mexico St. (FBS Independent),12,2-10,31,28,2,0,17,1,271,22.6
Ohio (MAC),12,3-9,32,27,1,0,16,1,271,22.6
Rice (C-USA),12,4-8,35,33,0,0,5,0,258,21.5
Washington (Pac-12),12,4-8,32,29,1,0,11,1,258,21.5
Bowling Green (MAC),12,4-8,28,26,1,0,19,2,257,21.4
ULM (Sun Belt),12,4-8,29,27,0,0,16,1,251,20.9
Kansas (Big 12),12,2-10,32,26,2,0,9,0,249,20.8
UNLV (Mountain West),12,2-10,29,25,1,0,16,0,249,20.8
Stanford (Pac-12),12,3-9,30,28,2,0,11,0,245,20.4
FIU (C-USA),12,1-11,32,28,0,0,8,0,244,20.3
Ga. Southern (Sun Belt),12,3-9,29,23,3,0,13,0,242,20.2
Illinois (Big Ten),12,5-7,26,26,2,0,18,1,242,20.2
Navy (AAC),12,4-8,28,28,0,0,15,0,241,20.1
San Jose St. (Mountain West),12,5-7,28,27,0,0,15,0,240,20.0
Akron (MAC),12,2-10,31,29,1,0,7,0,238,19.8
Rutgers (Big Ten),13,5-8,31,30,0,1,12,1,256,19.7
Colorado (Pac-12),12,4-8,26,25,1,0,14,0,225,18.8
Southern Miss. (C-USA),12,3-9,27,24,0,0,8,1,212,17.7
Indiana (Big Ten),12,2-10,24,22,1,0,13,0,207,17.2
Arizona (Pac-12),12,1-11,20,15,2,0,21,2,206,17.2
Northwestern (Big Ten),12,3-9,26,23,1,0,6,0,199,16.6
Massachusetts (FBS Independent),12,1-11,25,22,0,0,8,0,196,16.3
Temple (AAC),12,3-9,24,23,1,0,9,0,196,16.3
Vanderbilt (SEC),12,2-10,21,15,3,0,14,0,189,15.8
UConn (FBS Independent),12,1-11,22,19,0,0,12,0,187,15.6
New Mexico (Mountain West),12,3-9,17,17,0,0,9,0,146,12.2
