Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Washington (Pac-12),12,4-8,194,317,1720,6,5.43,8.87,143.3
Cincinnati (AAC),14,13-1,223,413,2369,13,5.74,10.62,169.2
Boston College (ACC),12,6-6,179,309,2082,14,6.74,11.63,173.5
Wisconsin (Big Ten),13,9-4,193,348,2266,9,6.51,11.74,174.3
Temple (AAC),12,3-9,186,305,2135,25,7.0,11.48,177.9
Liberty (FBS Independent),13,8-5,200,354,2344,14,6.62,11.72,180.3
South Carolina (SEC),13,7-6,196,336,2350,16,6.99,11.99,180.8
Minnesota (Big Ten),13,9-4,205,369,2356,15,6.38,11.49,181.2
Bowling Green (MAC),12,4-8,180,307,2234,15,7.28,12.41,186.2
Western Mich. (MAC),13,8-5,177,321,2423,23,7.55,13.69,186.4
Iowa St. (Big 12),13,7-6,213,349,2446,19,7.01,11.48,188.2
Wyoming (Mountain West),13,7-6,220,378,2467,21,6.53,11.21,189.8
Georgia (SEC),15,14-1,285,507,2851,10,5.62,10.0,190.1
Louisiana (Sun Belt),14,13-1,228,429,2661,17,6.2,11.67,190.1
Arizona (Pac-12),12,1-11,164,283,2281,25,8.06,13.91,190.1
Coastal Carolina (Sun Belt),13,11-2,208,359,2474,15,6.89,11.89,190.3
Texas A&M (SEC),12,8-4,232,401,2312,13,5.77,9.97,192.7
Houston (AAC),14,12-2,228,413,2716,18,6.58,11.91,194.0
Air Force (Mountain West),13,10-3,190,340,2527,15,7.43,13.3,194.4
Arizona St. (Pac-12),13,8-5,229,382,2533,13,6.63,11.06,194.8
Troy (Sun Belt),12,5-7,189,307,2339,19,7.62,12.38,194.9
Toledo (MAC),13,7-6,228,408,2577,17,6.32,11.3,198.2
Penn St. (Big Ten),13,7-6,262,440,2598,11,5.9,9.92,199.8
Southern Miss. (C-USA),12,3-9,189,312,2424,16,7.77,12.83,202.0
Florida (SEC),13,6-7,226,395,2651,19,6.71,11.73,203.9
Syracuse (ACC),12,5-7,223,338,2451,22,7.25,10.99,204.2
Michigan (Big Ten),14,12-2,258,455,2862,17,6.29,11.09,204.4
Marshall (C-USA),13,7-6,229,419,2669,18,6.37,11.66,205.3
Missouri (SEC),13,6-7,196,329,2688,25,8.17,13.71,206.8
Boise St. (Mountain West),12,7-5,186,323,2483,12,7.69,13.35,206.9
NC State (ACC),12,9-3,217,413,2491,19,6.03,11.48,207.6
South Alabama (Sun Belt),12,5-7,206,346,2501,13,7.23,12.14,208.4
Purdue (Big Ten),13,9-4,222,374,2713,18,7.25,12.22,208.7
UCF (AAC),13,9-4,269,466,2731,12,5.86,10.15,210.1
