Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Central Mich. (MAC),13,9-4,75,62,462,106,8.2
Oklahoma St. (Big 12),14,12-2,91,46,502,114,8.1
App State (Sun Belt),14,10-4,86,54,390,113,8.1
Alabama (SEC),15,13-2,103,36,549,121,8.1
Pittsburgh (ACC),14,11-3,87,50,547,112,8.0
Utah St. (Mountain West),14,11-3,80,62,442,111,7.9
Tennessee (SEC),13,7-6,77,50,386,102,7.8
Miami (FL) (ACC),12,7-5,68,50,391,93,7.8
LSU (SEC),13,6-7,77,42,402,98,7.5
Troy (Sun Belt),12,5-7,66,48,359,90,7.5
Oklahoma (Big 12),13,11-2,61,72,384,97,7.5
Cincinnati (AAC),14,13-1,78,46,365,101,7.2
Florida St. (ACC),12,5-7,62,48,281,86,7.2
Liberty (FBS Independent),13,8-5,70,46,362,93,7.2
Clemson (ACC),13,10-3,66,52,381,92,7.1
Georgia St. (Sun Belt),13,8-5,74,36,368,92,7.1
Baylor (Big 12),14,12-2,81,34,425,98,7.0
Wake Forest (ACC),14,11-3,77,42,366,98,7.0
Auburn (SEC),13,6-7,74,34,310,91,7.0
Fresno St. (Mountain West),13,10-3,66,50,313,91,7.0
Utah (Pac-12),14,10-4,82,30,402,97,6.9
Toledo (MAC),13,7-6,63,54,352,90,6.9
Wisconsin (Big Ten),13,9-4,72,36,367,90,6.9
Colorado St. (Mountain West),12,3-9,63,40,347,83,6.9
Tulane (AAC),12,2-10,72,20,339,82,6.8
Kansas St. (Big 12),13,8-5,72,32,313,88,6.8
UCF (AAC),13,9-4,68,40,398,88,6.8
Syracuse (ACC),12,5-7,65,32,339,81,6.8
Houston (AAC),14,12-2,70,48,394,94,6.7
Coastal Carolina (Sun Belt),13,11-2,63,46,335,86,6.6
Marshall (C-USA),13,7-6,57,58,384,86,6.6
Middle Tenn. (C-USA),13,7-6,68,36,354,86,6.6
Temple (AAC),12,3-9,64,30,266,79,6.6
Michigan St. (Big Ten),13,11-2,65,40,387,85,6.5
Western Mich. (MAC),13,8-5,65,40,404,85,6.5
Buffalo (MAC),12,4-8,57,42,371,78,6.5
NC State (ACC),12,9-3,60,36,267,78,6.5
Georgia (SEC),15,14-1,78,38,493,97,6.5
West Virginia (Big 12),13,6-7,71,26,324,84,6.5
Iowa St. (Big 12),13,7-6,59,48,323,83,6.4
Miami (OH) (MAC),13,7-6,69,28,346,83,6.4
Missouri (SEC),13,6-7,71,24,337,83,6.4
Notre Dame (FBS Independent),13,11-2,74,18,386,83,6.4
Ohio St. (Big Ten),13,11-2,68,30,379,83,6.4
Penn St. (Big Ten),13,7-6,69,26,331,82,6.3
Bowling Green (MAC),12,4-8,61,28,295,75,6.2
Louisville (ACC),13,6-7,61,40,323,81,6.2
San Diego St. (Mountain West),14,12-2,66,40,345,86,6.1
Ga. Southern (Sun Belt),12,3-9,52,42,284,73,6.1
Arkansas (SEC),13,9-4,54,50,263,79,6.1
Hawaii (Mountain West),13,6-7,64,30,359,79,6.1
Kentucky (SEC),13,10-3,60,38,284,79,6.1
Nevada (Mountain West),13,8-5,65,28,359,79,6.1
North Texas (C-USA),13,6-7,60,38,373,79,6.1
Texas (Big 12),12,5-7,60,24,223,72,6.0
UTSA (C-USA),14,12-2,67,32,370,83,5.9
Purdue (Big Ten),13,9-4,64,26,295,77,5.9
UTEP (C-USA),13,7-6,58,38,289,77,5.9
East Carolina (AAC),12,7-5,50,42,271,71,5.9
Texas A&M (SEC),12,8-4,59,24,339,71,5.9
Western Ky. (C-USA),14,9-5,63,38,357,82,5.9
Florida (SEC),13,6-7,58,36,284,76,5.8
Ole Miss (SEC),13,10-3,58,36,284,76,5.8
UAB (C-USA),13,9-4,61,30,344,76,5.8
Arkansas St. (Sun Belt),12,2-10,50,40,253,70,5.8
Arizona (Pac-12),12,1-11,53,32,243,69,5.8
Arizona St. (Pac-12),13,8-5,59,30,336,74,5.7
Rutgers (Big Ten),13,5-8,58,32,299,74,5.7
New Mexico St. (FBS Independent),12,2-10,55,26,269,68,5.7
San Jose St. (Mountain West),12,5-7,59,18,271,68,5.7
Tulsa (AAC),13,7-6,60,26,229,73,5.6
Louisiana (Sun Belt),14,13-1,59,38,332,78,5.6
Memphis (AAC),12,6-6,53,26,264,66,5.5
Nebraska (Big Ten),12,3-9,50,32,257,66,5.5
Air Force (Mountain West),13,10-3,54,34,382,71,5.5
Mississippi St. (SEC),13,7-6,49,44,300,71,5.5
North Carolina (ACC),13,6-7,56,30,280,71,5.5
California (Pac-12),12,5-7,52,26,268,65,5.4
SMU (AAC),12,8-4,58,14,249,65,5.4
Southern Miss. (C-USA),12,3-9,53,24,261,65,5.4
UCLA (Pac-12),12,8-4,58,14,280,65,5.4
Boise St. (Mountain West),12,7-5,55,18,267,64,5.3
Fla. Atlantic (C-USA),12,5-7,44,40,227,64,5.3
Illinois (Big Ten),12,5-7,54,20,279,64,5.3
New Mexico (Mountain West),12,3-9,49,30,264,64,5.3
