Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Nevada (Mountain West),13,8-5,13,14,27,1,9,10,17,1.31
Louisiana (Sun Belt),14,13-1,13,10,23,4,4,8,15,1.07
Baylor (Big 12),14,12-2,8,19,27,7,7,14,13,0.93
Kent St. (MAC),14,7-7,9,16,25,6,6,12,13,0.93
Cincinnati (AAC),14,13-1,11,19,30,9,9,18,12,0.86
UTSA (C-USA),14,12-2,13,12,25,7,6,13,12,0.86
BYU (FBS Independent),13,10-3,8,15,23,7,5,12,11,0.85
Middle Tenn. (C-USA),13,7-6,15,17,32,8,13,21,11,0.85
Oklahoma (Big 12),13,11-2,13,11,24,4,9,13,11,0.85
Washington St. (Pac-12),13,7-6,14,15,29,5,13,18,11,0.85
California (Pac-12),12,5-7,7,13,20,2,8,10,10,0.83
Iowa (Big Ten),14,10-4,5,25,30,8,11,19,11,0.79
Western Ky. (C-USA),14,9-5,10,21,31,8,12,20,11,0.79
San Diego St. (Mountain West),14,12-2,6,17,23,8,5,13,10,0.71
Notre Dame (FBS Independent),13,11-2,10,15,25,6,10,16,9,0.69
Ohio St. (Big Ten),13,11-2,8,12,20,3,8,11,9,0.69
Houston (AAC),14,12-2,9,14,23,2,12,14,9,0.64
Wake Forest (ACC),14,11-3,14,15,29,5,15,20,9,0.64
Army West Point (FBS Independent),13,9-4,6,10,16,5,3,8,8,0.62
Ole Miss (SEC),13,10-3,9,11,20,5,7,12,8,0.62
Alabama (SEC),15,13-2,7,15,22,6,7,13,9,0.6
Boise St. (Mountain West),12,7-5,9,13,22,5,10,15,7,0.58
Illinois (Big Ten),12,5-7,9,9,18,5,6,11,7,0.58
UCLA (Pac-12),12,8-4,9,12,21,6,8,14,7,0.58
Oregon (Pac-12),14,10-4,5,17,22,6,8,14,8,0.57
Pittsburgh (ACC),14,11-3,7,16,23,7,8,15,8,0.57
Ball St. (MAC),13,6-7,4,15,19,5,7,12,7,0.54
Toledo (MAC),13,7-6,6,8,14,4,3,7,7,0.54
Colorado (Pac-12),12,4-8,4,9,13,4,3,7,6,0.5
NC State (ACC),12,9-3,2,15,17,5,6,11,6,0.5
Air Force (Mountain West),13,10-3,7,8,15,5,4,9,6,0.46
Arkansas (SEC),13,9-4,4,13,17,6,5,11,6,0.46
Georgia St. (Sun Belt),13,8-5,10,11,21,7,8,15,6,0.46
Penn St. (Big Ten),13,7-6,7,14,21,5,10,15,6,0.46
UCF (AAC),13,9-4,9,11,20,5,9,14,6,0.46
Navy (AAC),12,4-8,6,7,13,5,3,8,5,0.42
South Alabama (Sun Belt),12,5-7,10,15,25,9,11,20,5,0.42
Miami (OH) (MAC),13,7-6,8,9,17,4,8,12,5,0.38
Fla. Atlantic (C-USA),12,5-7,7,13,20,8,8,16,4,0.33
Eastern Mich. (MAC),13,7-6,8,8,16,3,9,12,4,0.31
Kansas St. (Big 12),13,8-5,7,11,18,7,7,14,4,0.31
Minnesota (Big Ten),13,9-4,9,8,17,4,9,13,4,0.31
Rutgers (Big Ten),13,5-8,11,7,18,4,10,14,4,0.31
New Mexico St. (FBS Independent),12,2-10,9,10,19,6,10,16,3,0.25
Troy (Sun Belt),12,5-7,8,16,24,11,10,21,3,0.25
Michigan St. (Big Ten),13,11-2,10,10,20,7,10,17,3,0.23
