Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Georgia (SEC),15,14-1,16,13,1,0,14,0,153,10.2
Clemson (ACC),13,10-3,22,18,1,0,13,1,193,14.8
Texas A&M (SEC),12,8-4,21,20,1,0,13,2,191,15.9
Wisconsin (Big Ten),13,9-4,25,22,1,0,12,0,210,16.2
Cincinnati (AAC),14,13-1,28,25,1,0,13,1,236,16.9
Minnesota (Big Ten),13,9-4,28,24,0,0,11,0,225,17.3
Penn St. (Big Ten),13,7-6,24,21,3,0,18,0,225,17.3
Michigan (Big Ten),14,12-2,28,23,5,0,14,0,243,17.4
Oklahoma St. (Big 12),14,12-2,30,29,0,0,14,1,253,18.1
Baylor (Big 12),14,12-2,29,28,0,0,18,0,256,18.3
Louisiana (Sun Belt),14,13-1,33,26,1,0,11,0,259,18.5
Boise St. (Mountain West),12,7-5,26,23,1,0,15,1,228,19.0
Iowa (Big Ten),14,10-4,31,29,0,0,18,0,269,19.2
NC State (ACC),12,9-3,29,29,0,0,11,0,236,19.7
Notre Dame (FBS Independent),13,11-2,28,23,1,0,21,0,256,19.7
Air Force (Mountain West),13,10-3,34,31,2,0,6,0,257,19.8
San Diego St. (Mountain West),14,12-2,34,30,1,0,13,1,277,19.8
Alabama (SEC),15,13-2,36,33,1,0,17,0,302,20.1
Houston (AAC),14,12-2,36,33,2,0,11,0,286,20.4
Fresno St. (Mountain West),13,10-3,32,27,0,0,16,0,267,20.5
Iowa St. (Big 12),13,7-6,34,33,0,0,10,0,267,20.5
Arizona St. (Pac-12),13,8-5,31,28,0,0,19,0,271,20.8
Kansas St. (Big 12),13,8-5,31,28,0,0,19,1,273,21.0
Liberty (FBS Independent),13,8-5,35,32,0,1,12,0,280,21.5
Coastal Carolina (Sun Belt),13,11-2,36,29,3,0,10,0,281,21.6
