Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Wisconsin (Big Ten),13,9-4,398,842,2.12,10,64.8
Georgia (SEC),15,14-1,463,1183,2.56,3,78.9
San Diego St. (Mountain West),14,12-2,413,1124,2.72,7,80.3
Alabama (SEC),15,13-2,485,1290,2.66,9,86.0
Oklahoma St. (Big 12),14,12-2,453,1227,2.71,9,87.6
Pittsburgh (ACC),14,11-3,471,1250,2.65,15,89.3
Clemson (ACC),13,10-3,440,1252,2.85,7,96.3
Minnesota (Big Ten),13,9-4,376,1268,3.37,11,97.5
Air Force (Mountain West),13,10-3,397,1328,3.35,18,102.2
Houston (AAC),14,12-2,443,1501,3.39,13,107.2
UAB (C-USA),13,9-4,448,1449,3.23,16,111.5
Mississippi St. (SEC),13,7-6,406,1469,3.62,16,113.0
Iowa (Big Ten),14,10-4,508,1601,3.15,15,114.4
UTSA (C-USA),14,12-2,489,1606,3.28,15,114.7
Michigan St. (Big Ten),13,11-2,446,1523,3.41,10,117.2
Army West Point (FBS Independent),13,9-4,399,1524,3.82,19,117.2
Baylor (Big 12),14,12-2,497,1658,3.34,16,118.4
Central Mich. (MAC),13,9-4,463,1540,3.33,18,118.5
Utah (Pac-12),14,10-4,458,1671,3.65,11,119.4
Kentucky (SEC),13,10-3,401,1579,3.94,12,121.5
Iowa St. (Big 12),13,7-6,449,1593,3.55,11,122.5
NC State (ACC),12,9-3,391,1488,3.81,9,124.0
UCLA (Pac-12),12,8-4,397,1491,3.76,24,124.2
Fresno St. (Mountain West),13,10-3,453,1626,3.59,15,125.1
App State (Sun Belt),14,10-4,481,1760,3.66,18,125.7
Syracuse (ACC),12,5-7,438,1513,3.45,12,126.1
Michigan (Big Ten),14,12-2,484,1769,3.65,11,126.4
Ohio St. (Big Ten),13,11-2,448,1648,3.68,17,126.8
Auburn (SEC),13,6-7,469,1665,3.55,8,128.1
Oklahoma (Big 12),13,11-2,442,1677,3.79,15,129.0
Kansas St. (Big 12),13,8-5,458,1683,3.67,14,129.5
Navy (AAC),12,4-8,393,1565,3.98,25,130.4
Arizona St. (Pac-12),13,8-5,471,1705,3.62,18,131.2
San Jose St. (Mountain West),12,5-7,460,1607,3.49,9,133.9
Old Dominion (C-USA),13,6-7,491,1744,3.55,12,134.2
Texas A&M (SEC),12,8-4,443,1618,3.65,6,134.8
Notre Dame (FBS Independent),13,11-2,457,1759,3.85,13,135.3
Middle Tenn. (C-USA),13,7-6,449,1773,3.95,17,136.4
SMU (AAC),12,8-4,437,1641,3.76,15,136.8
Texas Tech (Big 12),13,7-6,445,1778,4.0,18,136.8
California (Pac-12),12,5-7,418,1646,3.94,13,137.2
West Virginia (Big 12),13,6-7,452,1801,3.98,15,138.5
UTEP (C-USA),13,7-6,462,1802,3.9,22,138.6
Miami (FL) (ACC),12,7-5,429,1668,3.89,16,139.0
Liberty (FBS Independent),13,8-5,520,1819,3.5,19,139.9
LSU (SEC),13,6-7,469,1830,3.9,16,140.8
Georgia St. (Sun Belt),13,8-5,524,1838,3.51,20,141.4
Tulsa (AAC),13,7-6,478,1855,3.88,19,142.7
Troy (Sun Belt),12,5-7,492,1716,3.49,15,143.0
Western Mich. (MAC),13,8-5,420,1860,4.43,17,143.1
New Mexico (Mountain West),12,3-9,464,1719,3.7,17,143.2
Oregon St. (Pac-12),13,7-6,452,1870,4.14,19,143.8
Oregon (Pac-12),14,10-4,502,2018,4.02,24,144.1
Louisiana (Sun Belt),14,13-1,520,2023,3.89,16,144.5
Florida St. (ACC),12,5-7,478,1735,3.63,15,144.6
Miami (OH) (MAC),13,7-6,482,1893,3.93,18,145.6
South Alabama (Sun Belt),12,5-7,441,1755,3.98,21,146.2
Nebraska (Big Ten),12,3-9,424,1763,4.16,12,146.9
Tennessee (SEC),13,7-6,521,1931,3.71,24,148.5
Indiana (Big Ten),12,2-10,433,1787,4.13,23,148.9
Coastal Carolina (Sun Belt),13,11-2,477,1938,4.06,21,149.1
Cincinnati (AAC),14,13-1,583,2088,3.58,14,149.1
Illinois (Big Ten),12,5-7,478,1805,3.78,16,150.4
Toledo (MAC),13,7-6,525,1969,3.75,11,151.5
Ga. Southern (Sun Belt),12,3-9,420,1828,4.35,17,152.3
North Texas (C-USA),13,6-7,493,1981,4.02,18,152.4
Penn St. (Big Ten),13,7-6,525,1985,3.78,12,152.7
ULM (Sun Belt),12,4-8,439,1842,4.2,21,153.5
Arkansas (SEC),13,9-4,496,1996,4.02,17,153.5
Maryland (Big Ten),13,7-6,500,2012,4.02,24,154.8
BYU (FBS Independent),13,10-3,470,2032,4.32,24,156.3
Hawaii (Mountain West),13,6-7,502,2032,4.05,24,156.3
Southern Miss. (C-USA),12,3-9,430,1878,4.37,15,156.5
Fla. Atlantic (C-USA),12,5-7,422,1884,4.46,17,157.0
Boise St. (Mountain West),12,7-5,478,1890,3.95,14,157.5
Louisville (ACC),13,6-7,471,2050,4.35,23,157.7
Purdue (Big Ten),13,9-4,483,2053,4.25,18,157.9
Tulane (AAC),12,2-10,484,1901,3.93,25,158.4
UCF (AAC),13,9-4,479,2070,4.32,24,159.2
Washington St. (Pac-12),13,7-6,455,2087,4.59,20,160.5
Rutgers (Big Ten),13,5-8,497,2100,4.23,16,161.5
East Carolina (AAC),12,7-5,412,1940,4.71,20,161.7
Rice (C-USA),12,4-8,404,1941,4.8,30,161.8
Utah St. (Mountain West),14,11-3,517,2266,4.38,20,161.9
Florida (SEC),13,6-7,478,2131,4.46,19,163.9
Colorado St. (Mountain West),12,3-9,494,1995,4.04,18,166.2
Louisiana Tech (C-USA),12,3-9,442,1998,4.52,25,166.5
Southern California (Pac-12),12,4-8,436,2005,4.6,28,167.1
Memphis (AAC),12,6-6,489,2009,4.11,22,167.4
Western Ky. (C-USA),14,9-5,564,2348,4.16,28,167.7
Virginia Tech (ACC),13,6-7,480,2199,4.58,20,169.2
Boston College (ACC),12,6-6,451,2049,4.54,15,170.8
UNLV (Mountain West),12,2-10,457,2063,4.51,19,171.9
South Carolina (SEC),13,7-6,485,2275,4.69,18,175.0
Ball St. (MAC),13,6-7,528,2293,4.34,22,176.4
Colorado (Pac-12),12,4-8,431,2143,4.97,22,178.6
North Carolina (ACC),13,6-7,504,2340,4.64,23,180.0
Wyoming (Mountain West),13,7-6,514,2348,4.57,17,180.6
Arizona (Pac-12),12,1-11,473,2171,4.59,17,180.9
Georgia Tech (ACC),12,3-9,491,2187,4.45,19,182.2
Texas St. (Sun Belt),12,4-8,501,2203,4.4,20,183.6
Nevada (Mountain West),13,8-5,516,2418,4.69,23,186.0
Bowling Green (MAC),12,4-8,541,2253,4.16,30,187.8
Marshall (C-USA),13,7-6,585,2453,4.19,18,188.7
Ole Miss (SEC),13,10-3,550,2478,4.51,25,190.6
Ohio (MAC),12,3-9,478,2316,4.85,25,193.0
Vanderbilt (SEC),12,2-10,420,2321,5.53,22,193.4
Washington (Pac-12),12,4-8,489,2323,4.75,21,193.6
Buffalo (MAC),12,4-8,489,2332,4.77,27,194.3
UConn (FBS Independent),12,1-11,513,2343,4.57,27,195.2
Wake Forest (ACC),14,11-3,563,2737,4.86,25,195.5
New Mexico St. (FBS Independent),12,2-10,428,2370,5.54,26,197.5
Eastern Mich. (MAC),13,7-6,508,2570,5.06,27,197.7
Texas (Big 12),12,5-7,470,2419,5.15,26,201.6
Charlotte (C-USA),12,5-7,457,2450,5.36,27,204.2
Kent St. (MAC),14,7-7,580,2882,4.97,40,205.9
Duke (ACC),12,3-9,468,2474,5.29,26,206.2
South Fla. (AAC),12,2-10,429,2487,5.8,28,207.2
Northwestern (Big Ten),12,3-9,480,2556,5.32,31,213.0
NIU (MAC),14,9-5,517,3002,5.81,33,214.4
Temple (AAC),12,3-9,555,2645,4.77,33,220.4
TCU (Big 12),12,5-7,460,2664,5.79,34,222.0
Virginia (ACC),12,6-6,468,2710,5.79,21,225.8
Missouri (SEC),13,6-7,557,2956,5.31,32,227.4
FIU (C-USA),12,1-11,506,2742,5.42,30,228.5
Massachusetts (FBS Independent),12,1-11,487,2825,5.8,43,235.4
Stanford (Pac-12),12,3-9,494,2828,5.72,33,235.7
Akron (MAC),12,2-10,482,2987,6.2,32,248.9
