Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Air Force (Mountain West),13,10-3,475:35,36:35
Army West Point (FBS Independent),13,9-4,460:59,35:28
Minnesota (Big Ten),13,9-4,460:28,35:25
Western Mich. (MAC),13,8-5,458:27,35:16
Navy (AAC),12,4-8,417:34,34:48
Houston (AAC),14,12-2,470:13,33:35
NIU (MAC),14,9-5,468:57,33:30
Wisconsin (Big Ten),13,9-4,434:02,33:23
Mississippi St. (SEC),13,7-6,432:47,33:17
Rice (C-USA),12,4-8,399:22,33:17
Kentucky (SEC),13,10-3,423:45,32:36
East Carolina (AAC),12,7-5,390:36,32:33
South Alabama (Sun Belt),12,5-7,387:45,32:19
Charlotte (C-USA),12,5-7,386:45,32:14
San Diego St. (Mountain West),14,12-2,449:14,32:05
Purdue (Big Ten),13,9-4,415:23,31:57
UAB (C-USA),13,9-4,414:51,31:55
UTEP (C-USA),13,7-6,414:02,31:51
Alabama (SEC),15,13-2,475:46,31:43
Baylor (Big 12),14,12-2,441:19,31:31
Fresno St. (Mountain West),13,10-3,408:50,31:27
Michigan (Big Ten),14,12-2,439:09,31:22
West Virginia (Big 12),13,6-7,407:13,31:19
Coastal Carolina (Sun Belt),13,11-2,406:56,31:18
NC State (ACC),12,9-3,375:23,31:17
Buffalo (MAC),12,4-8,375:08,31:16
Pittsburgh (ACC),14,11-3,437:00,31:13
Louisiana (Sun Belt),14,13-1,436:57,31:13
App State (Sun Belt),14,10-4,436:20,31:10
Akron (MAC),12,2-10,373:41,31:08
Central Mich. (MAC),13,9-4,403:40,31:03
Vanderbilt (SEC),12,2-10,370:50,30:54
Iowa St. (Big 12),13,7-6,401:40,30:54
Oklahoma St. (Big 12),14,12-2,432:12,30:52
Tulsa (AAC),13,7-6,400:51,30:50
Utah (Pac-12),14,10-4,431:23,30:49
South Carolina (SEC),13,7-6,400:10,30:47
Kansas (Big 12),12,2-10,369:16,30:46
Ga. Southern (Sun Belt),12,3-9,368:39,30:43
Virginia (ACC),12,6-6,367:41,30:38
Southern California (Pac-12),12,4-8,367:02,30:35
Washington St. (Pac-12),13,7-6,397:06,30:33
Georgia (SEC),15,14-1,458:09,30:33
Eastern Mich. (MAC),13,7-6,396:55,30:32
Oregon St. (Pac-12),13,7-6,396:24,30:30
Southern Miss. (C-USA),12,3-9,365:48,30:29
Florida (SEC),13,6-7,396:14,30:29
Missouri (SEC),13,6-7,396:08,30:28
Syracuse (ACC),12,5-7,365:35,30:28
South Fla. (AAC),12,2-10,365:29,30:27
Louisville (ACC),13,6-7,395:37,30:26
California (Pac-12),12,5-7,364:14,30:21
Liberty (FBS Independent),13,8-5,393:33,30:16
New Mexico St. (FBS Independent),12,2-10,363:09,30:16
Rutgers (Big Ten),13,5-8,393:13,30:15
Arizona (Pac-12),12,1-11,362:38,30:13
Middle Tenn. (C-USA),13,7-6,391:55,30:09
Texas A&M (SEC),12,8-4,360:36,30:03
Iowa (Big Ten),14,10-4,419:18,29:57
Boise St. (Mountain West),12,7-5,359:24,29:57
Virginia Tech (ACC),13,6-7,389:14,29:56
Wyoming (Mountain West),13,7-6,389:13,29:56
Notre Dame (FBS Independent),13,11-2,389:00,29:55
Kansas St. (Big 12),13,8-5,388:40,29:54
New Mexico (Mountain West),12,3-9,358:18,29:52
Massachusetts (FBS Independent),12,1-11,357:54,29:50
North Texas (C-USA),13,6-7,387:39,29:49
Oregon (Pac-12),14,10-4,416:42,29:46
UCLA (Pac-12),12,8-4,357:10,29:46
Indiana (Big Ten),12,2-10,357:07,29:46
Miami (OH) (MAC),13,7-6,386:36,29:44
Boston College (ACC),12,6-6,356:28,29:42
Bowling Green (MAC),12,4-8,355:59,29:40
Ohio (MAC),12,3-9,355:58,29:40
UNLV (Mountain West),12,2-10,355:41,29:38
LSU (SEC),13,6-7,385:19,29:38
UTSA (C-USA),14,12-2,414:03,29:34
Oklahoma (Big 12),13,11-2,384:20,29:34
TCU (Big 12),12,5-7,353:37,29:28
Clemson (ACC),13,10-3,382:21,29:25
Ohio St. (Big Ten),13,11-2,381:57,29:23
Arizona St. (Pac-12),13,8-5,381:29,29:21
Illinois (Big Ten),12,5-7,351:58,29:20
Duke (ACC),12,3-9,351:43,29:19
Old Dominion (C-USA),13,6-7,380:53,29:18
Utah St. (Mountain West),14,11-3,409:39,29:16
BYU (FBS Independent),13,10-3,380:15,29:15
SMU (AAC),12,8-4,350:44,29:14
Georgia Tech (ACC),12,3-9,350:29,29:12
Tulane (AAC),12,2-10,349:55,29:10
