Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Texas A&M (SEC),12,5-7,184,327,1874,15,5.73,10.18,156.2
Air Force (Mountain West),13,10-3,170,291,2068,10,7.11,12.16,159.1
Army West Point (FBS Independent),12,6-6,167,275,1920,15,6.98,11.50,160.0
Florida St. (ACC),13,10-3,197,349,2150,18,6.16,10.91,165.4
Boise St. (Mountain West),14,10-4,187,362,2348,13,6.49,12.56,167.7
Iowa (Big Ten),13,8-5,245,418,2203,13,5.27,8.99,169.5
Kentucky (SEC),13,7-6,206,347,2220,10,6.40,10.78,170.8
Illinois (Big Ten),13,8-5,213,415,2259,9,5.44,10.61,173.8
Massachusetts (FBS Independent),12,1-11,143,265,2103,17,7.94,14.71,175.2
Iowa St. (Big 12),12,4-8,190,322,2139,20,6.64,11.26,178.2
Cincinnati (AAC),13,9-4,215,391,2369,15,6.06,11.02,182.2
Toledo (MAC),14,9-5,234,429,2562,17,5.97,10.95,183.0
Northwestern (Big Ten),12,1-11,185,312,2201,17,7.05,11.90,183.4
Syracuse (ACC),13,7-6,246,369,2403,18,6.51,9.77,184.8
Minnesota (Big Ten),13,9-4,229,393,2414,8,6.14,10.54,185.7
New Mexico St. (FBS Independent),13,7-6,221,376,2429,14,6.46,10.99,186.8
Alabama (SEC),13,11-2,238,434,2442,12,5.63,10.26,187.8
Fresno St. (Mountain West),14,10-4,232,434,2651,14,6.11,11.43,189.4
Colorado St. (Mountain West),12,3-9,219,355,2297,15,6.47,10.49,191.4
Michigan (Big Ten),14,13-1,256,458,2719,11,5.94,10.62,194.2
UAB (CUSA),13,7-6,232,406,2534,16,6.24,10.92,194.9
Louisville (ACC),13,8-5,211,362,2561,17,7.07,12.14,197.0
Notre Dame (FBS Independent),13,9-4,232,395,2574,20,6.52,11.09,198.0
Temple (AAC),12,3-9,209,326,2383,21,7.31,11.40,198.6
Liberty (FBS Independent),13,8-5,229,390,2594,16,6.65,11.33,199.5
Ohio St. (Big Ten),13,11-2,212,360,2606,19,7.24,12.29,200.5
Marshall (Sun Belt),13,9-4,217,421,2620,12,6.22,12.07,201.5
