Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Georgia (SEC),15,15-0,83,36,21,24,81,0.976
Ohio St. (Big Ten),13,11-2,63,23,24,13,60,0.952
Tennessee (SEC),13,11-2,67,35,18,10,63,0.940
Eastern Mich. (MAC),13,9-4,49,23,14,9,46,0.939
Clemson (ACC),14,11-3,62,27,18,13,58,0.935
Purdue (Big Ten),14,8-6,54,16,19,15,50,0.926
SMU (AAC),13,7-6,62,23,22,12,57,0.919
Arkansas St. (Sun Belt),12,3-9,36,13,9,11,33,0.917
Washington St. (Pac-12),13,7-6,48,16,19,9,44,0.917
Michigan (Big Ten),14,13-1,71,32,15,18,65,0.915
Texas St. (Sun Belt),12,4-8,35,7,13,12,32,0.914
West Virginia (Big 12),12,5-7,46,19,10,13,42,0.913
Buffalo (MAC),13,7-6,44,17,10,13,40,0.909
Wyoming (Mountain West),13,7-6,32,11,5,13,29,0.906
Ga. Southern (Sun Belt),13,6-7,52,17,15,15,47,0.904
Cincinnati (AAC),13,9-4,41,13,9,15,37,0.902
Penn St. (Big Ten),13,11-2,51,21,18,7,46,0.902
NIU (MAC),12,3-9,40,12,12,12,36,0.900
Texas (Big 12),13,8-5,58,21,15,16,52,0.897
Texas Tech (Big 12),13,8-5,58,26,13,13,52,0.897
Maryland (Big Ten),13,8-5,48,18,15,10,43,0.896
Texas A&M (SEC),12,5-7,38,11,12,11,34,0.895
Kansas St. (Big 12),14,10-4,56,22,10,18,50,0.893
Ohio (MAC),14,10-4,65,22,19,17,58,0.892
Alabama (SEC),13,11-2,64,20,24,13,57,0.891
Memphis (AAC),13,7-6,63,27,14,15,56,0.889
Mississippi St. (SEC),13,9-4,45,9,24,7,40,0.889
Houston (AAC),13,8-5,62,13,28,14,55,0.887
Toledo (MAC),14,9-5,53,17,20,10,47,0.887
Oklahoma St. (Big 12),13,7-6,52,17,13,16,46,0.885
Auburn (SEC),12,5-7,42,18,6,13,37,0.881
Ball St. (MAC),12,5-7,42,10,15,12,37,0.881
Tulsa (AAC),12,5-7,50,15,16,13,44,0.880
ULM (Sun Belt),12,4-8,33,13,8,8,29,0.879
North Texas (CUSA),14,7-7,56,19,17,13,49,0.875
Syracuse (ACC),13,7-6,48,18,11,13,42,0.875
UTSA (CUSA),14,11-3,64,21,21,14,56,0.875
Army West Point (FBS Independent),12,6-6,39,26,1,7,34,0.872
Kansas (Big 12),13,6-7,62,25,21,8,54,0.871
Stanford (Pac-12),12,3-9,31,13,8,6,27,0.871
New Mexico St. (FBS Independent),13,7-6,38,21,7,5,33,0.868
Tulane (AAC),14,12-2,68,29,19,11,59,0.868
Washington (Pac-12),13,11-2,68,28,17,14,59,0.868
Air Force (Mountain West),13,10-3,45,27,2,10,39,0.867
NC State (ACC),13,8-5,45,7,13,19,39,0.867
Charlotte (CUSA),12,3-9,37,10,19,3,32,0.865
Boise St. (Mountain West),14,10-4,59,21,14,16,51,0.864
LSU (SEC),14,10-4,65,36,11,9,56,0.862
Akron (MAC),12,2-10,43,14,10,13,37,0.860
Notre Dame (FBS Independent),13,9-4,50,24,11,8,43,0.860
East Carolina (AAC),13,8-5,56,21,15,12,48,0.857
Southern California (Pac-12),14,11-3,77,26,33,7,66,0.857
Vanderbilt (SEC),12,5-7,35,10,14,6,30,0.857
Nebraska (Big Ten),12,4-8,34,15,7,7,29,0.853
Temple (AAC),12,3-9,34,8,11,10,29,0.853
Minnesota (Big Ten),13,9-4,54,30,7,9,46,0.852
South Fla. (AAC),12,1-11,47,18,14,8,40,0.851
Wake Forest (ACC),13,8-5,67,15,30,12,57,0.851
UNLV (Mountain West),12,5-7,40,14,9,11,34,0.850
South Alabama (Sun Belt),13,10-3,53,18,15,12,45,0.849
